question_text,question_image,correct_answer,option_1_text,option_2_text,option_3_text,option_4_text,option_1_image,option_2_image,option_3_image,option_4_image,answer_explanation_text,answer_explanation_image
The acid present in curd is:,NA,A,Lactic acid,Citric acid,Oxalic acid,Acetic acid,NA,NA,NA,NA,The acid present in curd is lactic acid. Curd forms due to the chemical reaction between lactic acid bacteria and milk protein casein. The increased acidity causes the milk proteins (casein) to tangle into solid masses or curds.,NA
Which of the following properties is NOT shown by bases?,NA,C,Bases dissociate in water to give OH- ions,Bases are soapy in touch,Bases turn blue litmus red,Bases are bitter in taste,NA,NA,NA,NA,"Blue litmus paper turns red under acidic conditions. It will turn red when it comes into contact with an acid. If it comes into contact with a substance that is basic or neutral, it will remain blue.",NA
Which of the following acid is a weak acid?,NA,D,HCl,H2SO4,HNO3,CH3COOH,NA,NA,NA,NA,"Acids like acetic acid (CH3COOH) dissociate partially or incompletely, releasing only some of their hydrogen atoms into the solution. Hence it is a weak acid.",NA
The natural source of Acetic acid is:,NA,D,Curd,Oranges,Tomatoes,Vinegar,NA,NA,NA,NA,"Option A: Lactic acid is found in curd <br/>Option B: Citric acid is found in Oranges<br/>Option C: Oxalic acid is found in tomatoes <br/>Option D: Acetic acid is found in vinegar <br/><br/>Thus, option D is correct.",NA
Lime water is,NA,B,CaO,Ca(OH)2,CaCO3,CaCI2,NA,NA,NA,NA,"Limewater is the common name for a dilute aqueous solution of calcium hydroxide.<br/>Calcium hydroxide, Ca(OH)2, is sparsely soluble at room temperature in water (1.5 g/L at 25 &deg;C). It is basic in nature with a pH of 12.4.",NA
Which of the following is a strong base?,NA,A,Potassium hydroxide,Magnesium hydroxide,Ammonium hydroxide,None of these,NA,NA,NA,NA,"KOH (aq), or Potassium Hydroxide, is a strong base. When added to water, it dissociates completely to give mobile ions, including the hydroxide ion which is responsible for the alkaline properties of the substance.",NA
The difference of molecules of water in gypsum and PoP is,NA,C,5/2,1/2,3/2,2,NA,NA,NA,NA,Gypsum: CaSO44.2H?2O <br/>Plaster of paris: CaSO4?.0.5H2?O. <br/><br/>The difference in number of water molecules is = 2 - 0.5 = 1.5 = 3/2,NA
Which of the following is NOT an organic acid?,NA,B,Acetic acid,Sulphuric acid,Tartaric acid,Citric acid,NA,NA,NA,NA,"Sulfuric acid is inorganic because it doesn&#39;t contain carbon atoms bonded to oxygen, nitrogen and hydrogen atoms.",NA
Which one of the following is acidic/slightly acidic?,NA,D,Lemon juice,Tomatoes,Milk,All the above,NA,NA,NA,NA,"Option A: Lemon juice in its natural state is acidic with a pH of about 2, but once metabolized it actually becomes alkaline with a pH well above 7. So, outside the body, anyone can see that lemon juice is very acidic. <br/><br/>Option B: Tomatoes are on the low end of acidic foods. An alkaline diet is not that you can not have any foods that are acidic but a balance of both alkaline and acidic. <br/><br/>Option C: Milk is actually pretty close to neutral with a pH of 6.8 (slightly acidic). It can become acidic if bacteria break down the milk sugar and produce lactic acid. This is what causes milk to sour. <br/><br/>Thus, option D is correct.",NA
Which of the following acid is present in tamarind?,NA,D,Ethanoic acid,Sulphuric acid,Nitric acid,Tartaric acid,NA,NA,NA,NA,"The acid that is present in tamarind is tartaric acid, which is a white crystalline organic acid.",NA
