question_text,question_image,correct_answer,option_1_text,option_2_text,option_3_text,option_4_text,option_1_image,option_2_image,option_3_image,option_4_image,answer_explanation_text,answer_explanation_image
Consider the following statements about progressive taxation.<br/>1. The idea here is less tax on the people who earn less and higher tax on the people who make more.<br/>2. This method is believed to discourage more earnings by the individual to support low growth and development unintentionally.<br/>3. Being poor is punished while richness is rewarded.<br/>Which of these statements is/are correct?,NA,A,1 and 2 Only,2 and 3 Only,1 and 3 Only,All of them,NA,NA,NA,NA,The idea here is less tax on the people who earn less and higher tax on the people who earn more classifying income earners into different slabs.<br/>This method is believed to discourage more earnings by the individual to support low growth and development unintentionally.<br/>Being poor is rewarded while richness is punished.<br/>Taxpayers also start evading tax by showing lower unreal income.,NA
"Consider the following statements.<br/>1. If not converted into proportional taxes, every progressive tax will go on increasing and similarly every regressive tax will decrease to zero, becoming ultimately futile tax methods. <br/>2. That is why every tax, be it progressive or regressive, must be converted into proportional taxes after a certain level.<br/>Which of these statements is/are incorrect?",NA,D,1 only,2 Only,None of them,Both 1 and 2,NA,NA,NA,NA,"Based on the analysis of the given statements:<br/>Statement 1 is incorrect. Progressive taxes are designed to increase with income, but they typically have caps or thresholds beyond which the rate does not increase. They do not continue increasing indefinitely. Similarly, regressive taxes do not decrease to zero; they take a smaller percentage of income as income increases, but the amount of tax paid can still increase as income increases.<br/><br/>Statement 2 is also incorrect. There is no requirement or principle in tax policy that mandates converting progressive or regressive taxes into proportional taxes after a certain level. Each type of tax serves different policy objectives, and their structures are maintained to achieve those objectives.<br/>Conclusion: Both statements are incorrect. The correct answer is D. Both 1 and 2",NA
"Consider the following statements.<br/>1. Individuals in identical or similar situations paying identical or similar taxes is known as <q>horizontal equity</q>.<br/>2. When <q>better-off</q> people pay more taxes, it is known as vertical equity.<br/>Which of these statements is/are correct?",NA,C,1 Only,2 Only,Both 1 and 2,Neither 1 nor 2,NA,NA,NA,NA,"Answer: Both statements 1 and 2 are correct. <br/>Individuals in identical or similar situations paying identical or similar taxes are known as <q>horizontal equity</q>. <br/>When <q>better-off</q> people pay more taxes, it is known as vertical equity.",NA
"Consider the following statements.<br/>1. The Securities Transaction Tax (STT) is a type of <q>financial transaction tax</q> levied in India on transactions done on the domestic and foreign stock exchanges.<br/>2. The rates of STT are prescribed by the Central Government through its budget from time to time.<br/>3. In tax parlance, this is categorised as an indirect tax.<br/>Choose from the following options.",NA,C,1 and 2 Only,2 Only,2 and 3 Only,1 only,NA,NA,NA,NA,"Statement 1 is partially incorrect. The STT is levied on transactions done on domestic stock exchanges, not on foreign stock exchanges.<br/>Statement 2 is correct. The rates of STT are indeed prescribed and can be modified by the Central Government through the Union Budget.<br/>Statement 3 is correct. The STT is categorized as an indirect tax because it is a tax on financial transactions rather than directly on income or profit.<br/>Correct option is 2 and 3 Only",NA
Consider the following statements.<br/>1.Commodities Transaction Tax (CTT) is a tax similar to Securities Transaction Tax (STT).<br/>2. It is levied in India on transactions done on domestic commodity derivatives exchanges.<br/>Which of these statements is/are incorrect?,NA,D,1 Only,2 Only,Both 1 and 2,None of them,NA,NA,NA,NA,"Commodities Transaction Tax (CTT) is a tax similar to Securities Transaction Tax (STT), proposed to be levied in India, on transactions done on the domestic commodity derivatives exchanges. <br/><br/>Globally, commodity derivatives are also considered as financial contracts. Hence CTT can also be considered as a type of financial transaction tax.",NA
"Consider the following statements: <br/>1. The principles of a good tax system include fairness, efficiency, simplicity, flexibility, and transparency.<br/>2. Horizontal equity means 'better off' people pay more taxes.<br/>3. Administrative simplicity helps in checking tax evasion. <br/>How many of the statements given above are correct?",NA,D,Only one,All three,None,Only two,NA,NA,NA,NA,"Answer: (d) Only two <br/>Explanation: <br/>Statement 1 is correct: A good tax system includes fairness, efficiency, simplicity, flexibility, and transparency.<br/>Statement 2 is incorrect: Horizontal equity means individuals in identical or similar situations pay identical or similar taxes.<br/>Statement 3 is correct: Administrative simplicity helps in checking tax evasion.",NA
"Consider the following statements.<br/>1. There has been a divergence between the official tax rate and effective tax rate in India, which is defined as the ratio of the total tax collected to the aggregate tax base. <br/>2. The divergence occurs mainly on account of tax exemptions.<br/>3. Tax expenditure is also known as revenue foregone.<br/>Which of these statements is/are correct?",NA,D,1 and 2 Only,2 and 3 Only,1 and 3 Only,All of them,NA,NA,NA,NA,There has been a divergence between the official tax rate and effective tax rate in India-defined as the ratio of the total tax collected to the aggregate tax base.<br/>The divergence occurs mainly on account of tax exemptions. A tax expenditure is also known as revenue foregone. <br/>But such forgone taxes does not necessarily mean that the Government has waived them off.,NA
"Consider the following statements.<br/>1. Collection rate is the ratio of total customs revenue and the total value of imports for a year. <br/>2. This is an indicator of overall incidence of customs, including countervailing duties (CVD) and special additional duties (SAD) on imports. <br/>Which of these statements is/are incorrect?",NA,D,1 Only,2 Only,Both 1 and 2,None of them,NA,NA,NA,NA,The collection rate is the ratio of total customs revenue and the total value of imports for a year. This is an indicator of overall incidence of customs including countervailing duties (CVD) and special additional duties (SAD) on imports.<br/>The Gol offers several exemptions in customs duty on a variety of imports. This is the reason why India&#39;s customs collection does not increase as much as its imports increase.,NA
"Consider the following statements.<br/>1. It is that portion of gross tax revenue which is distributed between the Centre and the States. <br/>2. The divisible pool consists of all taxes, except surcharges and cess levied for a specific purpose, net of collection charges.<br/>Which of these statements is/are correct?",NA,C,1 Only,2 Only,Both 1 and 2,Neither 1 nor 2,NA,NA,NA,NA,"Explanation: <br/>1. Definition of Divisible Pool:<br/>- The first statement is correct. The divisible pool refers to that portion of gross tax revenue which is distributed between the Centre and the States.<br/>2. Composition of Divisible Pool:<br/> The second statement is also correct. The divisible pool consists of all taxes, except surcharges and cess levied for a specific purpose, net of collection charges. This means that it includes all taxes collected by the government which are then shared between the Centre and the States, excluding certain specific types of taxes.",NA
What is meant by Tax haven?,NA,A,A country which gives tax exemptions to the foreign citizens that there will be no tax  on investing the money in their country.,Subsidy given by the government in taxes,Tax evasion in the domestic country,To impose equal taxes on domestic producers and foreign producers,NA,NA,NA,NA,Explanation: A country that gives foreign citizens the facility to invest in their country and do not pay any tax on the profit earned by the invested money. Mauritius and Cyprus provide this facility.,NA
Goods and Services Tax likely to be levied in India is not a,NA,A,gross tax levied,value-added tax,consumption tax,destination-based tax,NA,NA,NA,NA,"The correct answer is option A: gross value tax.<br/><br/>A gross value tax is a type of tax that is levied on the total value of a product or service, without any deductions. This means that the tax is applied on the entire value of the goods or services, regardless of any costs or expenses incurred in their production or distribution.<br/>In the context of Goods and Services Tax (GST) in India, the GST is not a gross value tax. Instead, it is a value-added tax (option 2). A value-added tax is a tax that is levied at each stage of production and distribution of goods and services, but only on the value that is added at each stage. It allows businesses to claim input tax credits for taxes paid on purchases, which helps to avoid double taxation and ensures that tax is levied only on the value that is added.<br/><br/>Therefore, the correct answer is option A: gross value tax, as this is not the type of tax that is likely to be levied as GST in India.",NA
Which one of the following has the largest contribution to the Gross Tax Revenue of Government of India in 2019-20 (BE) ?,NA,B,Goods and Services Tax,Corporation Tax,Customs,Union Excise duties,NA,NA,NA,NA,"Option A: Goods and Services Tax (GST) is a major indirect tax in India that was introduced in 2017. It is levied on the supply of goods and services within the country. While GST has been an important source of revenue for the government, it is not the largest contributor to the Gross Tax Revenue in 2019-20 (BE).<br/><br/>Option B: Corporation Tax is a direct tax levied on companies in India. It is based on their profits or income. This option is the correct answer as it states that Corporation Tax has the largest contribution to the Gross Tax Revenue of the Government of India in 2019-20 (BE). This implies that the revenue generated from Corporation Tax was higher compared to other taxes during this period.<br/><br/>Option C: Customs duty is a tax imposed on goods imported into or exported out of a country. While customs duty contributes to the tax revenue of the government, it is not the largest contributor as stated in the correct answer.<br/><br/>Option D: Union Excise Duties are taxes levied on the production or sale of specific goods and are collected by the central government. Although they contribute to the tax revenue, they are not the largest contributor as stated in the correct answer.<br/><br/>Therefore, the correct answer is B: Corporation Tax",NA
