question_text,question_image,correct_answer,option_1_text,option_2_text,option_3_text,option_4_text,option_1_image,option_2_image,option_3_image,option_4_image,answer_explanation_text,answer_explanation_image
Which one of the following was the actual cause of the Kalinga war?,NA,A,"Ashoka wanted to control both the land and sea routes to south India, and any hostile power obstructing the route would have had to be conquered.",Kalinga had grown very powerful during the reign of Bindusara and was posing a danger to the Mauryan empire.,"The Nagas, the sea-faring people of Kalinga, were indulged in piracy and obstructing the foreign trade.",Kalinga was a thorn in the body-politik of the empire.,NA,NA,NA,NA,"Answer: A. Ashoka wanted to control both the land and sea routes to south India, and any hostile power obstructing the route would have had to be conquered.<br/>Explanation:<br/>- The Kalinga war took place in 261 BCE when the Mauryan Emperor Ashoka invaded the kingdom of Kalinga, which lay along the eastern coast of India.<br/>- There were multiple factors that contributed to the war, but the primary reason was Ashoka&#39;s ambition to control both the land and sea routes to south India.<br/>- South India was a major source of wealth and resources for trade, and controlling these routes would enhance the prosperity and power of the Mauryan empire.<br/>- Kalinga was a strategically important region as it lay between the Mauryan Empire and the southern kingdoms, and its control would ensure uninterrupted access to these trade routes.<br/>- The hostile power of Kalinga obstructing the route made it necessary for Ashoka to conquer the region in order to secure the trade routes and further expand the Mauryan empire.<br/>- Although other factors such as Kalinga&#39;s growing power, the piracy by the Nagas, and its potential threat to the Mauryan empire might have played a role, the primary cause of the war was Ashoka&#39;s ambition to control the land and sea routes to south India.",NA
Which of the following was a measure adopted by the later Mauryas to meet the needs of a depleted treasury?,NA,C,Increase in taxes,Imposition of new taxes,Debasement of currency,Increase of imports,NA,NA,NA,NA,"Debasement of Currency as a Measure to Meet the Needs of a Depleted Treasury:<br/>- Definition of debasement: Debasement of currency refers to the act of reducing the value of a currency, particularly in terms of the amount of precious metal it contains. This is usually done by increasing the amount of non-precious metals in the coinage, thus reducing the overall value of the coins.<br/>- Later Mauryas&#39; situation: The later Mauryan period faced economic challenges due to depleted treasury, which was a result of various factors such as warfare expenses, decreased trade, and increased administrative costs.<br/>- Adopting debasement as a solution: To address the issue of a depleted treasury, the later Mauryas opted for the debasement of currency as opposed to increasing taxes or imposing new taxes. This decision was made to avoid causing further discontent among the population, which could have potentially led to unrest and rebellion.<br/>- Effects of debasement: Debasement of currency allowed the Mauryan government to create more coins with the same amount of precious metal, thus increasing the money supply in the economy. This helped the government to meet its immediate financial needs, but it also led to inflation and a decrease in the value of the currency over time.<br/>In conclusion, the later Mauryas chose to debase their currency as a measure to meet the needs of a depleted treasury. While this decision provided short-term relief, it also had long-term consequences for the economy, including inflation and a decline in the value of the currency.",NA
The words <q>the village..... was exempted from bali (a tax) and bhaga (royal share of the production) was reduced to one-eighth</q> was inscribed on which one of the following Ashokan Pillars?,NA,C,Lauriya Nandangarh,Nigalisagar,Rummindei,Allahabad,NA,NA,NA,NA,"The village, Rummindei was exempted from bali (a tax) and bhaga (royal share of the production) was reduced to one-eighth.",NA
Which one of the following Ashokan inscriptions reveals his interest in Buddhism?,NA,D,Rummindei pillar inscription,Bhabhru Edict,Schism Edicts,All of the above,NA,NA,NA,NA,"Answer: D. All of the above. <br/>Rummindei pillar inscription: - Ashoka erected the Rummindei pillar in the present-day Lumbini, Nepal, to mark the birthplace of the Buddha. - The inscription on the pillar proclaims Ashoka&#39;s visit and his devotion to Buddhism. <br/>Bhabhru Edict: - The Bhabhru Edict, also known as the Calcutta-Bairat Edict, deals with Ashoka&#39;s conversion to Buddhism. - The edict records Ashoka&#39;s adoption of the Buddhist faith and his support for the Buddhist Sangha. <br/>Schism Edicts: - The Schism Edicts, found at Sanchi and Sarnath, address the issue of schisms or divisions within the Buddhist Sangha. - Ashoka expresses his concern for the unity of the Buddhist community and warns against creating divisions. <br/>Nigalisagar pillar inscription: - The Nigalisagar pillar inscription, located in present-day Nepal, commemorates Ashoka&#39;s visit to the site and his enlargement of a stupa dedicated to the Buddha. - The inscription indicates Ashoka&#39;s patronage of Buddhism and his efforts to promote the faith. <br/>In conclusion, all these inscriptions reveal Ashoka&#39;s interest in Buddhism and his efforts to promote and support the religion.",NA
From which of the following quarries stone was taken for the Ashokan pillars?,NA,A,Chunar,Kausambi,Allahabad,Rajgriha,NA,NA,NA,NA,"Answer: A. Chunar <br/>Explanation: - The Ashokan pillars are a series of columns dispersed throughout the Indian subcontinent, erected by Emperor Ashoka during his reign in the 3rd century BCE. - These pillars are made of a single piece of polished sandstone and are known for their exquisite craftsmanship and inscriptions. - The stone for these pillars was taken from the Chunar quarry, located in the Mirzapur district of Uttar Pradesh, India. - Chunar sandstone is known for its fine quality and durability, making it the perfect material for the construction of the Ashokan pillars. - Other quarries, such as Kausambi, Allahabad, and Rajgriha, were not the source of the stone used for the Ashokan pillars.",NA
In which of the following edict/edicts Ashoka threatened the expulsion of the monks who induced schism into Buddhist church?<br/><br/>A. The Sanchi Edict<br/>B. The Sarnath Edict<br/>C. The Kosam Edic<br/>D. The Nasik Edict,NA,C,Only A and B,Only B and C,"Only A, B and D",All of four,NA,NA,NA,NA,"Answer: C. Only A, B and D <br/>Explanation: Ashoka threatened the expulsion of the monks who induced schism into the Buddhist church in the following edicts: <br/>- The Sanchi Edict: In this edict, Ashoka emphasizes the importance of unity among the Buddhist community and warns against creating divisions. <br/>- The Sarnath Edict: Ashoka expresses his concern for the harmony of the Buddhist church and highlights the need for the monks to follow the correct teachings and avoid causing schisms.<br/> - The Nasik Edict: This edict also focuses on maintaining unity within the Buddhist church and mentions the expulsion of monks who cause divisions. <br/> The Kosam Edict is not related to the expulsion of monks who induce schism into the Buddhist church. Instead, it mainly deals with Ashoka&#39;s concerns for animal welfare and the prohibition of animal sacrifices.",NA
Identify the places where the Fourteen Major Rock Edict of Ashoka are located.,NA,D,"Kalsi, Manshera","Sopara, Yerragudi","Shahbazgarhi, Dhauli",All of the above,NA,NA,NA,NA,"Fourteen Major Rock Edicts of Ashoka: Locations<br/><br/>Kalsi: Located in the Dehradun district of Uttarakhand, India.<br/>Manshera: Located in the Khyber Pakhtunkhwa province of Pakistan.<br/>Sopara: Located in the Palghar district of Maharashtra, India.<br/>Yerragudi: Located in the Kurnool district of Andhra Pradesh, India.<br/>Shahbazgarhi: Located in the Mardan district of Khyber Pakhtunkhwa, Pakistan.<br/>Dhauli: Located in the Puri district of Odisha, India.<br/>Girnar: Located in the Junagadh district of Gujarat, India.<br/>Jaugada: Located in the Ganjam district of Odisha, India.<br/>The correct answer is D, as all the mentioned locations are places where the Fourteen Major Rock Edicts of Ashoka are found.",NA
"<q>We neither oppose the prince, nor the king, but the wicked ministers who oppress us</q>. Who was welcomed by these words?",NA,A,Kunala,Dasaratha,Bindusara,Jaluka,NA,NA,NA,NA,"Kunala was the son of Emperor Ashoka and his wife Padmavati.<br/>He was appointed as the governor of Taxila by his father, Emperor Ashoka. During his rule, the people of Taxila suffered from the oppression of wicked ministers. <br/>When Kunala arrived in Taxila to take charge as the governor, he was welcomed by the citizens with the words <q>We neither oppose the prince, nor the king, but the wicked ministers who oppress us.</q>"" This statement reflects the people&#39;s hope and trust in Kunala to bring justice and end the oppression caused by the corrupt ministers.",NA
Who said <q>Indians do not know the art of writing</q>?,NA,D,Kautilya,Pliny,Plutarch,Megasthenes,NA,NA,NA,NA,"Megasthenes was a Greek ambassador to India during the reign of Chandragupta Maurya around 300 BCE.<br/>He wrote a book called <q>Indica</q> in which he described his observations about India and its people.<br/>In the book <q>Indica</q>, Megasthenes mentioned that Indians do not know the art of writing, which was an incorrect observation. India had a rich tradition of writing and literature, including scripts like Brahmi and Kharosthi, which were in use during Megasthenes&#39; time. The statement reflects Megasthenes&#39; limited understanding of Indian culture and society during his visit.",NA
"One of the following kings made a request to a foreign king for figs, wine and sophists to be sent to India. Who was he?",NA,B,Ashoka,Bindusara,Plutarch,Chandragupta Maurya,NA,NA,NA,NA,"Bindusara, a Mauryan king, requested the Syrian king Antiochus I to send him wine, figs, and a sophist (philosopher). Bindusara was the son of Chandragupta Maurya, the founder of the Maurya dynasty, and ruled from 298 BC to 272 BC. ",NA
