question_text,question_image,correct_answer,option_1_text,option_2_text,option_3_text,option_4_text,option_1_image,option_2_image,option_3_image,option_4_image,answer_explanation_text,answer_explanation_image
The earth takes _____ to complete one revolution,NA,D,365 days and 9 hours,365 days and 8 hours,365 days and 7 hours,365 days and 6 hours,NA,NA,NA,NA,Earth takes 365 days and 6 hours to complete a revolution around the sun .That's why leap year takes place as after four years 6 hrs each year becomes a total of 24 hrs making the 366 days of the leap year.,NA
"In leap year, the month of February has",NA,B,31 days,29 days,30 days,28 days,NA,NA,NA,NA,"In each leap year, the month of February has 29 days instead of 28. Adding one extra day in the calendar every four years compensates for the fact that a period of 365 days is shorter than a tropical year by almost 6 hours.",NA
How much time does the earth take time to complete its rotation?,NA,C,22 Hours,23 Hours,24 Hours,20 Hours,NA,NA,NA,NA,"Earth rotates once in about 24 hours with respect to the Sun, but once every 23 hours, 56 minutes, and 4 seconds with respect to the stars (see below). Earth's rotation is slowing slightly with time; thus, a day was shorter in the past.",NA
It is the position of the earth when the Northern Hemisphere has the longest day and the shortest night,NA,B,Winter Solstice,Summer Solstice,Day Solstice,Night Solstice,NA,NA,NA,NA,"The summer solstice , also known as midsummer, occurs when a planet's rotational axis, or geographical pole on either its Northern or its Southern Hemisphere is most greatly inclined toward the star that it orbits. On the summer solstice, Earth's maximum axial tilt toward the Sun is 23.44degree. (the Sun's declination from the celestial equator is 23.44degree.) This happens twice each year (once in each hemisphere), when the Sun reaches its highest position in the sky as seen from the North or South Pole.",NA
An equinox happens each year,NA,C,Thrice,Four times,Twice,Once,NA,NA,NA,NA,"Equinoxes happen two times in a year when day and night are of equal length. In the Earth's Northern Hemisphere, for example, the vernal equinox cues the beginning of spring around March 21 and the autumnal equinox indicates the beginning of fall around September 23.",NA
The daily motion of the earth is,NA,B,Equinox,Rotation,Longitude,Revolution,NA,NA,NA,NA,Rotation is the movement of the Earth on its axis. Revolution is the movement of the Earth around the Sun in a fixed path or orbit.,NA
The earth travels around the ____ in elliptical.,NA,D,Moon,Mars,Venus,Sun,NA,NA,NA,NA,"Earth travels in an elliptical, or oval-shaped, orbit around the sun. As a result, the distance between Earth and the sun varies by about 3% throughout the year.",NA
Earth receive light from the,NA,C,Moon,Mars,Sun,Venus,NA,NA,NA,NA,"Some of the solar energy that arrives at the Earthbounces off the atmosphere and clouds and back into space. The surface of the Earth receives about half of the incoming solar radiation. The solar energy takes the form of heat and visible light as well as ultraviolet rays, the type of energy that causes sunburn.",NA
The sun's rays fall vertically on the ______ on 21st. June,NA,B,Arctic Circle,Tropic of Cancer,Tropic of Capricorn,Antarctic Circle,NA,NA,NA,NA,"On June 21 the Sun’s rays fall vertically on the tropic of Cancer. They usually fall on one spot somewhere, once a year, for a moment. The tropic of Cancer is a line which is located between the Arctic Circle and the Equator and describes how far from north you can be and you can still have the sun at your zenith during the summer season in the northern hemisphere.",NA
Days are shorter during,NA,B,Rainy,Winter,Summer,Autumn,NA,NA,NA,NA,"Earths axis is tilted,so the angle at which the sun's rays strike the earth changes from month to month as the earth revolves around the sun.This causes the variations in daylight length.This daylight length is maximum in summer and minimum in winter. <br/><br/>If there is no tilt in the earth's axis and the axis had been perpendicular to the orbital plane,the day and the night would have been equal on the earth's surface throughout the year. <br/><br/>So, the tilt and the revolution both cause the the variations in the daylight length and the change of seasons also.",NA
