question_text,question_image,correct_answer,option_1_text,option_2_text,option_3_text,option_4_text,option_1_image,option_2_image,option_3_image,option_4_image,answer_explanation_text,answer_explanation_image,
"Consider the following pairs:<br/>1. National Emergency: Declared during war, external aggression, or armed rebellion<br/>2. President&#39;s Rule: Declared in response to a threat to India&#39;s financial stability or credit<br/>3. Financial Emergency: Requires a written recommendation from the cabinet<br/>4. National Emergency: Grounds include <q>armed rebellion</q> and <q>internal disturbance</q> <br/>How many pairs given above are correctly matched?",NA,A,Only one pair,Only two pairs,Only three pairs,All four pairs,NA,NA,NA,NA,"1. National Emergency: Declared during war, external aggression, or armed rebellion <br/>This is correctly matched. According to Article 352, a National Emergency can be declared during war, external aggression, or armed rebellion.<br/><br/>2. President&#39;s Rule: Declared in response to a threat to India&#39;s financial stability or credit<br/>This is incorrectly matched. President&#39;s Rule (Article 356) is declared due to the failure of the constitutional machinery in states, not in response to a financial threat.<br/><br/>3. Financial Emergency: Requires a written recommendation from the cabinet. <br/>This is incorrectly matched. Financial Emergency (Article 360) is declared in response to a threat to India&#39;s financial stability or credit, but it does not specifically require a written recommendation from the cabinet. It is the National Emergency that requires a written recommendation from the cabinet under Article 352.<br/><br/>4. National Emergency: Grounds include <q>armed rebellion</q> and <q>internal disturbance<q/><br/>This is incorrectly matched. The original term <q>internal disturbance<q/> was replaced by <q>armed rebellion<q/> by the 44th Amendment Act of 1978. Hence, <q>internal disturbance<q/> is no longer a ground for declaring National Emergency.<br/><br/>Thus, only the first pair is correctly matched.",NA,
"Consider the following statements: <br/>Statement-I: During a National Emergency in India, the President&#39;s power to declare the emergency can be exercised in the face of imminent danger.<br/>Statement-II:The geographical scope of a National Emergency proclamation in India can apply only to the entire country and not to specified parts.<br/>Which one of the following is correct in respect of the above statements?",NA,C,Both Statement-I and Statement-II are correct and Statement-II explains Statement-I,"Both Statement-I and Statement-II are correct, but Statement-II does not explain Statement-I","Statement-I is correct, but Statement-II is incorrect","Statement-I is incorrect, but Statement-II is correct",NA,NA,NA,NA,"Statement-I correctly reflects the provision that during a National Emergency in India, the President can indeed exercise the power to declare the emergency in the face of imminent danger. This is a valid provision as outlined in the Indian Constitution under Article 352.<br/><br/>However, Statement-II is incorrect. The geographical scope of a National Emergency proclamation in India is not limited to applying only to the entire country. In fact, as per the Constitution, a National Emergency proclamation can apply to the entire country or a specified part of it. This provision allows for a more targeted response to specific situations where a localized emergency might require attention, rather than imposing emergency measures nationwide.",NA,
Consider the following pairs regarding the scope of judicial review and proper/improper use of President&#39;s Rule (Article 356) in India:<br/>1. Sarkaria Commission: Recommends President&#39;s Rule in case of a hung assembly after general elections.<br/>2. Bommai Case: Establishes that the President&#39;s satisfaction in invoking Article 356 is final and not subject to judicial review.<br/>3. 44th Amendment Act of 1978: Allows for judicial review of the President&#39;s satisfaction in invoking Article 356.<br/>4. Anti-secular politics by state government: Grounds for invoking President&#39;s Rule as per the Bommai case.<br/><br/>How many pairs given above are correctly matched?,NA,C,Only one pair,Only two pair,Only three pair,All four pair,NA,NA,NA,NA,"Answer: C. Only three pairs. <br/>Sarkaria Commission: Recommends President&#39;s Rule in case of a hung assembly after general elections. Correct. The Sarkaria Commission indeed recommended that President&#39;s Rule can be imposed in the case of a hung assembly.<br/>2. Bommai Case: Establishes that the President&#39;s satisfaction in invoking Article 356 is final and not subject to judicial review. Incorrect. The Bommai Case established that the President&#39;s satisfaction in invoking Article 356 is subject to judicial review, contrary to the statement.<br/>3. 44th Amendment Act of 1978: Allows for judicial review of the President&#39;s satisfaction in invoking Article 356. Correct. The 44th Amendment Act of 1978 indeed allowed for judicial review of the President&#39;s satisfaction in invoking Article 356.<br/>4. Anti-secular politics by state government: Grounds for invoking President&#39;s Rule as per the Bommai case. Correct. The Bommai case concluded that anti-secular activities by a state government could be grounds for invoking President&#39;s Rule, as secularism is a basic feature of the Constitution.<br/><br/>Thus, pairs 1, 3, and 4 are correctly matched, while pair 2 is incorrectly matched.",NA,
Which amendment to the Indian Constitution introduced provisions for a collective decision-making process regarding the declaration of a National Emergency?,NA,B,42nd Amendment Act,44th Amendment Act,38th Amendment Act,52nd Amendment Act,NA,NA,NA,NA,"Answer: B. 44th Amendment Act<br/><br/>Explanation: The 44th Amendment Act of 1978 amended the Constitution to require a written recommendation from the Union Cabinet for the President&#39;s proclamation of a National Emergency, ensuring collective decision-making.",NA,
"During a National Emergency, what is the key difference between the application of Article 358 and Article 359 with respect to Fundamental Rights?",NA,D,"Article 358 applies to Fundamental Rights under Article 19, while Article 359 applies to all Fundamental Rights.","Article 358 automatically suspends Fundamental Rights, while Article 359 requires a Presidential Order for suspension.","Article 358 operates only in External Emergency, while Article 359 operates in both External and Internal Emergencies.","Article 358 suspends Fundamental Rights for the entire duration of the Emergency, while Article 359 suspends enforcement for a specified period.",NA,NA,NA,NA,"Article 358 and Article 359 play crucial roles in the context of a National Emergency concerning Fundamental Rights. Article 358 automatically suspends the enforcement of Fundamental Rights guaranteed by Article 19 for the entire duration of the Emergency. <br/>On the other hand, Article 359 empowers the President to suspend the enforcement of any of the Fundamental Rights for a specified period as mentioned in the Presidential Order. This distinction is pivotal as it determines the scope and duration of the suspension of Fundamental Rights under different circumstances during a National Emergency.",NA,
"Consider the following statements:<br/>Statement-I:<br/>During a National Emergency in India, Article 358 automatically suspends the Fundamental Rights under Article 19.<br/>Statement-II:<br/>During a National Emergency in India, the President is authorized to suspend the right to move any court for the enforcement of Fundamental Rights under Article 21.<br/><br/>Which one of the following is correct in respect of the above statements?",NA,C,Both Statement-I and Statement-II are correct and Statement-II explains Statement-I,Both Statement-I and Statement-II are correct and Statement-II explains Statement-I,"Statement-I is correct, but Statement-II is incorrect","Statement-I is incorrect, but Statement-II is correct",NA,NA,NA,NA,"Statement-I states that during a National Emergency in India, Article 358 automatically suspends the Fundamental Rights under Article 19. This is accurate as Article 358 does indeed suspend these rights during a National Emergency.<br/>However, Statement-II claims that during a National Emergency in India, the President is authorized to suspend the right to move any court for the enforcement of Fundamental Rights under Article 21. This statement is incorrect. Article 21 deals with the protection of life and personal liberty and is not subject to suspension during a National Emergency. Fundamental Rights guaranteed under Article 21 cannot be suspended even during an Emergency. Therefore, Statement-II is incorrect, making option C the correct answer.",NA,
"Consider the following statements:<br/>1. The President can declare a National Emergency on the grounds of war, external aggression, or internal disturbance.<br/>2. The President&#39;s power to declare a National Emergency requires a written recommendation from the cabinet.<br/>3. A National Emergency can be proclaimed for the entire country or a specified part of it.<br/>Which of the statements given above is/are correct?",NA,C,1 Only,1 and 2 Only,2 and 3 Only,"1, 2 and 3",NA,NA,NA,NA,"Statement 1: This statement is incorrect. The grounds for declaring a National Emergency include war, external aggression, or armed rebellion. The original term <q>internal disturbance</q> was replaced with <q>armed rebellion</q> by the 44th Amendment Act of 1978. Therefore, <q>internal disturbance</q> is no longer a valid ground for declaring a National Emergency.<br/>Statement 2: This statement is correct. The 44th Amendment Act of 1978 introduced the requirement for a written recommendation from the cabinet for the President to declare a National Emergency, ensuring a collective decision-making process.<br/>Statement 3: This statement is correct. A National Emergency can indeed be proclaimed for the entire country or a specified part of it, as per the provisions of Article 352 of the Indian Constitution.<br/>Thus, the correct statements are 2 and 3. Hence, the correct answer is Option C: 2 and 3 Only.",NA,
"Consider the following pairs:<br/>1. Article 358: Suspension of Fundamental Rights under Article 19 during National Emergency<br/>2. Article 359: Suspension of Fundamental Rights under Articles 20 and 21 during National Emergency<br/>3. Article 360: Financial Emergency declaration and consequences<br/>4. Article 352: Declaration of National Emergency due to war, external aggression, or armed rebellion<br/>How many pairs given above are correctly matched?",NA,C,Only one pair,Only two pairs,Only three pairs,All four pairs,NA,NA,NA,NA,"1. Article 358: Suspension of Fundamental Rights under Article 19 during National Emergency - Correct. Article 358 provides for the suspension of Fundamental Rights under Article 19 during a National Emergency.<br/>2. Article 359: Suspension of Fundamental Rights under Articles 20 and 21 during National Emergency - Incorrect. Article 359 allows the President to suspend the enforcement of other Fundamental Rights except those guaranteed by Articles 20 and 21 during a National Emergency.<br/>3. Article 360: Financial Emergency declaration and consequences - Correct. Article 360 deals with the declaration of a Financial Emergency and its consequences.<br/>4. Article 352: Declaration of National Emergency due to war, external aggression, or armed rebellion - Correct. Article 352 provides for the declaration of National Emergency due to war, external aggression, or armed rebellion.<br/>Thus, pairs 1, 3, and 4 are correctly matched, while pair 2 is incorrectly matched.",NA,
"Consider the following statements:<br/>1. The 44th Amendment Act of 1978 introduced safeguards against the misuse of Emergency powers.<br/>2. The 1975 Emergency was proclaimed due to external aggression.<br/>3. During the operation of President&#39;s Rule, the Parliament assumes the power to legislate for the state.<br/>Which of the statements given above is/are correct?",NA,B,1 Only,1 and 3 Only,2 and 3 Only,"1, 2 and 3",NA,NA,NA,NA,"1. The 44th Amendment Act of 1978 introduced safeguards against the misuse of Emergency powers: This statement is correct. The 44th Amendment Act was enacted to prevent the misuse of Emergency provisions, which was a significant issue during the 1975 Emergency. It introduced several safeguards, including stricter requirements for declaring an Emergency and protecting citizens&#39; fundamental rights.<br/>2. The 1975 Emergency was proclaimed due to external aggression: This statement is incorrect. The 1975 Emergency was declared on the grounds of <q>internal disturbance</q>, not external aggression. It was a controversial period marked by the suspension of civil liberties and political opposition.<br/>3. During the operation of President&#39;s Rule, the Parliament assumes the power to legislate for the state: This statement is correct. When President&#39;s Rule is imposed under Article 356, the President can declare that the powers of the state legislature shall be exercisable by or under the authority of the Parliament. <br/>This allows the central government to legislate on behalf of the state.<br/>Therefore, the correct statements are 1 and 3 only.",NA,
What is a key principle established by the Supreme Court in the Bommai case (1994) regarding the proclamation of President&#39;s Rule under Article 356?,NA,A,"The President&#39;s satisfaction must be based on relevant material that can be challenged if founded on irrelevant, extraneous, malafide, or perverse grounds.",The Court can assess the correctness or adequacy of the material justifying President&#39;s Rule.,The Court has the power to dismiss the state government without reinstating the state legislative assembly.,The Centre does not bear the burden of proving the existence of relevant material justifying President&#39;s Rule.,NA,NA,NA,NA,"In the Bommai case (1994), the Supreme Court established a crucial principle regarding the proclamation of President&#39;s Rule under Article 356. According to this case, the President&#39;s satisfaction in invoking Article 356 must be based on relevant material. If this satisfaction is found to be based on irrelevant, extraneous, malafide, or perverse grounds, it can be subject to challenge. This principle ensures that the President&#39;s decision to impose President&#39;s Rule is based on valid and pertinent reasons, preventing arbitrary or unjustified use of this constitutional provision.",NA,
