question_text,question_image,correct_answer,option_1_text,option_2_text,option_3_text,option_4_text,option_1_image,option_2_image,option_3_image,option_4_image,answer_explanation_text,answer_explanation_image
"Consider the following statements: <br/>Assertion (A): Volcanoes are not likely to be found in the regions of the earthquake. <br/>Reason (R): Earthquakes are induced by seismic activity; volcanoes do not require seismic activity. <br/>In the context of the above, which of these is correct?",NA,D,"A is correct, and R is an appropriate explanation of A.","A is correct, but R is not an appropriate explanation of A","A is incorrect, but R is correct.",Both A and R are incorrect.,NA,NA,NA,NA,"The world's distribution of earthquakes coincides very closely with that of volcanoes. Regions of great seismicity such as a circum-Pacific ring of fire arc also regions of major volcanic eruptions. Many processes in and around volcanoes can generate earthquakes. Most of the time, these processes are faulting and fracturing that does not lead to an eruption. <br/>Also, earthquake activity beneath a volcano almost always increases before an eruption because magma and volcanic gas must first force their way up through shallow underground fractures and passageways. When magma and volcanic gases or fluids move, they will either cause rocks to break or cracks to vibrate. So, both statements are incorrect.",NA
"Consider the following statements: <br/>1. These volcanoes are characterised by eruptions of cooler and more viscous lavas than basalt. <br/>2. These volcanoes often result in explosive eruptions. <br/>3. Along with lava, large quantities of pyroclastic material and ashes find their way to the ground. <br/>The above characters best describe which of the following type of volcanoes?",NA,C,Caldera,Shield volcanoes,Composite volcanoes,Mid-Ocean ridge volcanoes,NA,NA,NA,NA,"Composite volcanoes are characterised by eruptions of cooler and more viscous lavas than basalt. These volcanoes often result in explosive eruptions. <br/>Along with lava, large quantities of pyroclastic material and ashes find their way to the ground. This material accumulates in the vicinity of the vent openings leading to the formation of layers, and this makes the mounts appear as composite volcanoes.",NA
"Regarding properties of lava, consider the following statements: <br/>1. Basic lavas are the hottest lavas and are highly fluid. <br/>2. When Basic lava flows from a volcano, it is very explosive. <br/>3. Acid lavas arc highly viscous and cause less explosive volcanoes. <br/>4. Acid lava is also called as felsic lava. <br/>Which of the above is/are correct?",NA,A,1 and 4 only,2 and 3 only,"1, 2 and 4 only",3 and 4 only,NA,NA,NA,NA,"Highly fluid ones are less viscous, hence are less explosive while the acidic ones arc explosive due to high viscosity.",NA
Consider the following intrusive forms of lava: <br/>1. Laccoliths - A large body of magmatic material that cools in the deeper depth of the crust develops in the form of large domes. <br/>2. Batholiths - These are large dome-shaped intrusive bodies with a level base and connected by a pipe-like conduit from below. <br/>Which of the above is/are correct?,NA,D,1 only,2 only,Both 1 and 2,None of the above,NA,NA,NA,NA,"Batholiths: Large dome-like structures are developed when a large body of magmatic material is cooled in the deeper depth of the crust. They cover large areas. Sometimes, these granitic bodies assume depth that may be several kilometres. A cooled portion of the magma chambers is known as batholiths. <br/>Laccoliths: Large dome-shaped intrusive bodies with a level base that are connected by a pipe-like channel arising from below arc known as laccoliths. It is similar to the surface volcanic domes of the composite volcano that are located at deeper depths. The domal hills of granite rocks are spotted in the plateau of Karnataka. Though now exfoliated, most of these are examples of laccoliths or batholiths.",NA
Hot Spots within the earth help produce Geothermal Energy. What are these ‘Hot Spots’?,NA,B,Areas of intense pressure inside the mantle,Region in the crust where hot molten rocks are trapped,Regions of high volcanism on Earth’s surface,Areas of intense magnetic activity within the upper mantle,NA,NA,NA,NA,"Due to geological changes, molten rocks formed in the deeper hot regions of earth’s crust are pushed upward and trapped in certain regions called ‘hot spots’. When underground water comes in contact with the hot spot, steam is generated. Sometimes hot water from that region finds outlets at the surface. Such outlets are known as hot springs.",NA
"Consider the following statements about Mount Aso: <br/>1. It was an active volcano a few decades back, but is an inactive volcano now. <br/>2. It is located in Japan.<br/>3. The explosions in Mount Aso are of very low intensity (if any). <br/>Choose the correct answer using the codes below:",NA,D,1 and 2 only,2 and 3 only,1 and 3 only,2 only,NA,NA,NA,NA,"Mount Aso, a volcano in southern Japan, has erupted. It is the first such eruption in 22 years, causing flight cancellations and prompting warnings to stay away from its crater. <br/>This eruption has spewed out lava debris and smoke, shooting plumes of ash a kilometre into the sky.",NA
"Regarding Galapagos Islands, consider the following statements: <br/>1. These islands are volcanic in origin and were never attached to any continent. <br/>2. The stark rocky islands, many with few plants in these islands, made it necessary for many species to adapt to survive here and by doing so evolving into new endemic. <br/>3. Galapagos were instrumental in developing Darwin’s Theory of Evolution. <br/>Which of the above is/are correct?",NA,A,"1, 2 and 3 only",2 and 3 only,2 only,1 and 3 only,NA,NA,NA,NA,Galapagos Islands are formed due to hotspot activity. The Galapagos Islands are located off the west coast of South America straddling the equator. It belongs to Ecuador. <br/>The Galapagos are located at the confluence of several currents including the cold Humboldt Current travelling north from South America and the Panama Current travelling south from Central America making the islands cooler than you would think and providing the perfect environment for the unique mix of wildlife that inhabits the islands. <br/>Galapagos were instrumental in developing Darwin’s Theory of Evolution.,NA
"Regarding the distribution of volcanoes around the world, consider the following statements:<br/>1. The Atlantic coasts have many active volcanoes.<br/>2. The Pacific Ocean has the highest number of active volcanoes in its coasts thanks to folded and faulted Landforms.<br/>Which of the above is/are correct?",NA,B,1 only,2 only,Both 1 and 2,None of the above,NA,NA,NA,NA,Atlantic coasts have very few volcanoes and that too dormant ones. <br/>The Pacific Ocean has many volcanoes due to its activeness in volcanic eruptions called the Ring of Fire.,NA
The ‘Pacific Ring of Fire’ is a chain of volcanoes and includes locations from <br/>1. New Zealand <br/>2. Alaska <br/>3. Pacific islands of Solomon <br/>Which of the above is/are correct?,NA,D,1 and 2 only,2 and 3 only,1 and 3 only,All of the above,NA,NA,NA,NA,"The Ring of Fire stretches from the southern tip of South America, up along the coast of North America, across the Bering Strait, down through Japan, and into New Zealand. Sri Lanka lies outside the ring. <br/>The southern portion is more complex, with several smaller tectonic plates in collision with the Pacific plate from the Mariana Islands, the Philippines, Bougainville, Tonga etc.",NA
Consider the following geological locations: <br/>1. Coastal mountain ranges <br/>2. Off-shore islands <br/>3. Midst of Deep Ocean beds <br/>Which of the above are likely for the occurrence of volcanoes?,NA,D,1 and 2 only,2 and 3 only,1 and 3 only,All of the above,NA,NA,NA,NA,"Mid-Atlantic ridges, hot spots and plate boundaries are major sources for volcanoes.",NA
"Normally, Earthquakes cause irreparable damage to life and property. What are the immediate hazardous effects of Earthquake? <br/>1. Ground Shaking <br/>2. Soil Liquefaction <br/>3. Fires <br/>4. Avalanches <br/>5. Tsunami <br/>Which of the above is/are correct?",NA,B,"1, 4 and 5 only","1, 3 and 4 only","1, 3, 4 and 5",All of these,NA,NA,NA,NA,"The correct answer is B: 1, 3 and 4 only. The immediate hazardous effects of an earthquake include ground shaking, fires, and avalanches. Soil liquefaction and tsunamis are not immediate effects, but can occur as secondary hazards following an earthquake.",NA
"Consider the following statements: <br/>Assertion (A): Shallow-focus earthquakes occur along transform boundaries. <br/>Reason (R): Transform faults are found where plates slide past one another. <br/>In the context of the above, which of these is correct?",NA,A,"A is correct, and R is an appropriate explanation of A.","A is correct, but R is not an appropriate explanation of A.","A is correct, but R is incorrect.",Both A and R are incorrect.,NA,NA,NA,NA,"Most earthquakes occur at the boundaries where the plates meet. The locations of earthquakes and the kinds of ruptures they produce help scientists define the plate boundaries. <br/>There are three types of plate boundaries: spreading zones, transform faults and subduction zones. Transform Plate Boundaries are locations where two plates slide past one another. The fracture zone that forms a transform plate boundary is known as a transform fault. Most transform faults are found in the ocean basin and connect offsets in the mid-ocean ridges.",NA
Most volcanoes and earthquakes in the world are located at,NA,D,Littoral zones of major oceans,Within the plates,The inter-junction of major mountains of the world,Plate margins,NA,NA,NA,NA,"Plate margins witness several plate collisions, sliding, transformation etc that result in volcanism or earthquakes. <br/>Most of them are found in the Ring of Fire Some earthquakes also occur within the plates but not as frequently as on the plate margins.",NA
"Consider the following statements about earthquakes: <br/>1. The point where the energy is released is called the focus. <br/>2. The point on the surface, nearest to the focus, is called the epicentre. <br/>Which of the above statements is/are correct?",NA,C,1 only,2 only,Both 1 and 2,None of these,NA,NA,NA,NA,"Both statements 1 and 2 are correct. <br/>1. The point where the energy is released during an earthquake is indeed called the focus. This is the exact location within the Earth's crust where the seismic waves originate. <br/>2. The point on the surface, directly above the focus, is called the epicenter. This is typically the location where the earthquake is felt the strongest and where the most damage occurs.",NA
Earthquakes are most prone to occur in areas where <br/>1. There are active volcanoes. <br/>2. There are large reservoirs.<br/>3. There are tectonic fault planes. <br/>Choose the correct answer using the codes below:,NA,D,1 and 2 only,2 and 3 only,1 and 3 only,All of the above,NA,NA,NA,NA,"Sources of earthquakes: <br/>Tectonic earthquakes - sliding of plates along a fault plane. <br/>Volcanic earthquakes - Collapse of roofs of underground mines. <br/><br/>Explosions of chemicals like nuclear weapons, reservoir-induced earthquakes in areas where large reservoirs (e.g. Latur reservoir caused minor earthquake) are located.",NA
"Regarding seismic waves, consider the following statements: <br/>(a) P wave or primary wave is the fastest kind of seismic wave and, consequently, the first to ‘arrive’ at a seismic station. <br/>(b) S wave or secondary wave can only move through solid rock, not through any liquid medium. <br/>Which of the above statements is/are correct?",NA,C,1 only,2 only,Both 1 and 2,None of the above,NA,NA,NA,NA,"The first kind of body wave is the P wave or primary wave. This is the fastest kind of seismic wave, and, consequently, the first to ‘arrive’ at a seismic station. The P wave can move through solid rock and fluids, like water or the liquid layers of the Earth. <br/>The second type of body wave is the S wave or secondary wave, which is the second wave you feel in an earthquake. An S wave is slower than a P wave and can only move through solid rock, not through any liquid medium.",NA
"Consider the following statements concerning earthquake waves: <br/>1. Body waves are generated due to the release of energy at the focus and move in all directions travelling through the body of the Earth. <br/>2. The body waves interact with the surface rocks and generate a new set of waves called surface waves. <br/>3. The denser the material, the lower is the velocity of these waves. <br/>Which of the above statements is/are correct?",NA,C,1 and 3 only,2 and 3 only,1 and 2 only,All of the above,NA,NA,NA,NA,"The two types of earthquakes are body waves and surface waves. Waves that are generated from the release of energy at the focus travel through the body by moving in all directions. Hence, it is named body waves. <br/>Interaction between body waves and the rock’s surface generates a new set of waves. This is called surface waves. These waves move along the surface. Because these waves travel through materials that have different densities, the velocity changes. <br/>The density of the material is directly proportional to the velocity, that is, if the material is denser, the velocity is higher. There is a change in direction of the waves when they get reflected or refracted by materials with different densities.",NA
Earthquakes occur at <br/>1. Divergent plate boundaries. <br/>2. Ocean-ocean convergent plate boundaries. <br/>3. Ocean-continent plate boundaries. <br/>4. Transform boundaries. <br/>Which of the above statements is/are correct?,NA,D,"1, 3 and 4 only","1, 2 and 4 only",1 and 3 only,All of the above,NA,NA,NA,NA,"The boundaries where the plates meet experience most earthquakes. Locations of earthquakes and the kinds of ruptures they produce serve as a great source of information to scientists to define the plate boundaries. The three types of plate boundaries are spreading zones, transform faults and subduction zones. At spreading zones, molten rock rises, which pushes two plates apart and adds new material at their corners. <br/>Divergent boundaries are those at which crustal plates move away from each other, such as at mid-oceanic ridges. <br/>The formation of a new ocean crust that is pushed away from both sides of the ridge fault creates a tension setting that results in the formation of the graben. Earthquakes arc located along the normal faults that form the sides of the rift or beneath the floor of the rift. <br/>Transform faults are found where plates slide past one another. Shallow-focus earthquakes occur along transform boundaries where two plates move past each other.",NA
Consider the following statements: <br/>Assertion (A): Shallow-focus earthquakes may occur along transform boundaries. <br/>Reason (R): Significant energy may be released where crustal plates slide past one another. <br/><br/>Which of the above statements is/are correct?,NA,A,"A is correct, and R is an appropriate explanation of A.","A is correct, but R is not an appropriate explanation of A.","A is correct, but R is incorrect.",Both A and R are incorrect.,NA,NA,NA,NA,"There are three types of plate boundaries: spreading zones, transform faults and subduction zones. <br/>Earthquakes are located along the normal faults that form the sides of the rift or beneath the floor of the rift. <br/>However, transform faults are found where plates slide past one another. Shallow-focus earthquakes occur along transform boundaries where two plates move past each other.",NA
Consider the following statements: <br/>Assertion (A): The structure of Earth can be understood by observing the passage of earthquake waves through different layers of earth. <br/>Reason (R): Some type of earthquake waves do not travel through liquid material in Earth’s layers. <br/>Which of the above statements is/are correct?,NA,A,"A is correct, and R is an appropriate explanation of A.","A is correct, but R is not an appropriate explanation of A.","A is correct, but R is incorrect",Both A and R are incorrect.,NA,NA,NA,NA,There are two types of body waves generated during an earthquake. They are called P- and S-waves. <br/>An important fact about S-waves is that they can travel only through solid materials. This characteristic of the S-waves is quite important as it has helped scientists to understand the structure of the interior of the Earth.,NA
Fold mountains are formed due to large- scale movements in the Earth’s surface when stresses are set up in the Earth’s crust. What is/are the possible reason(s) for this? <br/>1. Increased load of overlying rocks <br/>2. Flow movements in the mantle <br/>3. Magmatic intrusions in the crust <br/>Choose the correct answer using the codes below:,NA,D,1 and 2 only,2 and 3 only,1 and 3 only,All of the above,NA,NA,NA,NA,Fold mountains are formed due to compressive action of forces in the Earth's crust. These are driven by magmatic convection,NA
"Regarding fold mountains, consider the following statements: <br/>1. Alpine mountain building phase is the recent phase to which the Himalayan mountains belong to. <br/>2. The Ural Mountains were formed during Alpine orogeny (mountain building phase) too. <br/>Which of the above statement(s) is/are correct?",NA,A,1 only,2 only,Both 1 and 2,None of the above,NA,NA,NA,NA,"Ural Mountains belong to Hercynian orogeny. Rocky Mountains, Alpine, Himalayan mountains belong to Alpine category",NA
