question_text,question_image,correct_answer,option_1_text,option_2_text,option_3_text,option_4_text,option_1_image,option_2_image,option_3_image,option_4_image,answer_explanation_text,answer_explanation_image
Consider the following markets : <br/>1. Government Bond Market <br/>2. Call Money Market<br/>3. Treasury Bill Market<br/>4. Stock Market<br/>How many of the above are included in capital markets?,NA,B,Only 1,Only 2,Only 3,All four,NA,NA,NA,NA,"The capital market is where long-term securities like stocks and bonds are bought and sold. <br/>Looking at the options,<br/>1. Government Bond Market: These are longer-term markets where government issues bonds to raise funds, so it is included in the Capital Markets.<br/>2. Call Money Market: It is a market for extremely short-term, day-to-day lending. As it deals with short-term funds, it is not a part of Capital Markets.<br/>3. Treasury Bill Market: Treasury bills are short-term securities issued by the government. Like call money markets, these are not part of Capital Markets.<br/>4. Stock Market: Stocks represent ownership in companies and are long-term securities, so they fall under the Capital Markets.<br/>So, only the Government Bond Market and Stock Market are part of the Capital Market.<br/>Therefore, the correct option is 2 - Only two, (Government Bond Market and Stock Market are included in the capital market).",NA
"With reference to India, consider the following statements :<br/>1. Retail investors through demat account can invest in <q>Treasury Bills</q> and <q>Government of India Debt Bonds</q> in primary market.<br/>2. The <q>Negotiated Dealing System- Order Matching</q> is a government securities trading platform of the Reserve Bank of India.<br/>3. The <q>Central Depository Services Ltd.</q> is jointly promoted by the Reserve Bank of India and the Bombay Stock Exchange.<br/>Which of the statements given above is/are correct?",NA,B,1 only,1 and 2, 3 only,2 and 3,NA,NA,NA,NA,The correct answer is option B: 1 and 2.<br/>Here is why each statement is correct or incorrect:<br/>Statement 1: Retail investors through demat account can invest in <q>Treasury Bills</q> and <q>Government of India Debt Bonds</q> in primary market.<br/>This statement is true. Retail investors in India can indeed buy and sell Treasury Bills and Government of India Debt Bonds via their dematerialised (demat) account.<br/>Statement 2: The <q>Negotiated Dealing System- Order Matching</q> is a government securities trading platform of the Reserve Bank of India.<br/>This statement is also true. The Negotiated Dealing System-Order Matching (NDS-OM) is a platform on which Government Securities are traded. It is an electronic system established and operated by the Reserve Bank of India.<br/>Statement 3: The <q>Central Depository Services Ltd.</q> is jointly promoted by the Reserve Bank of India and the Bombay Stock Exchange.<br/>This statement is false. The Central Depository Services Ltd. (CDSL) is not promoted jointly by the Reserve Bank of India and the Bombay Stock Exchange. It is primarily promoted by the Bombay Stock Exchange along with a group of leading banks in India.,NA
"Among the following major stock exchanges of India, the exchange which recorded highest turnover during the year 2001-01 is",NA,A,Bombay Stock Exchange,Calcutta Stock Exchange,Delhi Stock Exchange,National Stock Exchange,NA,NA,NA,NA,"The Bombay Stock Exchange (BSE) is chosen as the correct answer because, in 2001, it recorded the highest turnover amongst all the other major stock exchanges in India.<br/><br/>Let&#39;s discuss all options:<br/>1) Bombay Stock Exchange: This exchange, based in Mumbai, has a significant trading volume and is one of the oldest exchanges in Asia. The high turnover in 2001 highlights its robust operation and high activity level.<br/>2) Calcutta Stock Exchange: Based in Kolkata, it was a thriving exchange, but it did not outperform the BSE in terms of turnover during the mentioned period.<br/>3) Delhi Stock Exchange: This exchange, while important, had lower trading volume compared to BSE in 2001.<br/>4) National Stock Exchange: Despite being India&#39;s largest stock exchange in terms of total and average daily turnover for equities, in 2001, it was not able to top the BSE&#39;s turnover.<br/><br/>Therefore, the BSE registered the highest turnover in 2001 among the listed options. It&#39;s worth noting that <q>turnover</q> refers to the total value of shares traded over a specific period.",NA
Which one of the following statements is not correct?,NA,C,The National Association of Securities Dealers Automated Quotations (NASDAQ) is an American stock exchange., Nikkei is the stock market index for the Tokyo Stock Exchange,S and P CNX Nifty is the index for 50 large companies on the Bombay Stock Exchange,The Hang Seng Indexes record daily changes of the largest companies of the Hong Kong stock market.,NA,NA,NA,NA,"Option A: The statement is correct. The National Association of Securities Dealers Automated Quotations (NASDAQ) is indeed an American stock exchange. It is one of the largest and most prestigious stock exchanges in the world.<br/><br/>Option B: The statement is correct. The Nikkei is the stock market index for the Tokyo Stock Exchange. It represents the performance of 225 major Japanese companies listed on the exchange.<br/><br/>Option C: The statement is incorrect. S and P CNX Nifty is not the index for 50 large companies on the Bombay Stock Exchange. The correct statement would be that the S&P BSE Sensex is the index for 30 large companies on the Bombay Stock Exchange.<br/><br/>Option D: The statement is correct. The Hang Seng Indexes do record daily changes of the largest companies of the Hong Kong stock market. It is one of the most widely used indices in Asia and is a key indicator of the Hong Kong stock markets overall performance.<br/><br/>In summary, the correct option is C because the S and P CNX Nifty is not the index for 50 large companies on the Bombay Stock Exchange.",NA
Which one of the following would be considered as Foreign Direct Investment?,NA,D,A foreign company buying shares in stock exchanges in India,A foreign country pension fund invests in Indian stock markets,A foreign merchant banker buying shares from Indian stock markets,A foreign entity sets up an educational institution in India,NA,NA,NA,NA,"Foreign Direct Investment (FDI) refers to the investment made by a foreign entity in a country7#39;s economy. It involves a long-term commitment and is typically associated with the establishment of a business or the acquisition of a substantial amount of ownership in an existing enterprise.<br/><br/>Option A, where a foreign company buys shares in stock exchanges in India, does not qualify as FDI. This is because buying shares in the stock market does not involve a direct investment in the Indian economy.<br/>Option B, where a foreign country pension fund invests in Indian stock markets, also does not qualify as FDI. Investing in stock markets is considered portfolio investment, which does not involve a direct stake in the Indian economy.<br/>Option C, where a foreign merchant banker buys shares from Indian stock markets, is also not considered FDI. Similar to option A, this is a form of portfolio investment rather than a direct investment in the Indian economy.<br/><br/>The correct answer is option D, where a foreign entity sets up an educational institution in India. This is considered FDI because it involves a long-term commitment and the establishment of a business in the Indian economy.",NA
Which one among the following is not an institution of Indian Money Market ?,NA,C,Reserve Bank of India,Bill Brokers,Merchant Bankers,Non-Banking Financial Intermediaries,NA,NA,NA,NA,"The Indian Money Market consists of various institutions that facilitate the borrowing and lending of funds in the short-term. In this question, we are asked to identify which option is not an institution of the Indian Money Market.<br/><br/>Option 1: Reserve Bank of India (RBI) is the central bank of India and plays a significant role in the Indian Money Market. The RBI regulates and controls the money supply in the economy and acts as a lender of last resort for commercial banks.<br/>Option 2: Bill brokers are intermediaries who deal in money market instruments such as Treasury Bills, commercial bills, and other short-term debt instruments. They facilitate the buying and selling of these instruments in the money market.<br/>Option 3: Merchant bankers are financial institutions that help companies raise capital and provide advisory services for various financial transactions. They are primarily involved in activities related to the capital market and not the money market. Therefore, this option is the correct answer as it is not an institution of the Indian Money Market.<br/>Option 4: Non-Banking Financial Intermediaries (NBFI) are institutions that provide financial services but are not banks. They include entities such as finance companies, leasing companies, and mutual funds.",NA
Which one of the following is not a function of Reserve Bank of India ?,NA,C,Banker to the Government,Keeping Foreign Exchange Reserve,Issuing of one rupee coin and note,Regulating credit in the country,NA,NA,NA,NA,"Option C, which states that the issuance of one rupee coin and note is not a function of the Reserve Bank of India (RBI), is the correct answer.<br/><br/>Option A states that the RBI acts as the banker to the government. This means that the RBI manages the financial transactions, provides banking services, and manages the government&#39;s accounts and finances.<br/>Option B states that the RBI is responsible for keeping foreign exchange reserves. This means that the RBI manages the country&#39;s foreign currency assets, including maintaining a reserve of foreign currencies to ensure stability in international trade and manage exchange rate fluctuations.<br/>Option D states that the RBI regulates credit in the country. This means that the RBI sets guidelines and policies that govern and control the lending and borrowing activities of banks and financial institutions. It establishes credit control measures to manage inflation, stabilize the economy, and ensure the stability of the financial system.<br/><br/>Therefore, only option 3 does not align with the functions of the RBI. It should be noted that the issuance of one rupee coin and note is the responsibility of the Government of India and not the RBI.<br/>In conclusion, the RBI&#39;s primary functions include acting as the banker to the government, managing foreign exchange reserves, and regulating credit in the country.",NA
Which of the following is NOT a money market instrument?,NA,A,Bonds, Commercial paper, Treasury bills,Certificate deposits,NA,NA,NA,NA,"The correct answer is Bonds.<br/><br/>Key Points:<br/>-Money Market is used to define a market where short-term financial assets with a maturity of up to one year are traded.<br/>-The money market instrument is an investment mechanism that allows banks, businesses, and government to meet their short-term requirements and provide easy liquidity to lenders.<br/>-Examples of Money Market Instruments are:<br/> ->Banker&#39;s Acceptance<br/> ->Treasury Bills<br/> ->Repurchase Agreements<br/> ->Certificate of Deposits<br/> ->Commercial Papers <br/> ->Thus, we can say that Bonds are not an example of a money market instrument.<br/><br/>Additional Information: <br/>-Treasury Bills have short-term maturities with the highest up to one year.<br/>-Large companies and businesses issue promissory notes to raise capital to meet short-term business needs, known as Commercial Papers.<br/>-Certificates of Deposits are financial assets that are issued by banks and financial institutions. They offer a fixed interest rate on the invested amount.",NA
Bank rate is the rate at which the Reserve Bank of India provides loans to ,NA,B,Public Sector Undertakings,Scheduled Commercial Banks,Private Corporate Sector,Non-Banking Financial Institutions,NA,NA,NA,NA,"Bank rate is the rate at which the Reserve Bank of India provides loans to scheduled commercial banks. This means that when scheduled commercial banks need to borrow money from the Reserve Bank of India, they can do so at the bank rate.<br/><br/>Option A: Public Sector Undertakings. Public Sector Undertakings are government-owned companies. The bank rate does not pertain to loans provided to public sector undertakings.<br/>Option C: Private Corporate Sector. The bank rate does not pertain to loans provided to the private corporate sector. It specifically applies to scheduled commercial banks.<br/>Option D: Non-Banking Financial Institutions. The bank rate does not pertain to loans provided to non-banking financial institutions. It specifically applies to scheduled commercial banks.<br/><br/>Therefore, the correct answer is option B: Scheduled Commercial Banks. The Reserve Bank of India provides loans to scheduled commercial banks at the bank rate.",NA
A non-banking financial company cannot,NA,D,give loans,make investments,borrow from bank,seek demand deposits from the public and cannot issue cheques,NA,NA,NA,NA,"A non-banking financial company (NBFC) is a type of financial institution that offers a variety of financial services, but does not hold a banking license.<br/><br/>Option A and B state, respectively, that NBFCs cannot give loans or make investments. However, both of these assertions are incorrect. NBFCs can indeed lend money and make investments; in fact, these activities are often a substantial part of their business operations.<br/>Option C asserts that NBFCs cannot borrow from banks, this is also incorrect. NBFCs can, and often do, borrow from banks as a part of their operations.<br/>Option D, the correct answer, says that NBFCs cannot seek demand deposits from the public and cannot issue cheques. This is indeed the case. NBFCs don&#39;t have the same powers as banks, they cannot accept demand deposits (deposits repayable on demand) from the public or provide cheque-book facilities to their customers as they are not part of the payment and settlement system. Demand deposits and cheque issuing are functions reserved for commercial banks.",NA
