question_text,question_image,correct_answer,option_1_text,option_2_text,option_3_text,option_4_text,option_1_image,option_2_image,option_3_image,option_4_image,answer_explanation_text,answer_explanation_image
"Which one of the following Sangam towns was famous for its pearls and muslins, the latter being as thin as the skin of the snake?",NA,A,Uraiyur,Muziris,Arikamedu,Puhar,NA,NA,NA,NA,"Explanation:<br/><br/>Uraiyur: Uraiyur was known for its pearls and muslins, with the muslins being as thin as the skin of a snake.<br/>Muziris: Muziris was a bustling port town known for its trade and commerce.<br/>Arikamedu: Arikamedu was an ancient Roman trading center known for its trade relations with Rome.<br/>Puhar: Puhar was an ancient port city also known as Kaveripattinam, known for its trade and commerce.<br/>Therefore, the correct answer is Uraiyur, which was famous for its pearls and muslins, the latter being as thin as the skin of a snake.",NA
Identify the Chera monarch who was called Imayavaramban. <q>He who had the Himalaya for his boundary</q> and who carved the Chera emblem of the bow on the face of the great mountain?,NA,C,Kuttuvan,Udiyanjeral,Nedunjeral Adan,Senguttuvan,NA,NA,NA,NA,"Explanation:<br/><br/>Chera Monarch: The Chera monarch who was called Imayavaramban and carved the Chera emblem of the bow on the face of the great mountain is Nedunjeral Adan.<br/>Meaning of Imayavaramban: Imayavaramban means <q>He who had the Himalaya for his boundary</q>. <br/>Identification: Nedunjeral Adan, also known as Imayavaramban, was a powerful Chera monarch who had the Himalayas as his boundary and left his mark by carving the Chera emblem of the bow on the mountain.<br/>Other Chera Monarchs: While Kuttuvan, Udiyanjeral, and Senguttuvan were also prominent Chera monarchs, it was Nedunjeral Adan who was specifically known by the title Imayavaramban.",NA
The first historical reference to Tamils or Pandyas occurs in the work inscriptions of ,NA,A,Megasthenes,Periplus,Kautilya,Ashoka,NA,NA,NA,NA,"The Greek envoy, Megasthenes, mentions Madurai in his account of India in around 300 BC. It was in the period of the Roman empire, under the Pandya dynasty, that the city assumed its great importance, even sending embassies to Rome. Home to the ancient <q>Tamil Sangam</q>, (Academy of Tamil Learning), it became as important for its scholarship as for its religious heritage. One of the great Tamil literary epics <q>Silappadikaram</q> was written here in the Roman period.",NA
Which statement on Sangam history is incorrect?,NA,B,Vishnu worship with Tulsi was popular among the Sangam people.,"The Sangam people did not worship Siva, Balaram and Krishna.",Vedic religion of sacrifice was followed by the Sangam kings.,Buddhism and Jainism found a footing in the land of Sangam people.,NA,NA,NA,NA,"Incorrect Statement on Sangam History is B.<br/><b>The Sangam people did not worship Siva, Balaram and Krishna.</b> This statement is incorrect because the Sangam people worshipped various deities including Siva, Balaram, and Krishna.<br/><br/><b>Vishnu worship with Tulsi was popular among the Sangam people.</b>This statement is correct. Vishnu worship with Tulsi was indeed popular among the Sangam people.<br/><b>Vedic religion of sacrifice was followed by the Sangam kings.</b> This statement is correct. The Sangam kings followed the Vedic religion of sacrifice.<br/><b>Buddhism and Jainism found a footing in the land of Sangam people.</b> This statement is correct. Buddhism and Jainism did find acceptance among the people during the Sangam period.<br/>In conclusion, statement B is incorrect as the Sangam people did worship deities like Siva, Balaram, and Krishna.",NA
Which statement on Karikala is incorrect?,NA,D,"He defeated the Ceylonese and captured 12000 prisoners and put them to work at Puhar, a sea-port at the mouth of Kaveri.","He had the grand Ancient Srirangam built, thus controlling the waters of the Kaveri at the head of the delta.",He patronised brahmanical religion and Tamil literature.,He was defeated at the battle of Venni.,NA,NA,NA,NA,"Statement D is incorrect because Karikala was not defeated at the battle of Venni.<br/>In fact, Karikala was known for his military victories and strategic prowess. He successfully defeated the Ceylonese, built the grand Ancient Srirangam to control the waters of the Kaveri, and patronised brahmanical religion and Tamil literature.",NA
Which one of the following was the correct Tamil designation of the ministers during the Sangam age?,NA,B,Surram,Amaichchar,Mantri,Amatya,NA,NA,NA,NA,"Tamil Designation of Ministers during the Sangam Age<br/><br/><b>Amaichchar:</b> The correct Tamil designation of ministers during the Sangam age was <q>Amaichchar</q>. This term was used to refer to ministers who held important positions in the governing bodies of the Sangam period.<br/><br/><b>Surram:</b> <q>Surram</q> was not the correct Tamil designation of ministers during the Sangam age. It is not a term commonly used to refer to ministers in ancient Tamil literature.<br/><br/><b>Mantri:</b> <q>Mantri</q> is a Sanskrit term used to refer to ministers or advisors in Indian history. However, during the Sangam age, the term <q>Amaichchar</q> was more commonly used in Tamil literature.<br/><br/><b>Amatya:</b> Although <q>Amatya</q> is a term used in ancient Indian administration to refer to ministers or officers, it was not the specific Tamil designation used during the Sangam age.<br/><br/>Therefore, the correct Tamil designation of ministers during the Sangam age was <q>Amaichchar</q>. This term signifies the important role that ministers played in the governance and administration of the ancient Tamil society during the Sangam period.",NA
"After the death of which one of the following Roman kings, the trade was conducted more by barter than by coins on account of the financial difficulties of the Roman empire?",NA,C,Pius,Augustus,Nero,Claudium,NA,NA,NA,NA,"Financial Difficulties after the Death of Nero: After the death of Nero, the Roman Empire faced severe financial difficulties. This led to a decrease in the circulation of coins and an increase in barter trade. <br/><br/>Barter Trade: Barter trade is a system where goods and services are exchanged directly for other goods and services without using money. During times of financial crisis, like after Nero&#39;s death, barter trade becomes more common as people struggle to obtain coins for transactions.<br/><br/>Impact on Coinage:<br/>The decrease in coin circulation had a significant impact on the economy of the Roman Empire.<br/>Without enough coins in circulation, trade and commerce were disrupted, leading to further economic challenges.<br/><br/>Historical Context:<br/>Nero was the last of the Julio-Claudian dynasty, and his death marked the end of an era in Roman history. The financial difficulties that followed his reign had long-lasting effects on the Roman economy and society.",NA
Identify the great poet who was a contemporary of the Chola king Karikaral and the Chera King Senguttuvan.,NA,A,Paranar,Akkatiyar,Gajabahu,Kapilar,NA,NA,NA,NA,"Great Poet Contemporary of Chola King Karikaral and Chera King Senguttuvan was <br/>Paranar: The great poet Paranar was a contemporary of the Chola king Karikaral and the Chera King Senguttuvan. He was known for his contributions to Sangam literature and is considered one of the greatest Tamil poets of his time.<br/><br/>Paranar&#39;s works are highly regarded for their poetic excellence and deep insights into the human experience. His poems often explore themes of love, nature, and the passage of time, making him a beloved figure in Tamil literary history.",NA
What was the inland capital of the Sangam Cholas?,NA,D,Tanjore,Kaveripattanam,Tricharapalli,Uraiyur,NA,NA,NA,NA,"Explanation:<br/><br/><u>Tanjore:</u> Tanjore was the capital of the Chola dynasty but not specifically the Sangam Cholas.<br/><u>Kaveripattanam:</u> Kaveripattanam was an important port city but not the inland capital of the Sangam Cholas.<br/><u>Tricharapalli:</u> Tricharapalli was an important city during the Chola period but not the inland capital of the Sangam Cholas.<br/><u>Uraiyur:</u> Uraiyur was the inland capital of the Sangam Cholas. It was an important city located near present-day Tiruchirapalli in Tamil Nadu.<br/><br/>Therefore, the correct answer is D: Uraiyur, as it was the inland capital of the Sangam Cholas.",NA
What was the royal emblem for the Cheras?,NA,A,Bow,Elephant,Lion,Horse,NA,NA,NA,NA,"Royal Emblem of the Cheras was <b>A - Bow</b><br/><br/>Explanation:<br/>The royal emblem for the Cheras, an ancient dynasty in South India, was the bow.<br/>The Cheras were known for their military prowess and the bow was a symbol of strength and power in their culture.<br/>Using the bow as their royal emblem showcased their martial skills and leadership in battle.<br/>Other ancient Indian dynasties also used different symbols such as elephants, lions, and horses as their royal emblems.<br/>By understanding the significance of the bow as the royal emblem of the Cheras, we gain insight into their values and traditions as a warrior dynasty in ancient India.",NA
