question_text,question_image,correct_answer,option_1_text,option_2_text,option_3_text,option_4_text,option_1_image,option_2_image,option_3_image,option_4_image,answer_explanation_text,answer_explanation_image
Which is the southern most point of the Indian Union?,NA,C,Nehru point,Gandhi point,Indira point,None of the above,NA,NA,NA,NA,"Indira point is the name of the southernmost point of Republic of India. It is situated on Great Nicobar Island in the Nicobar Islands, which are located in the eastern Indian Ocean at 6&deg;45&#39;10<q>N and 93&deg;49&#39;36<q>E. This is not on the Indian mainland, but within the Union Territory of Andaman and Nicobar Islands.",NA
Choose the correctly matched pair.,NA,C,Tropic of Cancer - 8&deg;04&#39; N,Latitudinal extent - 68&deg;07&#39; E to 97&deg;25&#39; E,Andaman & Nicobar Islands - Bay of Bengal,Total area of India - 7th largest country in the world,NA,NA,NA,NA,"Option A: <u>Tropic of Cancer - 8&deg;04&#39; N</u> <br/>This is incorrect. The Tropic of Cancer is located at 23&deg;30&#39; N, not at 8&deg;04&#39; N. The given coordinates 8&deg;04&#39; N are part of India&#39;s southern latitudinal extent.<br/><br/>Option B: <u>Latitudinal extent - 68&deg;07&#39; E to 97&deg;25&#39; E</u> <br/>This is incorrect. The given coordinates (68&deg;07&#39; E to 97&deg;25&#39; E) represent the longitudinal extent of India, not the latitudinal extent. The correct latitudinal extent of India is 8&deg;04&#39; N to 37&deg;06&#39; N.<br/><br/>Option C: <u>Andaman & Nicobar Islands - Bay of Bengal</u> <br/>This is correct. The Andaman & Nicobar Islands are indeed located in the Bay of Bengal, to the southeast of mainland India.<br/><br/>Option D:<u>Total area of India - 7th largest country in the world</u><br/>This is incorrect. While it is true that India is the 7th largest country in the world by area, the statement <q>Total area of India</q> should correspond to <q>3.28 million square km</q> for it to be correctly matched.",NA
What geographical advantage did India&#39;s location provide in terms of trade and relations?,NA,C,Proximity to Africa and Australia,Access to the Pacific Ocean,Location at the head of the Indian Ocean,Direct connection to the Atlantic Ocean,NA,NA,NA,NA,"India&#39;s strategic position at the head of the Indian Ocean provided a commercially favorable location, facilitating trade and relations with various countries.<br/><br/>This advantageous position enabled India to establish close cultural and commercial contacts with regions like East Africa, West Asia, South and South-East Asia, and East Asia throughout ancient and medieval times.",NA
Assertion (A): Sri Lanka is separated from India by the Palk Strait.<br/><br/>Reason (R): Sri Lanka is located to the south of India.,NA,C,If both Assertion and Reason are true and Reason is the correct explanation of Assertion,If Assertion is true but Reason is false,If both Assertion and Reason are true but Reason is not the correct explanation of Assertion,If both Assertion and Reason are false,NA,NA,NA,NA,"Let us analyze both statements:<br/>Assertion (A) is true: Sri Lanka is indeed separated from India by the Palk Strait.<br/>Reason (R) is also true: Sri Lanka is located to the south of India.<br/>However, the reason that Sri Lanka is located to the south of India is not the explanation for why it is separated from India by the Palk Strait. The Palk Strait is a specific geographical feature that separates the two countries, independent of their relative locations.<br/><br/>Therefore, the correct option is: If both Assertion and Reason are true but Reason is not the correct explanation of Assertion.",NA
"What helped India to established close contacts with West Asia, Africa and Europe from the west coast and with southeast and east Asia from the east coast?",NA,D,The central location,Indian landmass,Deccan Peninsula,All the above,NA,NA,NA,NA,"The peninsular situation, central location, and Indian landmass helped India to establish close contacts with West Asia, Africa, and Europe from the west coast and with southeast and east Asia from the east coast. <br/>The Indian landmass has a focal area in East and West Asia. India is toward the south expansion of the Asian mainland. <br/>The trans-Indian Ocean courses, which associate the nations of Europe in the West with East Asia, give an important focal area to India. <br/>The Deccan peninsula juts into the Indian Ocean, helping India to lay out close contact with West Asia, Africa, and Europe from the Western coast and South-East and East Asia from the Eastern coast. No other nation has a long shore on the Indian Ocean as India has. In this way, India&#39;s prominent situation in the Indian Ocean legitimises the naming of a sea after it.",NA
At which parallel of latitude does India begin to taper towards the south?,NA,A,22&deg; N,23&deg;30&#39; N,8&deg; 4 N,None of these,NA,NA,NA,NA,"At 22&deg;N latitude, India begins to taper towards South. The shape of India does begin to taper into a triangular shape. It extends into the Indian ocean and divides the ocean into two seas; the Arabian Sea to the West and the Bay of Bengal to the East.",NA
Which of the following island groups of India lies to its south-east?,NA,A,Andaman and Nicobar Islands,Lakshadweep,Daman and Diu,Kurusadi Island,NA,NA,NA,NA,"Answer: The correct answer is A: Andaman and Nicobar Islands.<br/>The island group of Andaman and Nicobar Islands lies to the south-east of India. <br/><br/>Let us break down the options and examine each one:<br/>A: Andaman and Nicobar Islands:<br/>- This island group is located in the Bay of Bengal and comprises a total of 572 islands, out of which only 38 are inhabited.<br/>- It is known for its stunning beaches, pristine coral reefs, and rich biodiversity.<br/><br/>B: Lakshadweep:<br/>- Lakshadweep is a group of islands located in the Arabian Sea.<br/>- It consists of 36 islands, out of which only 10 are inhabited.<br/>- The islands are known for their clear turquoise waters, coral reefs, and diverse marine life.<br/><br/>C: Daman and Diu:<br/>- Daman and Diu are located on the western coast of India, near Gujarat.<br/>- They are not island groups, but rather a union territory consisting of two separate areas, Daman and Diu, which are connected by a bridge.<br/><br/>D: Kurusadi Island:<br/>Kurusadi Island is the smallest island in India. It is located in the Gulf of Mannar near Tamil Nadu. Though it&#39;s tiny and uninhabited, the island is part of the Gulf of Mannar Marine National Park, known for its rich biodiversity and marine life.",NA
The <q>Nine Degree Channel</q> is associated with which of the following?,NA,C,Indo-China Border,Coastal Odisha,Lakshadweep Island,Andaman and Nicobar Islands,NA,NA,NA,NA,"The correct answer is Lakshadweep Island.<br/>The <q>Nine Degree Channel</q> is associated with Lakshadweep Island.<br/><br/>Key Points:<br/>- Minicoy Island is separated from the Lakshadweep by Nine degrees Channel. <br/>- The Union Territory of Lakshadweep is formed by islands like Kalpeni and Suheli Par, and Maliku Atoll and Amindivi.<br/>-  It is so named because it lies on the 9-degree line of Latitude to the north of the equator.<br/><br/>Additional Information:<br/><br/>-The Ten-degree channel separates the Andaman group from Nicobar.<br/>- Duncan passage lies between South Andaman and Little Andaman group.<br/>- Eight Degree Channel separates the islands of Minicoy and Maldives.",NA
Which of the following is the southernmost of the Lakshadweep islands?,NA,D,Bitra,Karawati,Amini,Minicoy,NA,NA,NA,NA,The Correct Answer is Minicoy.<br/><br/>Key Points<br/>- The Minicoy Island is the southern-most island of Lakshadweep.<br/>- It is situated at a distance of 398 km (215 nautical miles) south-west of Kochi between 8&deg; 15&#39; and 8&deg; 20&#39; N latitude and 73&deg; 01&#39; and 73&deg; OS&#39; E longitude.<br/>- It has an area of 4.80 sq km.<br/>- This island lies near the 9&deg; Channel.<br/><br/>Important Points<br/><br/>- Bitra Island is the smallest inhabited island of Lakshadweep with a land area of 0.105 sq km.<br/>- Kavaratti is the capital of the Union Territory of Lakshadweep.<br/>- Amini Island is at a distance of 407 km (220 nautical miles) from Kochi and located between Kavaratti Island in the south and Kadmat Island in the north.,NA
Which of the following rivers originate from the Vindhya Range?,NA,A,Betwa,Kaveri,Chenab,Gomati,NA,NA,NA,NA,"The correct answer is Betwa.<br/>Betwa originates from the Vindhya Range.<br/><br/>Key Points<br/><b>Vindhya Range:</b><br/>- The elevation of the Vindhyan Range is 300 to 650 m.<br/>- Vindhya Range is mostly composed of horizontally bedded sedimentary rocks of ancient age.<br/>- It acts as a watershed between the Ganga system and the river systems of South India.<br/>- Rivers like Chambal, Betwa, and Ken rise from Vindhya Range.<br/>- The Betwa river is a tributary of Yamuna.<br/>- Betwa river flows in Madhya Pradesh and Uttar Pradesh.<br/><br/>Additional Information<br/>- Kaveri originates in Brahmgiri Range in Western Ghats. Harangi, Hemavati, Arkavati,  Kabini River, and Noyyal River are tributaries.<br/>- Chenab originates from Bara Lacha Pass.<br/>- Gomati river originates from Gomat Taal.",NA
Siachen Glacier is situated to the,NA,D,East of Aksai Chin,East of Leh,North of Gilgit,North of Nubra Valley,NA,NA,NA,NA,"<b>Important Points</b><br/><u>Nubra Valley</u><br/>- The Nubra Valley acts as the gateway to the strategically important Siachen Glacier and Karakoram Pass.<br/>- The Karakoram Pass on the northwest side connects the valley with Xinjiang, China.<br/>- The Nubra River is a river in the Nubra Valley of Ladakh in India.<br/>- It is a tributary of the Shyok River (a part of the Indus River system) and originates from the Siachen Glacier.<br/><br/><u>Siachin Glacier</u><br/>- It is the longest glacier in the Karakoram and second-longest in the world's non-polar areas in the world. <br/>- The area was once part of the ancient Himalayan trade path, the Silk Route that connected China to the Middle East.<br/>- Indian subcontinent in the extensively glaciated portion of the Karakoram sometimes called the <q>Third Pole</q>.",NA
