question_text,question_image,correct_answer,option_1_text,option_2_text,option_3_text,option_4_text,option_1_image,option_2_image,option_3_image,option_4_image,answer_explanation_text,answer_explanation_image
Consider the following statements:<br/>1. Warm-blooded animals can remain active in cold environment in which cold-blooded animals can hardly move.<br/>2. Cold-blooded animals require much less energy to survive than warm-blooded animals.<br/><br/>Q. Which of the statements given above is/are correct?,NA,B,1 only,Both 1 and 2,2 only,Neither 1 nor 2,NA,NA,NA,NA,"The correct answer is: Both 1 and 2<br/><br/>Explanation:<br/>This statement is correct. Warm-blooded animals have the ability to regulate their internal body temperature, allowing them to remain active in cold environments where cold-blooded animals may struggle due to their reliance on external sources of heat for temperature regulation.<br/>This statement is also correct. Cold-blooded animals typically have lower metabolic rates and require much less energy to survive compared to warm-blooded animals, which need to maintain a constant internal body temperature through metabolic processes that require more energy.",NA
"In honeybee colony, the drones are produced by",NA,B,fertilized eggs,unfertilized eggs,larvae fed upon leaves,None of the above,NA,NA,NA,NA,"Explanation:<br/>-The drones are male bees with no sting.<br/>-They are much larger and stouter than either the queen or the workers.<br/>-Their only function is to impregnate the young queen a task which they are unable to perform until they are about 10 days of age.<br/>-They also help in the maintenance of hive temperature. <br/>-The drones are produced by unfertilized eggs of the queen, or by those workers which take up the reproductive function due to the absence of a queen in a colony.<br/>-The normal life-span of a drone is 57 days. <br/>-Thereby In the honeybee colony, the drones are produced by unfertilized eggs.",NA
Mitosis and meiosis always differ in regard to the presence of,NA,B,Chromatids,Homologous chromosome,Bivalents,None of the above,NA,NA,NA,NA,"Concept-<br/>-Cells grow and multiply to form a diversity of life forms, this process of growth and multiplication of cells is called Cell Division.<br/>-Cell division is of three types :- Mitosis - Equational division, occurs in somatic (non-sex) cells ; Meiosis - Reductional division, occurs in sex cells ; Amitosis - Direct type of division, occurs in prokaryotes <br/><br/>Explanation-<br/>There are four stages in a mitosis celldivision :- i) Prophase ; ii) Metaphase ; iii) Anaphase ; iv) Telophase. <br/>Meiosis involves two sequential cycles of nuclear and cell division called meiosis I and meiosis II. <br/>Prophase - I have a five-stage - Leptotene, Zygotene, Pachytene, Diplotene and Diakinesis. <br/>In Meiosis bivalents are formed in prophase I. <br/>The bivalent has a paired chromosome i.e two chromosomes in a tetrad. <br/>In mitosis, a bivalent is not formed. <br/>Thereby mitosis and meiosis always differ in regard to the presence of bivalent.",NA
Which of the following is not a true amphibian animal ?,NA,A,Tortoise,Frog,Toad,Salamander,NA,NA,NA,NA,"Explanation:- <br/>-A tortoise is not a true amphibian animal. Tortoises are reptiles, whereas frogs, toads, and salamanders are true amphibians.<br/>-Tortoises have dry, scaly skin and lay their eggs on land. They do not undergo metamorphosis and do not have a stage of their life cycle in water.<br/>-They are mostly terrestrial and adapted for a dry environment.<br/>-Tortoises are not true amphibians because they do not have the life cycle and physiological characteristics typical of amphibians.",NA
Animals belonging to which of the following phyla are acoelomates?,NA,A,Platyhelminthes,Mollusca,Aschelminthes,None of the above,NA,NA,NA,NA,"The correct answer is Option 1, i.e Platyhelminthes.<br/>Examples of acoelomates are found in the kingdom Animalia and the phylum Platyhelminthes.<br/>Commonly known as flatworms, these invertebrate animals are unsegmented worms with bilateral symmetry.<br/>Platyhelminthes do not have a coelom.<br/>A coelom is a cavity situated between the body wall and gut wall.<br/>Coelom is lined by tissue only derived from mesoderm.<br/>Animals belonging to the phyla Arthropoda and Mollusca are coelomates.<br/>Animals belonging to the phylum Aschelminthes are pseudocoelomates.<br/>Pseudocoelomates are the animals that have a pseudocoelom.<br/> A pseudocoelom is a cavity that is lined by the tissue derived from mesoderm and endoderm.",NA
<q>A camel is called the ship of the desert</q> is drawn from the assumption:,NA,B,Camels have humps.,Camels are used for transportation in deserts.,Camels are mammals.,Camels survives days without water,NA,NA,NA,NA,"Key Points:<br/><q>A camel is called the ship of the desert</q> is drawn from the assumption because camels are used for transportation in deserts.<br/>Dromedary camels can carry over two hundred kilograms on their backs.<br/>Camels can walk four kilometres per hour through the hot desert.<br/>They can survive up to 15 days without water.<br/>Camel humps can contain up to nearly 80 pounds of fatty tissue.<br/>They store fat in their humps and this fat helps them to go on without water.<br/>Since deserts are water-scarce places and the loose soil restricts any form of transport, the camel is considered the ship of the desert because it helps people to carry their stuff from one corner to another.",NA
Prawns and butterflies belong to the same phylum because of the presence of _______.,NA,B,bilateral symmetry,jointed legs,antennae,segmented body,NA,NA,NA,NA,"The correct answer is jointed legs.<br/>Arthropoda - <br/>The word <q>arthropod</q> means <q>jointed legs</q>.<br/>Ex: houseflies, spiders, scorpions, prawns, butterflies and crabs. <br/><br/>The Hierarchy of Classification of living organisms :- <br/>Living organisms are classified into five kingdoms, by Whittaker, i.e. : ?a) Kingdom Monera ; b) Kingdom Protista ; c) Kingdom Fungi ; d) Kingdom Plantae ; e) Kingdom Animalia. <br/>Further classification is done by the following scheme: Kingdom, Phylum (for animals) / Division (for plants), Class, Order, Family, Genus, Species. <br/>Kingdom Animalia is further classified based on the extent and type of the body design differentiation found.",NA
"Nephridia, is an excretory organ present in which of the following organism?",NA,A,Earthworm,Locust,Sea-anaemone,Starfish,NA,NA,NA,NA,"The correct answer is Earthworm.<br/>Nephridia are the excretory organs in Earthworms, which belongs to Phylum Annelida.<br/><br/>Key Points:<br/>- Annelida is a large phylum of the Animal Kingdom and is also known as ringworms or segmented worms.<br/>-The body is divided externally as well as internally into segments by septa or partitions.<br/>- They possess longitudinal and circular muscles which help in locomotion.<br/>- Nephridia is a characteristic feature in Phylum Annelida which helps in osmoregulation and excretion.<br/>- Respiration occurs through the body wall and gills and the Nervous system is well-developed.<br/>- Fertilization may be internal or external.<br/>- Common Examples are- Pheretima (Earthworm), Nereis (clamworm).",NA
The animals which lay eggs are called _____,NA,C,Viviparous,Carnivorous,Oviparous,Ovoviviparous,NA,NA,NA,NA,"Oviparous animals are the animals that lay eggs.<br/>Oviparous animals are female animals that lay their eggs, with little or no other embryonic development within the mother.<br/>This is the reproductive method of most fish, amphibians, most reptiles, and all pterosaurs, dinosaurs (including birds), and monotremes.",NA
Animals of which phylum have jointed legs?,NA,C,Mollusca,Nematoda,Arthropoda,Echinodermata,NA,NA,NA,NA,"<b>Arthropoda</b> is a group of invertebrate animals having an exoskeleton, a segmented body and jointed legs.<br/>Their body consists of segments with a pair of appendages.<br/>Their reproduction occurs by internal fertilization (terrestrial species) and internal or external fertilization (aquatic species).<br/>They have an open circulatory system.<br/>Types of Arthropods - <u>Insects:</u> Ants, Aphids, Butterflies, Grasshoppers, Termites, and etc. <br/><u>Arachnids:</u> Scorpion, Mites, Spiders <br/><u>Crustacean:</u> Crabs, Fish, Lobsters, Shrimp, and etc.<br/><br/>Additional Information:<br/><br/> <u>Mollusca: </u> 2nd largest phylum of invertebrate animals mostly found in marine and freshwater having the soft body divided into head, visceral mass, muscular foot, and mantle. Examples: Snail, Octopus, Squid, Oyster, Clams, and etc. <br/> <u>Nematoda:</u> bilaterally symmetrical, elongate and tapered at both ends; an important role in nutrient recycling in the soil feed. They cause diseases such as Ascariasis, Enterobiasis, Filariasis, and etc. Examples: Ascarids, Worms <br/><u>Echinodermata:</u> marine animals having a star-like appearance, Echinoderms (Phylum Echinodermata) are a diverse, exclusively marine group of invertebrates. Examples: Starfish, Sea urchins, Crinoids, etc.",NA
