question_text,question_image,correct_answer,option_1_text,option_2_text,option_3_text,option_4_text,option_1_image,option_2_image,option_3_image,option_4_image,answer_explanation_text,answer_explanation_image
Who was Sikkim's last sovereign king?,NA,Palden Namgyal,Phuntsog Namgyal,Tenzing Namgyal,Tashi Namgyal,Palden Namgyal,NA,NA,NA,NA,"About Palden Namgyal: <br/>He was born on 23rd May 1923. Palden Thondup Namgyal was the 12th and last Chogyal King of Sikkim. Earlier, the kingdom of Sikkim was known as ""Dremoshong"". Palden Thondup Namgyal preceded by Tashi Namgyal. The ""Order of the Precious Jewel of the Heart of Sikkim"" was founded by Palden Thondup Namgyal in September 1972. Under his reign, he shaped a 'Model Asian State' where the Per Capita Income and Literacy Rate were twice as high as Neighbors Bhutan and Nepal but were less than India. He died on 10th April 1975.",NA
Which of the following Union Territories is given partial statehood in India?,NA,Puducherry,Chandigarh,Dadra and Nagar Haveli,Daman Diu,Puducherry,NA,NA,NA,NA,"Puducherry is a union territory in India. <br/>François Martin is considered as the father of Puducherry.
Puducherry is the first union territory in India to form a legislative assembly. Puducherry became a union territory in 1962. <br/>The administrative system of Puducherry consists of an elected legislative assembly and an executive council of ministers. Puducherry consists of a locally elected legislative assembly and government. <br/>The famous Romain Rolland library is located at Puducherry. <br/>The French left Puducherry in 1954.",NA
Which of the following is NOT possible by a law of Parliament under Article 3 of the Constitution?,NA,Admission of new States,Formation of new States,Alteration of areas of States,Alternation of boundaries of States,Admission of new States,NA,NA,NA,NA,Article 3 of the Indian Constitution: <br/>It empowered the Parliament to make laws relating to the formation of new states and alteration of existing states. <br/><br/>Parliament may by law: <br/>Form a new State by separation of territory from a State or by uniting two or more States or parts of States <br/>Increase the area of any State <br/>Diminish the area of any State <br/>Alter the boundaries of any State <br/>Alter the name of any State,NA
The constitution of India describes India as,NA,A Union of States,A Union of States,Quasi-federal,A federation of state and union territories,A Unitary State,NA,NA,NA,NA,"The correct answer is a Union of State.<br/><br/>The Union and its Territories: <br/> Article 1 describes India, i.e. Bharat, as a Union of States. <br/> According to Article 1, the Territory of India can be classified into three categories: <br/>Territories of the States. <br/>Union Territories. <br/>Territories that may be acquired by the Government of India at any time. <br/>At present, there are 28 states and 8 Union territories in the country. <br/>Article 2 empowers the Parliament to admit into the Union of India, or establish new states on such terms and conditions as it thinks fit.",NA
Which Article of the Constitution of India vests the power to form new States in the Parliament?,NA,Article 3,Article 2,Article 1,Article 4,Article 3,NA,NA,NA,NA,"Article 3 of the Constitution of India vests the power to form new States in the Parliament <br/>Article 1: Name and Territory of the Union <br/>Article 2: Admission or establishment of new states <br/>Article 3: Formation of new states and alteration of areas, boundaries, or names of existing states <br/>Article 4: Laws made under Articles 2 and 3 to provide for the amendment of the first and the fourth schedule and supplemental, incidental, and consequential matters",NA
Which of the following is the first State in India formed on the basis of languages?,NA,Andhra Pradesh,Kerala,Madhya Pradesh,Andhra Pradesh,Uttar Pradesh,NA,NA,NA,NA,"Andhra Pradesh was the first state of Independent India formed on a linguistic basis. <br/>It was formed on October 1, 1953. <br/>This state was formed for Telugu-speaking people after prolonged agitations.",NA
Ladakh was divided into Kargil and Leh district in which year?,NA,1979,1977,1978,1979,1980,NA,NA,NA,NA,"In 1979, Ladakh, a region in the northernmost part of India, was divided into two districts: Kargil and Leh. Prior to this division, Ladakh was considered a single district. The decision to divide Ladakh into two districts was made to improve administrative efficiency and governance in the region. <br/><br/>Kargil district is located in the western part of Ladakh and its headquarters is in the town of Kargil. Leh district, on the other hand, is situated in the eastern part of Ladakh, with its headquarters in the town of Leh. Each district has its own administrative structure and is responsible for the local governance and development activities within its jurisdiction. <br/> Overall, the division of Ladakh into districts has played a crucial role in promoting local governance and enhancing the overall development of the region.",NA
The states of Maharashtra and Gujarat were created in _________.,NA,1960,1962,1959,1961,1960,NA,NA,NA,NA,The states of Maharashtra and Gujarat were created in 1960.,NA
How many States are there in the Indian Union?,NA,28,29,28,27,30,NA,NA,NA,NA,There are 28 states and 8 Union territories in the country.,NA
Which of the following is the capital of the Union Territory Daman and Diu?,NA,Daman,Daman,Diu,Dabhel,Bhimpore,NA,NA,NA,NA,"Daman and Diu had become a union territory in western India. <br/>With an area of 112 km2, it was India's smallest federal division on the mainland. <br/>The territories consisted of two distinct regions - Daman and Diu - which are physically divided by the Gulf of Khambhat. <br/>The state of Gujarat and the Arab Sea bordered the territory. <br/>The territory of the Portuguese colony after the 1500s was occupied by India in 1961. <br/>Daman and Diu were administered as part of the union territory of Goa, Daman and Diu from 1961 to 1987 when they became a separate union territory.",NA
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
