question_text,question_image,correct_answer,option_1_text,option_2_text,option_3_text,option_4_text,option_1_image,option_2_image,option_3_image,option_4_image,answer_explanation_text,answer_explanation_image
Which one of the following tissues is known as basic packing tissue and found in xylem and phloem?,NA,B,Collenchyma,Parenchyma,Sclerenchyma,Vessels,NA,NA,NA,NA,"Option 1: Collenchyma is a type of plant tissue that provides structural support to young and growing parts of plants. It is characterized by thickened cell walls, mostly in the corners. Collenchyma tissue is not known as the basic packing tissue found in xylem and phloem.<br/><br/>Option 2: Parenchyma tissue is indeed known as the basic packing tissue found in xylem and phloem. Parenchyma cells are thin-walled, living cells that function in various ways such as storage, photosynthesis, and gas exchange. They are commonly found in the ground tissue of plants and can be found in the xylem and phloem, where they play a role in providing structural support and storing nutrients.<br/><br/>Option 3: Sclerenchyma tissue consists of cells with thick, lignin-reinforced cell walls. These cells provide structural support and often have a dead appearance. While sclerenchyma is present in vascular tissues like xylem, it is not known as the basic packing tissue found in xylem and phloem.<br/><br/>Option 4: Vessels, also known as tracheary elements are dead, hollow cells with patterned cell walls comprising xylem vessels and tracheids, which function as conductive hollow tubes for water and nutrient transport throughout the plant body.",NA
The food conducting tissue of a plant is,NA,A,Phloem,Xylem,Parenchyma,Collenchyma,NA,NA,NA,NA,"The correct answer is option 1: Phloem.<br/>In plants, the food conducting tissue is responsible for the transportation of organic nutrients, such as sugars and amino acids, throughout the plant. This tissue is known as the phloem.<br/><br/>Option 2, Xylem, is responsible for the transportation of water and minerals from the roots to the different parts of the plant.<br/><br/>Option 3, Parenchyma, is a type of plant tissue that is involved in various functions like storage, photosynthesis, and secretion. However, it is not directly involved in the transportation of food.<br/><br/>Option 4, Collenchyma, is a type of plant tissue that provides structural support to the plant. It is not involved in the transportation of food.<br/>Therefore, the correct answer is option 1, phloem, as it is specifically responsible for the transportation of food in plants.",NA
Which one of the following plant tissues has large air spaces?,NA,D,Sclerenchyma,meristem,Collenchyma,Aerenchyma,NA,NA,NA,NA,"The correct answer is option 4: Aerenchyma.<br/>Aerenchyma is a specific type of tissue found in plants that has large air spaces. These air spaces allow the uptake and transport of gases, particularly oxygen, to cells and tissues that are submerged in water.<br/><br/>Let us take a closer look at the other options to understand why they are not the correct answers.<br/>1. Sclerenchyma: This tissue is characterized by thick, lignified cell walls and provides support and protection to the plant. However, it does not have large air spaces.<br/>2. Meristem: Meristem refers to the undifferentiated or actively dividing cells in plants. It is responsible for growth and development. While meristem cells are important for plant growth, they do not have large air spaces.<br/>3. Collenchyma: Collenchyma tissue provides flexible support to growing plant parts. It is typically found in regions of new growth, such as the petioles and stems. However, like other plant tissues mentioned earlier, collenchyma does not have large air spaces.<br/>In conclusion, aerenchyma is the correct answer as it is the only plant tissue that is characterized by large air spaces.",NA
Which one of the following plant tissues has dead cells?,NA,D,Epidermis,Parenchyma,Collenchyma,Sclerenchyma,NA,NA,NA,NA,"Option 4, Sclerenchyma, is the correct answer. <br/>Sclerenchyma is a type of plant tissue that consists of dead cells. These cells have thick, lignified cell walls which provide support and protection to the plant. The dead cells of sclerenchyma tissue are characterized by their hard and rigid structure, making this tissue type particularly useful in plant parts that require strength and durability.<br/><br/>Option 1, Epidermis, is incorrect. Epidermis is the outermost layer of cells in plants and it is typically composed of living cells that play a role in protection and gas exchange.<br/>Option 2, Parenchyma, is also incorrect. Parenchyma is a type of plant tissue that consists of living cells, often with thin cell walls. It is responsible for various functions, such as photosynthesis, storage, and secretion.<br/>Option 3, Collenchyma, is another incorrect choice. Collenchyma is a type of plant tissue that consists of living cells with unevenly thickened cell walls. It provides support to growing parts of the plant, but the cells are not dead like in sclerenchyma tissue.",NA
"In a plant, the xylem tissue conducts:",NA,A,water,food,water and food,None of these,NA,NA,NA,NA,"The correct answer is option 1: water.<br/>The xylem tissue in plants is responsible for the upward transport of water and dissolved minerals, from the roots to the rest of the plant. It is like a network of tiny tubes that run vertically through the plant. Through a process called transpiration, water evaporates from the leaves, creating a pull that draws water up through the xylem from the roots. This pull is known as the <q>transpirational pull</q> or <q>cohesion-tension theory</q>.<br/>Although option 2 mentions food, the transport of food or nutrients in plants is primarily carried out by a different tissue called phloem. Phloem tissue is responsible for the transport of sugars, amino acids, hormones, and other organic molecules from the leaves (where they are produced) to the other parts of the plant.<br/>Option 3, which suggests that xylem conducts both water and food, is incorrect because xylem is exclusively involved in the transportation of water and minerals.<br/>Option 4 states that none of the options are correct, but in this case, option 1 is indeed correct.",NA
The only living tissue in plant xylem is,NA,C,Trachea,Xylem fibre,Xylem parenchyma,Tracheid,NA,NA,NA,NA,"The correct answer to the question is option 3: Xylem parenchyma.<br/>The xylem tissue in plants is responsible for transporting water and nutrients from the roots to the rest of the plant. Xylem is composed of several different cell types, including tracheids, vessel elements, xylem fibers, and xylem parenchyma.<br/><br/>Option 1: Trachea refers to a type of cell found in animal respiratory systems and is not present in plant xylem. Therefore, this option is incorrect.<br/>Option 2: Xylem fibers are responsible for providing structural support to the plant, but they do not carry out living processes. They are actually dead cells with thick cell walls. Therefore, this option is incorrect.<br/>Option 4: Tracheids are elongated cells with tapered ends that are responsible for water conduction in gymnosperms and ferns. While they are living cells, they are not the only living tissue in plant xylem. Therefore, this option is incorrect.<br/><br/>Xylem parenchyma, on the other hand, is the living tissue within the xylem. These cells are responsible for various metabolic activities and play a role in the storage and transport of carbohydrates.",NA
Which one of the following is NOT a component of conducting tissue in plants?,NA,C,Fibres,Tracheids,Pericycle,Sieve tubes,NA,NA,NA,NA,"The question is asking for the component that is NOT a part of conducting tissue in plants. Conducting tissue refers to the specialized tissue in plants that is responsible for transporting water, nutrients, and other substances throughout the plant.<br/><br/>Option 1: Fibres - Fibres are not a component of conducting tissue in plants. Fibres are a type of sclerenchyma cells that provide structural support to the plant. They are not involved in the transport of substances.<br/>Option 2: Tracheids - Tracheids are a type of cells present in the xylem tissue, which is a part of the conducting tissue in plants. Tracheids are responsible for transporting water and minerals upwards from the roots to other parts of the plant.<br/>Option 3: Pericycle - Pericycle is not a component of conducting tissue in plants. Pericycle is a layer of cells that surrounds the vascular tissue, and it is involved in lateral root development.<br/>Option 4: Sieve tubes - Sieve tubes are a type of cells present in the phloem tissue, which is another component of conducting tissue in plants. Sieve tubes are responsible for transporting sugars and other organic compounds from the leaves to the rest of the plant.",NA
Which of the following does not possess a specialized conducting tissue for transport of water and other substances in plants?,NA,A,Marchantia,Marsilea,Cycas,Fern,NA,NA,NA,NA,"The correct answer is option 1, which is Marchantia. Marchantia is a type of liverwort, which is a non-vascular plant. Non-vascular plants do not possess specialized conducting tissues like xylem and phloem, which are responsible for the transport of water and other substances in plants.<br/><br/>Option 2, Marsilea, is a type of fern. Ferns are vascular plants and possess specialized conducting tissues for the transport of water and other substances. Therefore, option 2 is not the correct answer.<br/><br/>Option 3, Cycas, is a type of gymnosperm. Gymnosperms are also vascular plants and have specialized conducting tissues. Therefore, option 3 is not the correct answer.<br/><br/>Option 4, Fern, is a vascular plant and possesses specialized conducting tissues. Ferns have xylem and phloem that help in the transportation of water and other substances. Therefore, option 4 is not the correct answer.<br/>Therefore, the correct answer is option 1, Marchantia.",NA
Which one of the following statements about meristematic tissues in plants is correct ?,NA,D,These are dead tissues and form wood,they provide flexibiltiy to plant due to their thickened walls,These are present in the bark of a tree only,Growth occurs in plants due to division of cells of these tissues,NA,NA,NA,NA,"The correct statement about meristematic tissues in plants is option 4: Growth occurs in plants due to the division of cells of these tissues.<br/>Meristematic tissues are a type of plant tissue that is responsible for the growth and development of plants. They are found in areas called meristems, which are regions of actively dividing cells. These tissues are alive and highly active, constantly undergoing cell division to produce new cells.<br/><br/>Option 1 is incorrect because meristematic tissues are not dead tissues and do not form wood. Wood is formed from a different type of plant tissue called xylem.<br/>Option 2 is incorrect because meristematic tissues do not provide flexibility to plants due to their thickened walls. Instead, they are responsible for the production of new cells, which contribute to plant growth.<br/>Option 3 is incorrect because meristematic tissues are not limited to the bark of a tree. They are found in various regions of the plant, including the root tips, shoot tips, and cambium.<br/>In summary, meristematic tissues play a crucial role in plant growth by continuously dividing to produce new cells.",NA
Which one of the following statements is correct?,NA,A,"Xylem consists of tracheids, vessels, xylem parenchyma and xylem fibres",Flexibility in plants is due to sclerenchyma,The parenchyma has no intercellular spaces,"Xylem consists of sieve plate, sieve tube and companion cells",NA,NA,NA,NA,"Option 1 is the correct statement. Xylem is a complex tissue in plants that is responsible for transporting water and minerals from the roots to other parts of the plant. It consists of several cell types, including tracheids, vessels, xylem parenchyma, and xylem fibers.<br/>Tracheids and vessels are long, tube-like cells that transport water and minerals upwards in the plant. They are characterized by having thick, lignified cell walls which provide strength and support to the plant. Xylem parenchyma is a type of living cell that provides metabolic support to the xylem tissue. Xylem fibers, on the other hand, are elongated cells that provide additional support to the plant.<br/><br/>Option 2 is incorrect. Flexibility in plants is primarily due to collenchyma, a type of ground tissue that provides mechanical support to growing plant parts.<br/>Option 3 is incorrect. Parenchyma cells have intercellular spaces between them, allowing for the exchange of gases and movement of substances within the plant.<br/>Option 4 is incorrect. Sieve plates, sieve tubes, and companion cells are components of phloem, another complex tissue in plants that is responsible for transporting food and sugars from the leaves to other plant parts.",NA
