question_text,question_image,correct_answer,option_1_text,option_2_text,option_3_text,option_4_text,option_1_image,option_2_image,option_3_image,option_4_image,answer_explanation_text,answer_explanation_image
The slowest rate of plate movement can be seen in,NA,B,East Pacific region,Arctic ridge.,South pacific region,Mid Atlantic ridge,NA,NA,NA,NA,The slowest rate of plate movement can be seen in Artic ridge. It is less than 2.5 cm/yr.,NA
"According to the Plate Tectonic concept, how many major plates are there?",NA,A,7,9,12,11,NA,NA,NA,NA,"On Earth, there are seven major plates and many minor plates. Where plates meet, their relative motion determines the type of boundary; convergent, divergent, or transform. ",NA
The continental drift theory was propounded by,NA,A,Alfred Wegner,Aortelius,Hall and Danna.,Abraham Ortelius.,NA,NA,NA,NA,Alfred Wegener - a German meteorologist put forth a comprehensive argument in the form of <q>the continental drift theory</q> in 1912.,NA
The Rim of the Pacific is also called,NA,A,Ring of Fire.,Ring of Waves.,Ring of Ridges.,Ring of Slopes.,NA,NA,NA,NA,"It is also called the <q>Ring of Fire</q>, because of the existence of the active volcanoes.",NA
Which of the following connects the continental shelf and the ocean basins?,NA,B,Deep sea plains,Continental slope,Mid oceanic ridges,None of these,NA,NA,NA,NA,"The continental slope connects the continental shelf and the ocean basins.<br/>Hence, the correct answer is Continental slope.<br/>It begins where the bottom of the continental shelf sharply drops off into a steep slope.<br/>The gradient of the slope region varies between 2-5&deg;.<br/>The depth of the slope region varies between 200 and 3,000 m.",NA
Tillite is formed due to,NA,C,deposits on mountains.,deposits of volcanoes,deposits of glaciers.,deposits of gold.,NA,NA,NA,NA,It is a sedimentary rock formed because of the glacier deposits.,NA
What is a tectonic plate that lies between the Asiatic and Pacific Plate?,NA,D,Cocos Plate,Nazca Plate,Arabian Plate,Philippine Plate,NA,NA,NA,NA,"The Philippine Plate is an oceanic tectonic plate, between the Pacific Ocean to the east and Asiatic plate on the west.",NA
A tectonic plate is a slab of,NA,C,molten rock,hot rock,solid rock,small rocks,NA,NA,NA,NA,"A tectonic plate (also called lithospheric plate) is a massive, irregularly-shaped slab of solid rock, generally composed of both continental and oceanic lithosphere.",NA
"Regarding Galapagos Islands, consider the following statements:<br/>1. These islands are volcanic in origin and were never attached to any continent.<br/>2. The stark rocky islands, many with few plants in these islands, made it necessary for many species to adapt to survive here and by doing so evolving into new endemic.<br/>3. Galapagos were instrumental in developing Darwin&#39;s Theory of Evolution.<br/>Which of the above is/are correct?",NA,A,"1, 2 and 3 only",2 and 3 only,2 only,1 and 3 only,NA,NA,NA,NA,Galapagos Islands are formed due to hotspot activity. The Galapagos Islands are located off the west coast of South America straddling the equator. It belongs to Ecuador.<br/><br/>The Galapagos are located at the confluence of several currents including the cold Humboldt Current travelling north from South America and the Panama Current travelling south from Central America making the islands cooler than you would think and providing the perfect environment for the unique mix of wildlife that inhabits the islands.<br/>Galapagos were instrumental in developing Darwin&#39;s Theory of Evolution.,NA
The <q>Pacific Ring of Fire</q> is a chain of volcanoes and includes locations from<br/>1. New Zealand<br/>2. Alaska<br/>3. Pacific islands of Solomon<br/>Which of the above is/are correct?,NA,D,1 and 2 only,2 and 3 only,1 and 3 only,All of the above,NA,NA,NA,NA,"The Ring of Fire stretches from the southern tip of South America, up along the coast of North America, across the Bering Strait, down through Japan, and into New Zealand. Sri Lanka lies outside the ring.<br/><b/>The southern portion is more complex, with several smaller tectonic plates in collision with the Pacific plate from the Mariana Islands, the Philippines, Bougainville, Tonga etc.",NA
Consider the following statements:<br/>Assertion (A): Shallow-focus earthquakes may occur along transform boundaries.<br/>Reason (R): Significant energy may be released where crustal plates slide past one another.<br/>Which of the above statements is/are correct?,NA,A,"A is correct, and R is an appropriate explanation of A.","A is correct, but R is not an appropriate explanation of A.","A is correct, but R is incorrect.",Both A and R are incorrect.,NA,NA,NA,NA,"There are three types of plate boundaries: spreading zones, transform faults and subduction zones.<br/>Earthquakes are located along the normal faults that form the sides of the rift or beneath the floor of the rift.<br/>However, transform faults are found where plates slide past one another. Shallow-focus earthquakes occur along transform boundaries where two plates move past each other.",NA
Plate tectonics is a scientific theory that describes the large scale motions of Earth&#39;s lithosphere.<br/>Which one among the following statements regarding Plate tectonics is not correct ?,NA,D,Tectonic plates are composed of both Oceanic Lithosphere and thicker Continental Lithosphere,Tectonic plates are able to move because the Earth&#39;s lithosphere has a higher strength than the underlying asthenosphere,The Earth&#39;s lithosphere is broken up into tectonic plates.,"Along convergent plate boundaries, subduction carries plates into the mantle",NA,NA,NA,NA,"Option 1: This statement is correct. Tectonic plates are indeed composed of both oceanic lithosphere (which is thinner and denser) and continental lithosphere (which is thicker and less dense). This is because the Earth&#39;s lithosphere is comprised of both oceanic and continental crust.<br/>Option 2: This statement is also correct. Tectonic plates are able to move because the Earth&#39;s lithosphere is stronger and more rigid compared to the underlying asthenosphere, which is partially molten and less rigid. The strength of the lithosphere allows for the movement of tectonic plates.<br/>Option 3: This statement is correct. The Earth&#39;s lithosphere is indeed broken up into tectonic plates. These plates are like puzzle pieces that fit together to cover the Earth&#39;s surface.<br/>Option 4: This statement is not correct. Along divergent plate boundaries, it is not subduction that carries plates into the mantle. Instead, it is the process of seafloor spreading that occurs at divergent boundaries. Here, two plates move apart, and new lithosphere is created as magma rises and solidifies to form new crust.",NA
"The rigid lithospheric slabs are known as <q>Plates</q>. What would be the result, if the oceanic plate collides with the continental plate?<br/>1. Oceanic plate is forced below the continental plate<br/>2. Continental plate is forced below the oceanic plate<br/>3. Continental and oceanic plates never collide<br/>Select the correct answer using the code given below :",NA,A,1 only,2 only,1 and 2 only,"1, 2 and 3",NA,NA,NA,NA,"When an oceanic plate collides with a continental plate, the result is that the oceanic plate is forced below the continental plate. This is because oceanic plates are denser than continental plates, so when they collide, the denser oceanic plate sinks beneath the less dense continental plate in a process known as subduction. This creates a subduction zone, where the oceanic plate is forced into the underlying asthenosphere. As the oceanic plate sinks, it may also cause the overlying continental plate to buckle and uplift, leading to the formation of mountain ranges.<br/><br/>Option 1, which states that the oceanic plate is forced below the continental plate, is the correct answer. Option 2, which states that the continental plate is forced below the oceanic plate, is incorrect because it is the opposite of what actually happens. Option 3, which states that continental and oceanic plates never collide, is also incorrect because continental-oceanic plate collisions do occur and are responsible for various geological phenomena such as volcanic activity and the formation of island arcs.",NA
What would happen if phytoplankton of an ocean is completely destroyed for some reason?<br/>1. The ocean as a carbon sink would be adversely affected.<br/>2. The food chains in the ocean would be adversely affected.<br/>3. The density of ocean water would drastically decrease.<br/>Select the correct answer using the codes given below :,NA,A,1 and 2 only,2 only,3 only,"1, 2 and 3",NA,NA,NA,NA,"If phytoplankton in an ocean is completely destroyed for some reason, the following outcomes are likely to occur:<br/>The ocean as a carbon sink would be adversely affected: Phytoplankton plays a crucial role in the carbon cycle by absorbing carbon dioxide from the atmosphere through photosynthesis and storing it in the deep ocean. If phytoplankton were completely destroyed, the ocean&#39;s ability to absorb carbon dioxide from the atmosphere and act as a carbon sink would be severely affected.<br/>The food chains in the ocean would be adversely affected: Phytoplankton forms the base of the marine food chain and is the primary source of food for many marine organisms, including fish, whales, and zooplankton. If phytoplankton were completely destroyed, the entire marine ecosystem would be adversely affected, and many species would struggle to find food, leading to a collapse of the food chain.<br/>The density of ocean water would not drastically decrease: While phytoplankton does contribute to the production of oxygen in the ocean, its absence would not drastically decrease the density of ocean water.<br/>Therefore, the correct answer is 1 and 2 only.",NA
Which one among the following explains the earthquakes of the eastern margins of Asia?,NA,A,Subduction of Pacific plate under Asiatic plate,Subduction of African plate below European plate,Subduction of Indian plate under Asiatic Plate,Subduction of American plate under the Pacific plate,NA,NA,NA,NA,"Option 1 explains the earthquakes of the eastern margins of Asia. This is because the eastern margins of Asia are located along the Ring of Fire, which is a major area in the basin of the Pacific Ocean where a large number of earthquakes and volcanic eruptions occur. The Ring of Fire is formed due to the subduction of the Pacific plate under the neighboring continental plates, including the Asiatic plate.<br/>Subduction is a geological process where one tectonic plate is forced beneath another plate and into the Earth&#39;s mantle. In the case of the earthquakes along the eastern margins of Asia, the Pacific plate is subducting under the Asiatic plate. This subduction leads to the build-up of stress and energy, which is then released in the form of earthquakes.<br/>Option 2 is incorrect because it describes the subduction of the African plate below the European plate, which is not relevant to the earthquakes in the eastern margins of Asia.<br/>Option 3 is incorrect because it describes the subduction of the Indian plate under the Asiatic plate. While this subduction does occur further south, it does not explain the earthquakes specifically along the eastern margins of Asia.<br/>Option 4 is incorrect because it describes the subduction of the American plate under the Pacific plate, which is not relevant",NA
Which one of the following is not a major tectonic plate?,NA,A,Saudi Arabian plate,Antarctica and the surrounding oceanic plate,India-Australia-New Zealand Plate,Pacific plate,NA,NA,NA,NA,"The correct answer is option A: Saudi Arabian plate is not a major tectonic plate.<br/>Tectonic plates are large, rigid pieces of the Earth&#39;s lithosphere that fit together like a jigsaw puzzle and cover the entire surface of the Earth. There are seven major tectonic plates: the Pacific plate, North American plate, Eurasian plate, African plate, Indo-Australian plate, Antarctic plate, and South American plate.<br/>Option 1, the Saudi Arabian plate, is not listed as one of the major tectonic plates. The Arabian plate is a smaller plate that includes the Arabian Peninsula and parts of the surrounding region, not a major tectonic plate.<br/>Option 2, Antarctica and the surrounding oceanic plate, is a major tectonic plate known as the Antarctic plate. It is one of the seven main plates and covers the continent of Antarctica as well as the surrounding oceanic region.<br/>Option 3, the India-Australia-New Zealand plate, is also a major tectonic plate known as the Indo-Australian plate. It includes the Indian subcontinent, Australia, New Zealand, and parts of Southeast Asia.<br/>Option 4, the Pacific plate, is another major tectonic plate.",NA
Which one of the following is a major plate?,NA,A,Pacific Plate,Cocos Plate,Arabian Plate,Philippine Plate,NA,NA,NA,NA,"The correct answer is option 1, Pacific Plate.<br/>Option 1, Pacific Plate, is considered a major plate in plate tectonics. The Pacific Plate is the largest of all the tectonic plates and covers a significant portion of the Earth&#39;s surface. It is surrounded by several smaller plates and is involved in several important tectonic interactions.<br/>Option 2, Cocos Plate, is a smaller tectonic plate located off the western coast of Central America. While it is significant in terms of its role in the subduction zone, it is not classified as a major plate.<br/>Option 3, Arabian Plate, is another medium-sized plate located in the Middle East. It is involved in the collision between the Arabian and Eurasian plates and has a significant impact on the geology of the region. However, it is not considered a major plate.<br/>Option 4, Philippine Plate, is a smaller tectonic plate situated in the western Pacific Ocean. It is bounded by several other plates and plays a role in the complex tectonic activity in the region. While it is important in terms of its geological processes, it is not classified as a major plate.",NA
Who proposed the seafloor spreading hypothesis?,NA,B,Alfred Wegner,Harry Hess,Fred Vine,D.H. Matthews,NA,NA,NA,NA,"Answer is Harry Hess.<br/>Harry Hess proposed the seafloor spreading hypothesis. This theory suggests that new oceanic crust is formed at mid-ocean ridges and then spreads outwards, pushing older crust away from the ridge. Hess&#39; hypothesis was a significant contribution to the understanding of plate tectonics and provided a mechanism for how continents move and interact with each other.",NA
What instrument was used in mapping the variations in the Earth&#39;s magnetic field in oceanic rocks? ,NA,C,Gravitimeter,Electical resistivity meter,Magnetometer,None of the above,NA,NA,NA,NA,"A magnetometer is used to map the variations in the Earth&#39;s magnetic field in oceanic rocks. Magnetometers are sensitive instruments that can measure the strength and direction of magnetic fields. By using a magnetometer, scientists can detect and map the magnetic anomalies in the oceanic rocks, which can provide valuable information about the Earth&#39;s magnetic field and its variations.",NA
Mid-Ocean ridges form long chains of what that rise up from the ocean floor.,NA,C,Valleys,Rivers,Mountains,Rocks,NA,NA,NA,NA,"Mid-Ocean ridges are underwater mountain ranges that form as tectonic plates move apart. The movement of the plates causes magma to rise and create new crust, which results in the formation of these mountainous ridges. These ridges can stretch for thousands of kilometers and are characterized by volcanic activity, earthquakes, and the presence of hydrothermal vents. Therefore, the correct answer is <b>Mountains</b>",NA
What does seafloor spreading explain?,NA,A,Continental Drift Theory,Fossil Fuels,Both a and b,Flood,NA,NA,NA,NA,"Seafloor spreading explains the phenomenon of continental drift. It is the process by which new oceanic crust is formed at mid-ocean ridges and spreads outwards, pushing the existing crust apart. This movement of the oceanic crust causes the continents to move and drift over time. The theory of seafloor spreading provides a mechanism for explaining how the continents have moved and changed their positions on the Earth&#39;s surface throughout history.",NA
The process by which magma rises forming new oceanic lithosphere layer is called,NA,A,Sea Floor Spreading,Thermal Reversal,Magnetic reversal,Electric Reversal,NA,NA,NA,NA,"Sea floor spreading is the correct answer because it refers to the process where magma rises from the Earth's mantle, creating new oceanic lithosphere. As the magma cools and solidifies, it forms a new layer of crust on the ocean floor. This process occurs at mid-ocean ridges, where tectonic plates are moving apart, allowing for the upwelling of magma. Sea floor spreading plays a crucial role in the theory of plate tectonics and is responsible for the continuous expansion of the ocean basins",NA
Seafloor spreading theory is also known as,NA,C,Theory of Hypothesis,Theroy of plate tectonics,Mid-Ocean Ridge system,None of the above,NA,NA,NA,NA,"The correct answer is <q>the mid-ocean ridge system</q>. This is because seafloor spreading theory explains how new oceanic crust is formed at the mid-ocean ridges, where tectonic plates are moving apart. As the plates separate, magma rises from the mantle and solidifies to form new crust, pushing the existing crust away from the ridge. This process of crust formation and movement is known as seafloor spreading, and it occurs primarily at the mid-ocean ridge system. Therefore, the theory of seafloor spreading is closely associated with the mid-ocean ridge system.",NA
In which year the seafloor spreading theory was proposed?,NA,A,1960,1970,1971,1975,NA,NA,NA,NA,"The seafloor spreading theory was proposed in 1960. This theory suggests that new oceanic crust is formed at mid-ocean ridges and spreads outwards, pushing the older crust aside. It was proposed by Harry Hess, a geologist and naval officer, who observed evidence such as magnetic anomalies and age differences in the oceanic crust that supported this idea. This theory revolutionized our understanding of plate tectonics and provided a key mechanism for how the Earth&#39;s crust is constantly changing and renewing itself.",NA
