question_text,question_image,correct_answer,option_1_text,option_2_text,option_3_text,option_4_text,option_1_image,option_2_image,option_3_image,option_4_image,answer_explanation_text,answer_explanation_image
Erosion causes,NA,A,Changes,No change,Upliftment,construction of land,NA,NA,NA,NA,"Erosion transformed surfaces from high to low, irregular to regular and vice- versa.",NA
The total number of wings a seif has is,NA,A,one,three,five,six,NA,NA,NA,NA,Seif is similar to barchan with a small difference. Seif has only one wing or point. This happens when there is shift in wind conditions. The lone wings of seifs can grow very long and high.,NA
Natural levees and point bars are depositional land form of,NA,D,glaciers,waves,wind,rivers,NA,NA,NA,NA,"Natural levees are low, linear and parallel ridges of coarse deposits along the banks of river. Point bars are found on the convex side of meanders of large rivers.",NA
Which of the following is the correct sequence of valley formation?,NA,A,"Rills, gullies, valleys, canyons","Gullies, rills, canyons, valleys","Canyons, gullies, rills, valleys","Valleys, canyons, gullies, rills",NA,NA,NA,NA,"Rills, gullies, valleys, canyons is the correct sequence of valley formation. Valleys are the most predominant landforms on the face of the earth. They are found on virtually every continent on planet earth, along sea bottoms, and other planets.",NA
A landform is a,NA,B,ocean,piece of land,atmosphere,piece of water body.,NA,NA,NA,NA,"A landform may be a mountain, a valley, a plateau etc. Landforms are the result of geomorphic processes.",NA
"In the middle stages, erosion of valley sides is",NA,B,vertical,lateral,gradual,negligible,NA,NA,NA,NA,"In the middle stages, streams cut their beds slower, and lateral erosion of valley sides becomes severe. Gradually, the valley sides are reduced to lower and lower slopes.",NA
In which of the following regions the chemical weathering process is more dominant than the mechanical process?,NA,C,desert region,arid region,limestone region,glacier region,NA,NA,NA,NA,"Limestone is rich in calcium carbonate, which is easily dissolved in water, through which the chemical process of solution and precipitation deposition develops varieties of landforms.",NA
The erosional land form consists of,NA,A,valleys,floodplains,deltas,alluvial fans,NA,NA,NA,NA,"Valleys start as small and narrow rills. They gradually develop into long and widen gullies. This further deepens, widens and lengthens to give rise to a valley.",NA
The depositional land form consists of,NA,A,levees,gorge,river terraces,valley,NA,NA,NA,NA,"Natural levees are found along the river bank as low, linear and parallel ridges are deposited during the flooding of the same river.",NA
Deflation and abrasion activities are associated with,NA,C,waves,rivers,wind,glaciers,NA,NA,NA,NA,"Winds cause deflation, abrasion and impact. Deflation includes lifting and removal of dust and smaller particles from the surface of rocks. In the transportation process sand and silt act as effective tools to abrade the land surface. The impact is simply sheer force of momentum, which occurs when sand is blown into or against a rock surface.",NA
