question_text,question_image,correct_answer,option_1_text,option_2_text,option_3_text,option_4_text,option_1_image,option_2_image,option_3_image,option_4_image,answer_explanation_text,answer_explanation_image
Which one among the following systems contains the oldest rock formation of India?,NA,B,Aravalli System,Archean System,Cuddapah System,Vindhyan System,NA,NA,NA,NA,"The correct answer is option 2 - Archean System.<br/>The Archean System contains the oldest rock formations in India. It is a geological system that is believed to have formed approximately 4 to 2.5 billion years ago. These rocks are found in the Archean craton, which is located in the southern part of the Indian subcontinent.<br/><br/>Option 1 - Aravalli System refers to a mountain range in western India and does not contain the oldest rock formations.<br/>Option 3 - Cuddapah System refers to a sedimentary rock formation in southern India. While it is old, it is not as old as the rocks in the Archean System.<br/>Option 4 - Vindhyan System refers to a sedimentary rock formation in central India. Although it is one of the oldest sedimentary rock sequences in the country, it is not as old as the Archean System.<br/>Therefore, the Archean System contains the oldest rock formation in India.",NA
Which one of the following is the correct order of formation of geological systems in India in terms of their age? [Starting with the oldest],NA,B,Dharwars - Aravallis - Vindhyans - Cuddapahs,Aravalis - Dharwars - Cuddapahs - Vindhyans,Vindhyans - Dharwars - Aravallis - Cuddapahs,Cuddapahs - Vindhyans - Dharwars - Aravallis,NA,NA,NA,NA,"The correct order of formation of geological systems in India, starting with the oldest, is:<br/>Option B: Aravalis - Dharwars - Cuddapahs - Vindhyans.<br/><br/>The Aravalis were the earliest formed geological system in India. They are a range of mountains located in western India.<br/>The Dharwars were the next to be formed. They are a type of rock formation found in southern India.<br/>The Cuddapahs were formed after the Dharwars. They are also a type of rock formation, found in India&#39;s southern region.<br/>The Vindhyans were the most recent geological system to be formed. They are a range of hills that stretch across central India.",NA
Which one among the following statements is not correct?,NA,C,Shillong Plateau is an outlier of Peninsular Plateau of India,Aravalli Mountain is the oldest mountain chain of India,Vindhyans are examples of fold mountain,Rajmahal Highlands are composed of lava deposits,NA,NA,NA,NA,"Answer is Option C.<br/>Explanation: Vindhyans are not the example of fold mountain. Vindhyans are actually an example of a sedimentary rock formation, not fold mountains. They are a range of hills and plateaus located primarily in central India.<br/>Option A: The statement that Shillong Plateau is an outlier of Peninsular Plateau of India is correct. An outlier is a portion of a rock formation that lies outside the main body and is usually smaller in size. The Shillong Plateau is indeed an outlier of the larger Peninsular Plateau and is located in the Indian state of Meghalaya.<br/>Option B: The statement that Aravalli Mountain is the oldest mountain chain of India is correct. The Aravalli Range is one of the oldest mountain ranges in India and has a history that dates back to millions of years. It stretches through several states including Rajasthan, Haryana, Gujarat, and Delhi.<br/>Option D: The statement that Rajmahal Highlands are composed of lava deposits is correct. The Rajmahal Hills, also known as Rajmahal Highlands, are indeed composed of volcanic lava deposits. They are located in the eastern part of India, mainly in the state of Jharkhand.",NA
Consider the following statements :<br/>1. Rajmahal highlands consist of lava flow deposits.<br/>2. Bundelkhand gneiss belong to the oldest Achaean rocks of India.<br/>Which of the statements given above is/are correct?,NA,C,1 only,2 only,Both 1 and 2,Neither 1 nor 2,NA,NA,NA,NA,"Statement 1 states that Rajmahal highlands consist of lava flow deposits. This means that the highlands in Rajmahal are made up of solidified lava that once flowed. This statement is correct.<br/>Statement 2 states that Bundelkhand gneiss belong to the oldest Achaean rocks of India. The term <q>gneiss</q> refers to a type of metamorphic rock that forms from the alteration of pre-existing rocks under high temperature and pressure conditions. The term <q>Archaean</q> refers to a geological period that occurred around 3.8 to 2.5 billion years ago. Therefore, this statement suggests that the Bundelkhand gneiss is one of the oldest rocks in India, dating back to the Archaean period. This statement is also correct.<br/><br/>Since both statements 1 and 2 are correct, the correct answer is option 3, which says that both statements are true.<br/>In conclusion, both Rajmahal highlands consisting of lava flow deposits and Bundelkhand gneiss belonging to the oldest Achaean rocks of India are correct statements.",NA
Consider the following statements :<br/>1. Coal is a sedimentary rock.<br/>2. Basalt is an igneous rock.<br/>Which of the statements given above is/are correct?,NA,C,1 only,2 only,Both 1 and 2,Neither 1 nor 2,NA,NA,NA,NA,"The correct answer is option C, which states that both statements 1 and 2 are correct. Let&#39;s dissect each statement to understand why.<br/>Statement 1: Coal is a sedimentary rock. This statement is correct. Coal is formed from the remains of plants and trees that have been compressed over millions of years. It is typically found in layers or seams within sedimentary rock formations.<br/>Statement 2: Basalt is an igneous rock. This statement is also correct. Basalt is formed through the solidification of lava or magma. It is a common rock type found in volcanic areas and is known for its dark color and fine-grained texture.<br/>To summarize, coal is a sedimentary rock, and basalt is an igneous rock. Both statements are accurate, making option C the correct answer.",NA
Which one of the following is not an igneous rock?,NA,B,Granite,Gneiss,Pumice,Basalt,NA,NA,NA,NA,"An igneous rock is formed from the cooling and solidification of molten magma or lava. Option 1, Granite, is an example of an igneous rock. It is formed by the slow cooling and crystallization of magma deep underground. Option 3, Pumice, is also an igneous rock. It is formed from the rapid cooling of lava, which traps gas bubbles, giving it a porous texture. Option 4, Basalt, is another igneous rock. It is formed from the rapid cooling of lava on the Earth&#39;s surface.<br/>Option 2, Gneiss, is the correct answer as it is not an igneous rock. Gneiss is a metamorphic rock, which means it has undergone significant changes in temperature and pressure. It is formed from the recrystallization of existing rocks, such as granite, through the process of metamorphism. Gneiss typically has a banded appearance due to the alignment of minerals during metamorphism.<br/>Therefore, while options 1, 3, and 4 are all examples of igneous rocks, option 2, Gneiss, is not. It is a metamorphic rock.",NA
"Which of the following statements with regard to the Indian Peninsular Plateau is/are correct?<br/>1. The Southern plateau block is formed mainly of granite and gneiss<br/>2. The Deccan lava plateau is an elevated tableland consisting of horizontally arranged lava sheets<br/>3. The Malwa plateau dominates the Vindhyan scraps, forming the Eastern flank of the plateau<br/>4. The trough of the Narmada and Tapti is interposed between the Vindhyan and the Satpura ranges<br/>Select the correct answer using the code given below:",NA,B,"1, 2 and 3","1, 2 and 4", 1 and 2 only,4 only,NA,NA,NA,NA,"The correct answer is option B, which states that statements 1, 2, and 4 are correct:  because all three statements are indeed correct. Statement 1 is true as the Southern plateau block is mainly composed of granite and gneiss. Statement 2 is also accurate as the Deccan lava plateau is an elevated tableland consisting of horizontally arranged lava sheets. And finally, statement 4 is correct because the trough of the Narmada and Tapti rivers is indeed located between the Vindhyan and the Satpura ranges.<br/><br/>Option 1 states that statements 1, 2, and 3 are correct. However, this is not the correct option because statement 3 is incorrect. The Malwa plateau does not dominate the Vindhyan scraps, but rather it is located in the northwest region of the Indian Peninsular Plateau.<br/>Option 2 states that statements 1, 2, and 4 are correct. This is the correct option<br/>Option 3 states that only statements 1 and 2 are correct. However, this is not the correct option because statement 4 is also true.<br/>Option 4 states that statement 4 is the only correct statement.",NA
"Which of the following statements in respect to the Indian Peninsular Plateau are correct?<br/>1. The Deccan Plateau gradually rises from North to South.<br/>2. The Malwa Plateau dominates the Vindhyan scarps, forming the Eastern flank of the plateau.<br/>3. The Western Satpuras separate the Narmada and Tapi rivers.<br/>4. The Chota Nagpur Plateau is composed of Archaean granite and gneiss rocks.<br/>Select the correct answer using the code given below.",NA,C,"1, 2, 3 and 4","1, 3 and 4 only",2 and 4 only,1 and 3 only,NA,NA,NA,NA,"Statement 1 states that the Deccan Plateau gradually rises from North to South. This statement is incorrect. The Deccan Plateau actually slopes gently towards the east, from the Western Ghats to the Eastern Ghats.<br/>Statement 2 states that the Malwa Plateau dominates the Vindhyan scarps, forming the Eastern flank of the plateau. This statement is correct. The Malwa Plateau is located in central India and is formed by the uplift of the Vindhyan Range.<br/>Statement 3 states that the Western Satpuras separate the Narmada and Tapi rivers. This statement is incorrect. The Western Ghats, not the Western Satpuras, separate the Narmada and Tapi rivers. The Western Satpuras are a range of hills and plateaus located in central India.<br/>Statement 4 states that the Chota Nagpur Plateau is composed of Archaean granite and gneiss rocks. This statement is correct. The Chota Nagpur Plateau, located in eastern India, is indeed composed of ancient (Archaean) granite and gneiss rocks.<br/>Therefore, the correct statements are 2 and 4 only.",NA
Consider the following statements :<br/>1. The Damuda series of rock system contain all the metallurgical coal in India.<br/>2. Tamil Nadu is the chief producer of lignite coal in India.<br/>3. Tertiary coal is mainly confined to the peninsular India.<br/>Which of the statements given above is/are correct ?,NA,B,1 only,2 and 3 only,1 and 2 only,"1, 2 and 3",NA,NA,NA,NA,"Statement 1 states that the Damuda series of rock system contains all the metallurgical coal in India. This statement is incorrect. The Damuda series of rock system is known for containing non-metallurgical or thermal coal, not metallurgical coal. Metallurgical coal is found in other areas of India, such as the Jharia coalfield.<br/>Statement 2 states that Tamil Nadu is the chief producer of lignite coal in India. This statement is correct. Tamil Nadu is indeed the chief producer of lignite coal in India. Lignite is a low-grade coal that is used for energy generation.<br/>Statement 3 states that tertiary coal is mainly confined to peninsular India. This statement is also correct. The tertiary coal deposits in India are predominantly found in the peninsular region. Tertiary coal is the youngest form of coal, and it is found in areas where substantial geological changes have occurred.<br/>Therefore, the correct answer is option B, which states that statements 2 and 3 are correct.",NA
"The Damuda series of Gondwana system has three stages, namely, Raniganj, Barren Rocks and Barakar. The middle stage is called Barren because",NA,B,It consists of coal and not iron,It consists of iron and not coal,It consists of neither coal nor iron,It is a sedimentary layer consisting of shale and clay,NA,NA,NA,NA,"Option A states that the middle stage of the Damuda series, called Barren Rocks, consists of coal and not iron. This option is incorrect because the middle stage is actually called Barren Rocks because it consists of iron and not coal. The term <q>barren</q> in this context refers to the absence of coal in this particular stage.<br/>Option B states that the middle stage of the Damuda series consists of iron and not coal. This is the correct answer because the middle stage is known as Barren Rocks precisely because it lacks coal but contains iron deposits. This stage is characterized by sedimentary layers rich in iron minerals.<br/>Option C states that the middle stage consists of neither coal nor iron. This option is incorrect as it contradicts the actual characteristics of the Barren Rocks stage.<br/>Option D states that the middle stage is a sedimentary layer consisting of shale and clay. While it is true that sedimentary layers are present in the Damuda series, this option does not explain why the middle stage is called Barren Rocks because it does not mention the absence of coal or presence of iron.<br/>In summary, the correct answer is option B because the middle stage of the Damuda series is called Barren Rocks due to its iron deposits and lack of coal.",NA
Which one of the following is generally found in sedimentary rocks?,NA,C,Basalt,Silica,Shale,Magnesium,NA,NA,NA,NA,"Option A: Basalt is an igneous rock that is formed from solidified lava or magma. It is not typically found in sedimentary rocks, so this option is not the correct answer.<br/>Option B: Silica refers to the compound silicon dioxide (SiO2), which is a common mineral found in many types of rocks. While silica can be found in sedimentary rocks, it is not exclusively associated with them. Therefore, this option is not the correct answer.<br/>Option C: Shale is a type of sedimentary rock that is formed from the accumulation of fine-grained sediments, such as clay and silt, over time. It is commonly found in sedimentary rock layers and is known for its ability to split into thin layers. This option is the correct answer because shale is indeed generally found in sedimentary rocks.<br/>Option D: Magnesium is an element and not a rock type. While magnesium can be found in certain minerals within sedimentary rocks, it does not typically characterize sedimentary rock formations as a whole. Therefore, this option is not the correct answer.<br/>In summary, option C - Shale - is generally found in sedimentary rocks, making it the correct answer.",NA
Which one among the following statements regarding India&#39;s coal is not correct ?,NA,B,98 per cent of reserves of coal in iNdia belongs to Gondwana period,Unknown amount of coal lies buried under the Ganga alluvium and the Deccan trap,Bituminous coal is found in both lower Gondwana rocks and in tertiary rocks,"Gondwana coal is mainly found in the river valleys of Damodar, Mahanadi and Godavari",NA,NA,NA,NA,"The correct answer to the question is option 2. The statement that an unknown amount of coal lies buried under the Ganga alluvium and the Deccan Trap is not correct.<br/><br/>Explanation:<br/>Option A states that 98 percent of the reserves of coal in India belong to the Gondwana period. Gondwana coal refers to the coal deposits that were formed during the Permian and Triassic periods when India was part of the supercontinent called Gondwana. This statement is correct.<br/>Option C mentions that bituminous coal is found in both lower Gondwana rocks and in Tertiary rocks. Bituminous coal is a type of coal with a relatively high carbon content and is widely used for energy production. It is indeed found in both lower Gondwana rocks, which are the oldest coal-bearing formations in India, and in Tertiary rocks, which were formed more recently. This statement is correct.<br/>Option D states that Gondwana coal is mainly found in the river valleys of Damodar, Mahanadi, and Godavari. Gondwana coal is indeed mainly found in these river valleys in eastern and central India. This statement is correct.",NA
Which one of the following States of India is the largest producer of lignite coal?,NA,D,Maharashtra,Gujarat,Madhya Pradesh,Tamil Nadu,NA,NA,NA,NA,"The correct answer is option D, Tamil Nadu. Lignite coal is a low-grade coal that is used mainly for generating electricity. It is mined in several states in India, but Tamil Nadu is the largest producer of lignite coal in the country.<br/>Option A, Maharashtra, is not the correct answer because Maharashtra is not a major producer of lignite coal. It has limited lignite reserves compared to other states.<br/>Option B, Gujarat, is also not the correct answer. While Gujarat does have lignite reserves, it is not the largest producer of lignite coal in India.<br/>Option C, Madhya Pradesh, is not the correct answer either. While Madhya Pradesh is known for its coal production, it mainly produces thermal coal and not lignite coal.<br/>Therefore, Tamil Nadu is the correct answer as it is the largest producer of lignite coal in India. It is important to note that lignite coal is a specific type of coal and its production varies across different states in India.",NA
The Vindhyan system of rocks is important for the production of,NA,A,precious stones and building materials,iron ore and manganese,bauxite and mica,copper and uranium,NA,NA,NA,NA,"The Vindhyan system of rocks is significant for the production of precious stones and building materials, making option A the correct answer.<br/>Let us dissect the other options to understand why they are not the correct answer:<br/>Option B states that the Vindhyan system of rocks is important for the production of iron ore and manganese. Although iron ore and manganese are valuable resources found in different parts of the world, they are not specifically associated with the Vindhyan system of rocks.<br/>Option C mentions bauxite and mica as the products of the Vindhyan system of rocks. Bauxite is a type of ore used to produce aluminum, and mica is a mineral often used in electrical insulation. However, there is no particular connection between the Vindhyan system of rocks and the production of these minerals.<br/>Option D suggests that the Vindhyan system of rocks is significant for the production of copper and uranium. However, there is no evidence or specific association between the Vindhyan system of rocks and the production of these minerals.<br/>In conclusion, option A - precious stones and building materials - is the correct answer as it accurately reflects the importance of the Vindhyan system of rocks.",NA
Which one among the following is a primary rock?,NA,B,Sedimentary,Igneous,Metamorphic,None of these,NA,NA,NA,NA,"The correct answer is option 2: Igneous.<br/>Primary rocks are the rocks that are formed directly from the cooling and solidification of magma or lava. These rocks are the initial formations on the Earth&#39;s surface and have not undergone any subsequent changes due to weathering, erosion, or metamorphism.<br/>Option A: Sedimentary rocks are formed from the accumulation and deposition of sediment over time. They are formed by the weathering and erosion of other rocks, and are not considered primary rocks.<br/>Option C: Metamorphic rocks are formed from the transformation of existing rock types through heat, pressure, and chemical reactions. They are also not considered primary rocks.<br/>Option D: None of these is not the correct answer because there is indeed a primary rock, which is option B: Igneous.<br/>In conclusion, primary rocks are formed directly from magma or lava, and the primary rock among the given options is Igneous.",NA
The most abundant rocks found on earth&#39;s crust are,NA,A,igneous rocks.,sedimentary rocks,metamorphic rocks,granite rock.,NA,NA,NA,NA,"Igneous rocks are formed from the solidification of magma, which is a hot (600 deg.C - 1300 deg.C, or 1100 deg. - 2400 deg. F) molten or partially molten rock material. The Earth is composed predominantly of a large mass of igneous rock with a very thin covering of sedimentary rock.<br/><br/>Igneous rocks form 95% of the upper part of the earth&#39;s crust. Igneous rock is formed by the solidification of lava that comes out generally from volcanoes. Some examples of igneous rocks are: granite and basalt.",NA
Petrology is the scientific study of,NA,B,minerals,rocks,soil,petroleum,NA,NA,NA,NA,"Petrology is the study of rocks - igneous, metamorphic, and sedimentary - and the processes that form and transform them. Mineralogy is the study of the chemistry, crystal structure and physical properties of the mineral constituents of rocks.",NA
"Rocks that were originally either sedimentary, igneous or metamorphic and have been changed further by heat and pressure are called:",NA,C,Volcanic,Sedimented,Metamorphic,None of these,NA,NA,NA,NA,"Metamorphic rocks started out as some other type of rock, but have been substantially changed from their original igneous, sedimentary, or earlier metamorphic form. Metamorphic rocks form when rocks are subjected to high heat, high pressure, hot mineral-rich fluids or, more commonly, some combination of these factors.",NA
The parent material of soils is derived from,NA,C,Igneous rocks,Metamorphic rocks.,Sedimentary rocks.,Biological action.,NA,NA,NA,NA,"Erosion and weathering formed material which deposited as soft layers of sediment on the bottoms and shores of ancient seas. Muds deposited offshore, sand deposited nearer the shores.Weathering and erosion of the sedimentary rocks began, soils forming from them.",NA
A non-metallic mineral in the following minerals is,NA,D,silver.,copper,zinc,coal,NA,NA,NA,NA,Coal is used as a fossil fuel and is a non-metallic mineral with dull and non-reflective properties and it cannot be moulded in any form.,NA
Which one of the following is the appropriate reason for considering the Gondwana rocks as most important of rock systems of India?,NA,B,more than 90% of limestone reserves of India are found in them ,more than 90% of India&#39;s coal reserves are found in them,more than 90% of fertile black cotton soil are spread over them,none of the reasons given below are appropriate in this context,NA,NA,NA,NA,"Correct Answer is B. <br/>The Gondwana rocks are considered the most important rock systems of India because more than 90% of India&#39;s coal reserves are found in them. The Gondwana rocks were formed during the Permian and Triassic periods and are named after the Gondwana region of central India. These rocks are mainly composed of sedimentary rocks, including sandstone, shale, and limestone, which were formed from the deposition of organic materials such as plant debris and animal remains over millions of years. The organic materials were buried under sediment and were subjected to high pressure and temperature, which resulted in the formation of coal. The Gondwana coalfields are spread across several states in India, including Jharkhand, Chhattisgarh, Odisha, and Madhya Pradesh. Coal is an important source of energy for India, and the Gondwana coal reserves are a significant contributor to the country&#39;s energy needs.",NA
