question_text,question_image,correct_answer,option_1_text,option_2_text,option_3_text,option_4_text,option_1_image,option_2_image,option_3_image,option_4_image,answer_explanation_text,answer_explanation_image
"In the constituent assembly, States committee (committee to negotiating with States) was headed by",NA,Jawaharlal Nehru,Sardar Patel,Jawaharlal Nehru,BR Ambedkar,Rajendra Prasad,NA,NA,NA,NA,"Major Committees
1. Union Powers Committee - Jawaharlal Nehru
2. Union Constitution Committee – Jawaharlal Nehru
3. Provincial Constitution Committee – Sardar Patel
4. Drafting Committee - Dr. B.R. Ambedkar
5. Advisory Committee on Fundamental Rights, Minorities and Tribal and Excluded Areas - Sardar Patel. This committee had the following five sub-committees: (a) Fundamental Rights Sub-Committee - J.B. Kripalani (b) Minorities Sub-Committee - H.C. Mukherjee (c) North-East Frontier Tribal Areas and Assam Excluded & Partially Excluded Ar- eas Sub-Committee - Gopinath Bardoloi (d) Excluded and Partially Excluded Areas (Other than those in Assam) Sub-Com- mittee - A.V. Thakkar (e) North-West Frontier Tribal Areas Sub-Committee 8a
6. Rules of Procedure Committee - Dr. Rajendra Prasad
7. States Committee (Committee for Negotiating with States) - Jawaharlal Nehru 8. Steering Committee - Dr. Rajendra Prasad",NA
Which animal was appointed as a symbol of the Constituent Assembly?,NA,Elephant,Lion,Tiger,Peacock,Elephant,NA,NA,NA,NA,"IMPORTANT FACTS
1. Elephant was adopted as the symbol (seal) of the Constituent Assembly.
2. Sir B.N. Rau was appointed as the constitutional advisor (Legal advisor) to the Constituent Assembly.
3. H.V.R. Iyengar was the Secretary to the Constituent Assembly.
4. S.N. Mukerjee was the chief draftsman of the constitution in the Constituent Assembly.
5. Prem Behari Narain Raizada was the calligrapher of the Indian Constitution.",NA
HVR iyengar was,NA,Secretary,Constitutional Adviser,Chief Draftsman,Calligrapher,Secretary,NA,NA,NA,NA,"IMPORTANT FACTS
1. Elephant was adopted as the symbol (seal) of the Constituent Assembly.
2. Sir B.N. Rau was appointed as the constitutional advisor (Legal advisor) to the Constituent Assembly.
3. H.V.R. Iyengar was the Secretary to the Constituent Assembly.
4. S.N. Mukerjee was the chief draftsman of the constitution in the Constituent Assembly.
5. Prem Behari Narain Raizada was the calligrapher of the Indian Constitution.",NA
Which of the following committees were under Dr Rajendra Prasad?,NA,Neither (a) nor (b),Union Powers Committee,Union Constitutional Committee,Both (a) and (b),Neither (a) nor (b),NA,NA,NA,NA,"1. Union Powers Committee - Jawaharlal Nehru
2. Union Constitution Committee - Jawaharlal Nehru
3. Provincial Constitution Committee – Sardar Patel
4. Drafting Committee - Dr. B.R. Ambedkar
5. Advisory Committee on Fundamental Rights, Minorities and Tribal and Excluded Areas - Sardar Patel. This committee had the following five sub-committees: (a) Fundamental Rights Sub-Committee - J.B. Kripalani (b) Minorities Sub-Committee - H.C. Mukherjee (c) North-East Frontier Tribal Areas and Assam Excluded & Partially Excluded Areas Sub-Committee - Gopinath Bardoloi (d) Excluded and Partially Excluded Areas (Other than those in Assam) Sub-Committee - A.V. Thakkar (e) North-West Frontier Tribal Areas Sub-Committee 8a",NA
"Consider the following statements.
1. The Drafting Committee was set up on 26 January 1948
2. It consisted of Seven Members
Which of these statements are correct?",NA,Only Statement 2,Only Statement 1,Only Statement 2,Both statement 1 and 2,Neither  statement 1 nor 2?,NA,NA,NA,NA,"Among all the committees of the Constituent Assembly, the most important committee was the Drafting Committee set up on August 29, 1947. It was this committee that was entrusted with the task of preparing a draft of the new Constitution. It consisted of seven members.

Alladi Krishnaswami Ayyar,
N. Gopalaswami.
B.R. Ambedkar (Chairman of the drafting committee.)
K.M Munshi.
Mohammad Saadulla.
B.L. Mitter.
D.P. Khaitan.",NA
"Consider the following statements.

1. The Constitution of 1950 was a by-product of the legacy started by the Government of India Act 1935
2. This was the longest act passed by the British government with 321 sections and 10 schedules

Which of the following statements are correct?",NA,Both 1 and 2,1 Only,2 Only,Both 1 and 2,Neither 1 nor 2,NA,NA,NA,NA,"The Constitution of 1950 was a by-product of the legacy started by the Government of India Act 1935. This was the longest act passed by the British government with 321 sections and 10 schedules. This act had drawn its content from four sources – Report of the Simon Commission, discussions and deliberations at the Third Round Table Conference, the White Paper of 1933 and the reports of the Joint select committees",NA
"Consider the following statements.
1. January 26 was specifically chosen as the 'date of commencement of the Constitution because of its historical importance.
2. It was on this day in 1930 that Purna Swaraj day was celebrated, following the resolution of the Lahore Session (December 1929) of the INC.

Which of these statements are correct?",NA,Both 1 and 2,1 Only,2 Only,Both 1 and 2,Neither 1 nor 2,NA,NA,NA,NA,"January 26 was specifically chosen as the 'date of commencement of the Constitution because of its historical importance. It was on this day in 1930 that Purna Swaraj day was celebrated, following the resolution of the Lahore Session (December 1929) of the INC. With the commencement of the Constitution, the Indian Independence Act of 1947 and the Government of India Act of 1935, with all enactments amending or supplementing the latter Act, were repealed. The Abolition of Privy Council JurisdictionAct (1949) was however continued.",NA
Feature of concurrent list in Indian constitution has borrowed from?,NA,Australia,USA,Australia,Britain,Canada,NA,NA,NA,NA,"From Australian constitution, we have borrowed concurrent lists, freedom of trade, commerce and intercourse and joint sitting of the two houses of the Parliament.",NA
"In the sixth schedule, there are provisions related to administration of tribal areas in the states of?

1. Assam
2. Meghalaya
3. Arunachal Pradesh
4. Sikkim
5. Tripura
6. Mizoram

Choose from the following options:",NA,"1, 2, 5 and 6 Only","1, 2 and 3 Only","2, 3 and 5 Only","1, 2, 5 and 6 Only","2, 4, 5 and 6 Only?",NA,NA,NA,NA,"In six schedules there are provisions related to the administration of tribal areas in the states of Assam, Meghalaya, Tripura, Mizoram.",NA
"Consider the following statements.

1. Just as the Indian parliamentary system different from the British system, the scope of Judicial review power of the supreme court in India is narrower than that of what exist in US
2. American constitution provides for 'due process of law' against that of procedure established by law' contained in the Indian Constitution

Which of these statements are correct?",NA,Both 1 and 2,1 Only,2 Only,Both 1 and 2,Neither 1 nor 2,NA,NA,NA,NA,"The doctrine of sovereignty of Parliament is associated with the British Parliament while the principle of judicial supremacy with that of the American Supreme Court. Just as the Indian parliamentary system differs from the British system, the scope of judicial review power of the Supreme Court in India is narrower than that of what exists in the US. This is because the American Constitution provides for 'due process of law' against that of 'procedure established by law' contained in the Indian Constitution (Article 21). Therefore, the framers of the Indian Constitution have preferred a proper synthesis between the British principle of parliamentary sovereignty and the American principle of judicial supremacy. The Supreme Court, on the one hand, can declare the parliamentary laws as unconstitutional through its power of judicial review. The Parliament, on the other hand, can amend the major portion of the Constitution through its constituent power.",NA
The most essential feature of the Parliamentary form of Government is the:,NA,Accountability of the executive to the legislature,Accountability of the executive to the legislature,Written constitution,Sovereignty of the Parliament, Independent judiciary,NA,NA,NA,NA,The Constitution of India has opted for the British Parliamentary System of Government rather than American Presidential System of Government. The parliamentary system is based on the principle of cooperation and coordination between the legislative and executive organs.,NA
The Constitution is generally defined as the,NA,Constitutional law of the land,Law of the land.,Fundamental law of the land,Administrative law of the land,Constitutional law of the land,NA,NA,NA,NA,"A codified constitution is a single document; states that do not have such a document have uncodified, but not entirely unwritten, constitutions, since much of an uncodified constitution is usually written in laws such as the Basic Laws of Israel and the Parliament Acts of the United Kingdom.",NA
The chief source of political power in India is the,NA,People,People,Constitution,Parliament,"Parliament, State Assemblies",NA,NA,NA,NA,"The preamble makes it very clear when it says that ""We, the people of India, having solemnly resolved to constitute India into a SOVEREIGN SOCIALIST SECULAR DEMOCRATIC REPUBLIC and to secure to all its citizens."" 

The enacting words ""We, the people of India... in our constituent assembly... do hereby adopt, enact and give to ourselves this constitution"", signifies the democratic principle that power ultimately rests in the hands of the people.
It also emphasizes that the constitution is made by and for the Indian people and is not given to them by any outside power (such as the British Parliament).",NA
The source of legal authority or sovereignty in India flows from the,NA,Constitution of India,People of India,Constitution of India,Parliament of India,President of India,NA,NA,NA,NA,onstitution of India also emphasizes the concept of Sovereignty.,NA
The ultimate sovereignty resides with the,NA,People,Parliament,President,Supreme Court,People,NA,NA,NA,NA,"The submission of A. V . Dicey is that the constitution is the 'Legal Sovereign' recognised by the Court, although the ultimate 'Political Sovereignty' may and does reside in the 'People'.",NA
On which date was the Constitution of India adopted and enacted by the Constituent Assembly?,NA,"November 26, 1949","August 15, 1947","January 26, 1950","November 26, 1949","January 30, 1948",NA,NA,NA,NA,"Parliament cannot override the constitution. It was adopted by the Constituent Assembly on 26 November 1949, and came into effect on 26 January 1950.",NA
The Indian Constitution came into force on,NA,"January 26, 1950","January 26, 1949","January 26, 1950","November 15, 1950","August 15, 1947",NA,NA,NA,NA,"India, also known as Bharat, is a Union of States. It is a Sovereign Socialist Secular Democratic Republic with a parliamentary system of government. The Republic is governed in terms of the Constitution of India which was adopted by the Constituent Assembly on 26th November, 1949 and came into force on 26th January, 1950.",NA
The members of the Constituent Assembly were,NA,Elected by the Provincial Assemblies,Directly elected by the people,Nominated by the Indian National Congress,Nominated by the rulers of the Indian States,Elected by the Provincial Assemblies,NA,NA,NA,NA,"The Constitution of India was drafted by the Constituent Assembly, and it was implemented under the Cabinet Mission Plan on 16 May 1946. The members of the Constituent Assembly were elected by the provincial assemblies by a single, transferable-vote system of proportional representation.",NA
The Provincial Constitution Committee of the Constituent Assembly was chaired by,NA,Sardar Patel,Jawahar Lal Nehru,Sardar Patel,Bishwanath Das,None of these,NA,NA,NA,NA,"The Constituent Assembly appointed a number of committees to deal with different tasks of constitution-making. Out of these, eight were major committees and the others were minor committees. The names of the major committees and their chairmen are given below :
1. Union Powers Committee – Jawaharlal Nehru
2. Union Constitution Committee – Jawaharlal Nehru
3. Provincial Constitution Committee – Sardar Patel
4. Drafting Committee – Dr B.R. Ambedkar
5. Advisory Committee on Fundamental Rights, Minorities and Tribal and Excluded Areas – Sardar Patel
6. Rules of Procedure Committee – Dr Rajendra Prasad
7. States Committee (Committee for Negotiating with States) – Jawaharlal Nehru
8. Steering Committee – Dr Rajendra Prasad",NA
Who among the following was the Permanent Chairman of the Constituent Assembly?,NA,None of these,Jawahar Lal Nehru,Sardar Patel,Bishwanath Das,None of these,NA,NA,NA,NA,Constituent Assembly elected Dr. Rajendra Prasad as its permanent President,NA
"Among the following provisions, which onecome into force soon after the adoption of the Constitution on 26th November, 1949?",NA,All of the above,Citizenship provisions,Provisions on elections,Provisional Parliament,All of the above,NA,NA,NA,NA,"Even though the major part of the Constitution came into force on January 26, 1950, the provisions relating to citizenship, elections, provisional parliament and temporary and transitional provisions came into force with immediate effect from November 26th, 1949",NA
Which one is NOT a feature of the Constitution?,NA,Committed judiciary,A written Constitution and supremacy of the Constitution,Quasi-federal structure,Committed judiciary,Distribution of powers,NA,NA,NA,NA,Committed Judiciary refers to the judiciary which is committed to uphold the policies of the government in power by interpreting the laws and the Constitution in a way palatable to the Government in power.,NA
The Constitution of India is,NA,Partly rigid and partly flexible,Partly rigid and partly flexible,Rigid,Flexible,Very rigid,NA,NA,NA,NA,"The Indian constitution is partly rigid and partly flexible.it is because three type of amendment procedures have been adopted in our constitution. These procedures are as follows-

1. Certain provisions of the constitution can be amended by a two-third majority in parliament and ratified by atleast fifty percent of the state.(rigid)

2. Certain provisions of the constitution can be amended by a simple majority in parliament. (Flexible)

3. The remaining provisions can be amended by parliament by two-third majority.(rigid)",NA
The President of India has the same Constitutional authority as the,NA,British Monarch,British Monarch,US President,President of Egypt,President of Russia,NA,NA,NA,NA,"The Indian Constitution closely follows the constitutional system of the United Kingdom. This can be seen by the fact that the Indian Constitution has borrowed following features from the British Constitution.

1. The office of the president of India is based upon the British Queen who is a ceremonial head of the state.

2. The Cabinet system of government in India is based upon the Cabinet system as prevailing in U.K.

3. Our Prime Minster is also a replica of the British Prime Minster.

4. The parliament type of government has also been adopted from the British system.

5. Just like U.K our Parliament is also bicameral, i.e it has two Houses, the Lok Sabha and the Rajya Sabha.

6. The Lok Sabha, the Lower house of parliament in India, is also more powerful as the House of commons in the United Kingdom.

7. Like in U.K, the presiding officer of Lok Sabha is also known as the speaker. Some of his powers are identical to those of the speaker in England.

8. The privileges of the Members of Parliament in India are also similar to those enjoyed by their counterparts in U.K.",NA
India has a Parliamentary Democracy because,NA,The Council of Ministers is responsible to the Legislature,Of the distribution of power between the Centre and the States,The Council of Ministers is responsible to the Legislature,The Members of the Lok Sabha are elected by the public,Of a single constitutional framework.,NA,NA,NA,NA,The Executive (i.e. the political Executive the Council of Ministers) remains responsible and the administration accountable to Parliament. It is the function of Parliament to exercise political and financial control over the Executive and to ensure parliamentary surveillance of administration,NA
Which one of the following determines that the Indian Constitution is federal?,NA,Distribution of powers between the Centre and the States,A written and rigid Constitution,An independent Judiciary,Vesting of residuary powers with the Centre,Distribution of powers between the Centre and the States,NA,NA,NA,NA,The Indian Constitution is federal because there are two levels of the government- the Union and the state governements. There also exists the local government at the local level.,NA
Which one of the following is a mandatory minimum requirement for a functional federation?,NA,Distribution of legislative and administrative powers between the Central and State governments to ensure their independence within their spheres.,The States should be represented in the Upper House of the National Legislature.,Judicial Review,Distribution of legislative and administrative powers between the Central and State governments to ensure their independence within their spheres.,Distribution of legislative and administrative powers between the Central and State governments to ensure independent but coordinated exercise of the government,NA,NA,NA,NA,Indian Constitution is neither purely 'federal' nor purely 'unitary'. The federal form is clearly manifest in the constitutional distribution of powers between the union and the states not only in the legislative field but also in executive and administrative fields,NA
The Indian Constitution is,NA,Federal in form but unitary in spirit,Federal in form but unitary in spirit,Unitary,Unitary in form but federal in spirit,Purely federal,NA,NA,NA,NA,"“The Constitution of India is neither purely federal nor purely unitary but it is a combination of both.""
Similarly, B.N. Banerjee has said that ""The Constitution of India is federal in form but unitary in spirit.""
In fact, the Constitution of India has many federal features as well as unitary features.",NA
The Constitution of India has created,NA,A very strong centre.,A very weak centre.,A very strong centre.,A centre which is normally weak but very strongduring emergencies.,None of these,NA,NA,NA,NA,"Indian Constitution is quasi-federal i.e., it comprises of a strong centre and state wherein parliament is empowered to legislate on subjects not specifically mentioned in Constitution (residuary subjects). Where state and centre both legislate on the same subject the central law shall prevail. During an emergency, it acquires unitary form. Due to this reason, it is called ""Quasi federal"". So, the Constitution made arrangements for the strong centre.",NA
"During an Emergency, the Indian State turns into a ________ system from a ________system",NA,"Unitary, Quasi-federal","Federal, Unitary","Unitary, Federal","Unitary, Unitary","Unitary, Quasi-federal",NA,NA,NA,NA,"Indian Constitution is quasi-federal i.e., it comprises of a strong centre and state wherein parliament is empowered to legislate on subjects not specifically mentioned in Constitution (residuary subjects). Where state and centre both legislate on the same subject the central law shall prevail. During an emergency, it acquires unitary form. Due to this reason, it is called ""Quasi federal"".",NA
________ is the only country which does not have a written Constitution even now.,NA,The UK,The USA,The UK,China,Canada,NA,NA,NA,NA,"Britain is one of only three major democracies in the world that lacks a written, codified constitution.",NA
The Constitution of India describe India as,NA,A Union of States,A federation,Quasi-federal,A Union of States,None of these,NA,NA,NA,NA,"The Constitution of India describes India as the Union of States. It is because our Constitution delegates powers to both Centre as well as State, yet more power lies with the Centre. After independence, India, as it is now, was formed by the decision of the princely states, who decided to join India.
Therefore, India is known as Union of States.",NA
Our Constitution provides for the Constitution of the,NA,Union and all the States,Union,Union and all the States except Jammu & Kashmir,Union and all the States,Organs of the Governments of Union and the States,NA,NA,NA,NA,"On 5 August 2019, the Government of India issued a constitutional order superseding the 1954 order, and making all the provisions of the Indian constitution applicable to Jammu and Kashmir based on the resolution passed in both houses of India's parliament with a 2/3 majority of the Constitution of India states that Parliament of India and the Union Government jurisdiction extends over limited matters with respect to State of Jammu and Kashmir, and in all other matters not specifically vested in federal governments, actions have to be supported by the state legislature.",NA
"Article 1 of the Constitution declares India to be a Union of States, whose territory comprises",NA,"States, Union territories and Territories which may be acquired",The Union and the States,Union territories and States,"States, Union territories, and States which may join the Union","States, Union territories and Territories which may be acquired",NA,NA,NA,NA,"Article 1 in the Constitution states that India, that is Bharat, shall be a Union of States.
The territory of India shall consist of: 
(i)The territories of the states
(ii) The Union territories
(iii) Any territory that may be acquired",NA
In which year was Sikkim associated with the Indian Union?,NA,1975,1947,1975,1985,1871,NA,NA,NA,NA,"On 16 May 1975, Sikkim became the 22nd state of the Indian Union, and the monarchy was abolished. To enable the incorporation of the new state, the Indian Parliament amended the Indian Constitution.",NA
"Sonia Gandhi, the President of Congress, despite being Italian by birth, is an Indian citizen by",NA,"The Citizenship Act, 1955",Article 10,Article 11,"The Citizenship Act, 1955",None of the above,NA,NA,NA,NA,"According to the citizenship act of 1955 a person can acquire the citizenship of a country by marrying a person of that country, and she was the wife of rajiv gandhi, an Indian citizen she got the citizenship of India.",NA
Indian Constitution is:,NA,Federal with unitary bias,Purely federal,Purely unitary,Federal with unitary bias,Unitary with federal bias,NA,NA,NA,NA,Indian Constitution is neither purely 'federal' nor purely 'unitary'. The federal form is clearly manifest in the constitutional distribution of powers between the union and the states not only in the legislative field but also in executive and administrative fields.,NA
