question_text,question_image,correct_answer,option_1_text,option_2_text,option_3_text,option_4_text,option_1_image,option_2_image,option_3_image,option_4_image,answer_explanation_text,answer_explanation_image
What are the constituent particles of an atom?,NA,B,Electrons and photons,"Protons, neutrons, and electrons",Neutrons and protons,Electrons and positrons,NA,NA,NA,NA,"Atoms are composed of three main subatomic particles: protons, neutrons, and electrons. Protons and neutrons are found in the nucleus of the atom, while electrons orbit the nucleus in distinct energy levels or orbits.",NA
Who is credited with the discovery of the neutron?,NA,C,Ernest Rutherford,J.J. Thomson,James Chadwick,Dmitri Mendeleev,NA,NA,NA,NA,The neutron was discovered by James Chadwick in 1932 through experiments involving beryllium and paraffin. Chadwick&#39;s discovery was a significant contribution to our understanding of atomic structure.,NA
What is the most abundant element in the Earth&#39;s crust by mass?,NA,C,Silicon,Iron,Oxygen,Sodium,NA,NA,NA,NA,"Oxygen is the most abundant element in the Earth&#39;s crust by mass, making up approximately 46.6% of the crust&#39;s composition. It plays a crucial role in the formation of minerals and rocks.",NA
Which of the following is NOT a natural element?,NA,D,Hydrogen,Iron,Oxygen,Technetium,NA,NA,NA,NA,"Technetium is not a natural element; it is a synthetic element, meaning it is artificially created and does not occur naturally on Earth.",NA
Who is considered the father of the periodic table?,NA,B,J.J. Thomson,Dmitri Mendeleev,Henry Gwyn Jeffreys Moseley,James Chadwick,NA,NA,NA,NA,"Dmitri Mendeleev is widely regarded as the father of the periodic table. He developed the first detailed periodic table based on the mass number of elements, which laid the foundation for our modern understanding of chemical elements and their properties.",NA
What is the fundamental unit of matter that cannot be divided further without losing its essential properties?,NA,D,Molecule,Proton,Neutron,Atom,NA,NA,NA,NA,The fundamental unit of matter that cannot be divided further without losing its essential properties is the atom.,NA
What is the molecular weight of heavy water?,NA,B,16,18,22,20,NA,NA,NA,NA,"The correct answer is 20. <br/>CONCEPT: <br/>Heavy water: It is a form of water that contains only deuterium rather than the common hydrogen-1 isotope that makes up most of the hydrogen in normal water.<br/>Formula: D<sub>2</sub>O<br/>Boiling point:101.4 &deg;C<br/>Molar mass: 20 gm/mole <br/>Melting point: 3.8 &deg;C <br/>Density: 1.11 gm/cm^3 <br/>Refractive index:1.328 <br/><br/>EXPLANATION:<br/>Heavy water has deuterium(D) which is an isotope of hydrogen. <br/>While hydrogen has 1 proton and 0 neutrons in its nucleus giving it an atomic weight of 1, deuterium has 1 proton and 1 neutron in its nucleus.<br/>So deuterium has atomic weight 2.<br/>So heavy water, which has molecular formula D<sub>2</sub>O, has molecular mass = 16(for oxygen)+(2 × 2)(for two deuteriums)= 20",NA
What is the atomic number of an atom?,NA,B,The number of neutrons in the atom.,The number of protons in the atom.,The number of electrons in the atom.,The total number of particles in the atom.,NA,NA,NA,NA,"The atomic number of an atom is the number of protons in the atom. This number determines the element&#39;s identity. For example, nitrogen (N) has an atomic number of 7, which means it has 7 protons.",NA
What are isotopes of an element characterized by?,NA,C,Different atomic numbers and the same mass numbers.,Different atomic numbers and different mass numbers.,The same atomic numbers and different mass numbers.,The same atomic numbers and the same mass numbers.,NA,NA,NA,NA,Isotopes of an element have the same atomic number (number of protons) but different mass numbers (different number of neutrons). This means they have the same identity as the element but different atomic masses due to varying numbers of neutrons.,NA
Which of the following elements has a mass number of 40?,NA,B,Oxygen (O),Calcium (Ca),Sulfur (S),Potassium (K),NA,NA,NA,NA,"The mass number of an atom is the sum of protons and neutrons in its nucleus. Calcium (Ca) has a mass number of 40, indicating that it has 20 protons and 20 neutrons.",NA
What type of radiation does not alter the atomic number or atomic mass of a nucleus?,NA,C,Alpha radiation,Beta radiation,Gamma radiation,Neutron radiation,NA,NA,NA,NA,Gamma radiation consists of high-energy photons and does not alter the atomic number or atomic mass of a nucleus. It is a type of electromagnetic radiation.,NA
What is the sum of protons and neutrons in an atom&#39;s nucleus called?,NA,B,Atomic number,Mass number,Isotope,Allotrope,NA,NA,NA,NA,The sum of protons and neutrons in an atom&#39;s nucleus is called the mass number. It helps determine the atom&#39;s mass and is denoted by the symbol <q>A</q>,NA
