question_text,question_image,correct_answer,option_1_text,option_2_text,option_3_text,option_4_text,option_1_image,option_2_image,option_3_image,option_4_image,answer_explanation_text,answer_explanation_image
"In the constituent assembly, States committee (committee to negotiating with States) was headed by",NA,Jawaharlal Nehru,Sardar Patel,Jawaharlal Nehru,BR Ambedkar,Rajendra Prasad,NA,NA,NA,NA,"Major Committees:<br/>1. Union Powers Committee - Jawaharlal Nehru<br/>2. Union Constitution Committee – Jawaharlal Nehru<br/>3. Provincial Constitution Committee – Sardar Patel<br/>4. Drafting Committee - Dr. B.R. Ambedkar<br/>5. Advisory Committee on Fundamental Rights, Minorities and Tribal and Excluded Areas - Sardar Patel. This committee had the following five sub-committees: (a) Fundamental Rights Sub-Committee - J.B. Kripalani (b) Minorities Sub-Committee - H.C. Mukherjee (c) North-East Frontier Tribal Areas and Assam Excluded & Partially Excluded Areas Sub-Committee - Gopinath Bardoloi (d) Excluded and Partially Excluded Areas (Other than those in Assam) Sub-Committee - A.V. Thakkar (e) North-West Frontier Tribal Areas Sub-Committee 8a<br/>6. Rules of Procedure Committee - Dr. Rajendra Prasad<br/>7. States Committee (Committee for Negotiating with States) - Jawaharlal Nehru 8. Steering Committee - Dr. Rajendra Prasad",NA
Which animal was appointed as a symbol of the Constituent Assembly?,NA,Elephant,Lion,Tiger,Peacock,Elephant,NA,NA,NA,NA,IMPORTANT FACTS:<br/>1. Elephant was adopted as the symbol (seal) of the Constituent Assembly.<br/>2. Sir B.N. Rau was appointed as the constitutional advisor (Legal advisor) to the Constituent Assembly.<br/>3. H.V.R. Iyengar was the Secretary to the Constituent Assembly.<br/>4. S.N. Mukerjee was the chief draftsman of the constitution in the Constituent Assembly.<br/>5. Prem Behari Narain Raizada was the calligrapher of the Indian Constitution.,NA
HVR iyengar was,NA,Secretary,Constitutional Adviser,Chief Draftsman,Calligrapher,Secretary,NA,NA,NA,NA,IMPORTANT FACTS:<br/>1. Elephant was adopted as the symbol (seal) of the Constituent Assembly.<br/>2. Sir B.N. Rau was appointed as the constitutional advisor (Legal advisor) to the Constituent Assembly.<br/>3. H.V.R. Iyengar was the Secretary to the Constituent Assembly.<br/>4. S.N. Mukerjee was the chief draftsman of the constitution in the Constituent Assembly.<br/>5. Prem Behari Narain Raizada was the calligrapher of the Indian Constitution.,NA
Which of the following committees were under Dr Rajendra Prasad?,NA,Neither (a) nor (b),Union Powers Committee,Union Constitutional Committee,Both (a) and (b),Neither (a) nor (b),NA,NA,NA,NA,"1. Union Powers Committee - Jawaharlal Nehru<br/>2. Union Constitution Committee - Jawaharlal Nehru<br/>3. Provincial Constitution Committee – Sardar Patel<br/>4. Drafting Committee - Dr. B.R. Ambedkar<br/>5. Advisory Committee on Fundamental Rights, Minorities and Tribal and Excluded Areas - Sardar Patel. This committee had the following five sub-committees: (a) Fundamental Rights Sub-Committee - J.B. Kripalani (b) Minorities Sub-Committee - H.C. Mukherjee (c) North-East Frontier Tribal Areas and Assam Excluded & Partially Excluded Areas Sub-Committee - Gopinath Bardoloi (d) Excluded and Partially Excluded Areas (Other than those in Assam) Sub-Committee - A.V. Thakkar (e) North-West Frontier Tribal Areas Sub-Committee 8a.",NA
Consider the following statements.<br/>1. The Drafting Committee was set up on 26 January 1948<br/>2. It consisted of Seven Members <br/>Which of these statements are correct?,NA,Only Statement 2,Only Statement 1,Only Statement 2,Both statement 1 and 2,Neither  statement 1 nor 2,NA,NA,NA,NA,"Among all the committees of the Constituent Assembly, the most important committee was the Drafting Committee set up on August 29, 1947. It was this committee that was entrusted with the task of preparing a draft of the new Constitution. It consisted of seven members.<br/><br/>Alladi Krishnaswami Ayyar,<br/>N. Gopalaswami.<br/>B.R. Ambedkar (Chairman of the drafting committee.)<br/>K.M Munshi. <br/>Mohammad Saadulla.<br/>B.L. Mitter.<br/>D.P. Khaitan.",NA
Consider the following statements.<br/>1. The Constitution of 1950 was a by-product of the legacy started by the Government of India Act 1935<br/>2. This was the longest act passed by the British government with 321 sections and 10 schedules<br/>Which of the following statements are correct?,NA,Both 1 and 2,1 Only,2 Only,Both 1 and 2,Neither 1 nor 2,NA,NA,NA,NA,"The Constitution of 1950 was a by-product of the legacy started by the Government of India Act 1935. This was the longest act passed by the British government with 321 sections and 10 schedules. This act had drawn its content from four sources – Report of the Simon Commission, discussions and deliberations at the Third Round Table Conference, the White Paper of 1933 and the reports of the Joint select committees",NA
"Consider the following statements.<br/>1. January 26 was specifically chosen as the 'date of commencement of the Constitution because of its historical importance.<br/> 2. It was on this day in 1930 that Purna Swaraj day was celebrated, following the resolution of the Lahore Session (December 1929) of the INC.<br/>Which of these statements are correct?",NA,Both 1 and 2,1 Only,2 Only,Both 1 and 2,Neither 1 nor 2,NA,NA,NA,NA,"January 26 was specifically chosen as the 'date of commencement of the Constitution because of its historical importance. It was on this day in 1930 that Purna Swaraj day was celebrated, following the resolution of the Lahore Session (December 1929) of the INC. With the commencement of the Constitution, the Indian Independence Act of 1947 and the Government of India Act of 1935, with all enactments amending or supplementing the latter Act, were repealed. The Abolition of Privy Council JurisdictionAct (1949) was however continued.",NA
Feature of concurrent list in Indian constitution has borrowed from?,NA,Australia,USA,Australia,Britain,Canada,NA,NA,NA,NA,"From Australian constitution, we have borrowed concurrent lists, freedom of trade, commerce and intercourse and joint sitting of the two houses of the Parliament.",NA
"In the sixth schedule, there are provisions related to administration of tribal areas in the states of?<br/>1. Assam<br/>2. Meghalaya<br/>3. Arunachal Pradesh<br/>4. Sikkim<br/>5. Tripura<br/>6. Mizoram<br/><br/>Choose from the following options:",NA,"1, 2, 5 and 6 Only","1, 2 and 3 Only","2, 3 and 5 Only","1, 2, 5 and 6 Only","2, 4, 5 and 6 Only?",NA,NA,NA,NA,"In six schedules there are provisions related to the administration of tribal areas in the states of Assam, Meghalaya, Tripura, Mizoram.",NA
"Consider the following statements.<br/><br/>1. Just as the Indian parliamentary system different from the British system, the scope of Judicial review power of the supreme court in India is narrower than that of what exist in US<br/>2. American constitution provides for 'due process of law' against that of procedure established by law' contained in the Indian Constitution<br/>Which of these statements are correct?",NA,Both 1 and 2,1 Only,2 Only,Both 1 and 2,Neither 1 nor 2,NA,NA,NA,NA,"The doctrine of sovereignty of Parliament is associated with the British Parliament while the principle of judicial supremacy with that of the American Supreme Court. Just as the Indian parliamentary system differs from the British system, the scope of judicial review power of the Supreme Court in India is narrower than that of what exists in the US. This is because the American Constitution provides for 'due process of law' against that of 'procedure established by law' contained in the Indian Constitution (Article 21). Therefore, the framers of the Indian Constitution have preferred a proper synthesis between the British principle of parliamentary sovereignty and the American principle of judicial supremacy. The Supreme Court, on the one hand, can declare the parliamentary laws as unconstitutional through its power of judicial review. The Parliament, on the other hand, can amend the major portion of the Constitution through its constituent power.",NA
