question_text,question_image,correct_answer,option_1_text,option_2_text,option_3_text,option_4_text,option_1_image,option_2_image,option_3_image,option_4_image,answer_explanation_text,answer_explanation_image
"Consider the following statements about Jainism. 

1. Vardhamana, who came to be known as Mahavira, founded Jainism in the sixth century BC. 

2. According to Jain teachings, the cycle of birth and rebirth is shaped through karma.

3. Jain scholars produced a wealth of literature in a variety of languages including Tamil.

Which of the above is/are correct?",NA,2 and 3 only ,1 and 2 only,1 and 3 only,2 and 3 only ,All of the above,NA,NA,NA,NA,"The basic philosophy of Jains was already in existence in North India before the birth of Vardhamana, who came to be known as Mahavira, in the sixth century BC. 
Jain scholars produced a wealth of literature in a variety of languages—Prakrit, Sanskrit and Tamil. 
According to Jain teachings, the cycle of birth and rebirth is shaped through karma. Asceticism and penance are required to free oneself from the cycle of karma.",NA
This council held near Srinagar prepared an authoritative commentary on the Buddhist Tripitakas and gave the Mahayana doctrine a final shape. The council was convened by,NA,Kanishka,Kanishka,Samprati,Bindusara Amitraghata,Devvarman,NA,NA,NA,NA,"He convened this fourth Buddhist council that discussed issues relating to Buddhist doctrine and theology.
Under the presidentship of Vasumitra, the fourth Buddhist council was held at the Kundalavana monastery near Srinagar in Kashmir. About 500 monks attended the council.
Asvagosha was a great poet, philosopher and dramatist, and was particularly close to Kanishka. He became his religious advisor in his later years and composed Buddhacharita.
Nagarjuna from South India was also in the court of Kanishka. He also patronized the famous physician of ancient India Charaka.",NA
"What was important about Shravasti in Buddhist history?

1. It was ruled by Pasenadi, who was a disciple of Buddha.

2. The famous Jetavana Vihara is situated here.

3. It hosted the first sermon of Buddha.

Select the correct answer using the codes below.",NA,1 and 2 only,1 only,1 and 2 only,2 and 3 only,"1,2 and 3",NA,NA,NA,NA,"About 2500 years ago, it was one of India's six largest cities and served as the Kosala Kingdom's capital, and its king was called Pasenadi, who was a disciple of Buddha.

Buddha spent the greater part of his monastic life in Shravasti.

It was also a prominent trading centre at that time, and centre of religious activity by Buddha.

According to Buddhism's history, Buddha first came to Shravasti at the urging of Sudatta, a rich merchant who met Buddha in Rajgir.

Sudatta invited Buddha to Shravasti and began to look for a suitable place to build a vihara.",NA
"In the context of Buddhism, the term Bodhisattva can be used to refer to

1. Gautama Buddha in his former lives

2. Compassionate beings who accumulated merit through their efforts not to attain Nibbana but to help others

3. Jataka storytellers who were appointed by the Sangha

4. Bodhi masters who renounce their physical bodies for the benefit of sentient beings

Select the correct answer, using the codes below.",NA,1 and 2 only,1 and 2 only,"2, 3 and 4 only",1 and 4 only,"1, 2, 3 and 4",NA,NA,NA,NA,"Bodhisattva is the Sanskrit term for anyone who is motivated by great compassion, has generated Bodhicitta, which is a spontaneous wish, and a compassionate mind to attain Buddhahood for the benefit of all sentient beings.

In early Indian Buddhism, Bodhisattva was primarily used to refer specifically to Gautama Buddha in his former life.

The Jataka tales, which are the stories of Buddha's past lives, depict the various attempts of the Bodhisattva to embrace qualities like self-sacrifice and morality.

According to the Jataka tales, the term 'bodhisattva' originally referred to the pre enlightened practitioner of austerities.

The worship of images of Buddha and Bodhisattvas became an important part of Mahayana tradition.",NA
"Consider the following regarding Faxian's account of India.

1. During his visit, stupa veneration was not practised in India.

2. He frequently mentions the name of Chandragupta II in his works.

3. As per him, Buddhism was established mainly in the Gangetic valley.

4. He was looking for better copies of Buddhist books than were available in China at that time.

Select the correct answer using the codes below.",NA,4 only,2 and 3 only,4 only,3 only,"1, 2, 3 and 4",NA,NA,NA,NA,"Between 399 and 414 CE, the Chinese monk Faxian undertook a trip via Central Asia to India seeking better copies of Buddhist books than were currently available in China.

Although Faxian's account is valuable in many respects, as far as the Gupta Empire is concerned, he did not mention Chandragupta II's name. Faxian was not interested in political affairs, and his interest was primarily on religion.

According to him, Buddhism was in a flourishing condition in northwestern India. In the Gangetic valley, it was in a state of neglect. He refers to the Gangetic valley as the 'land of Brahmanism'.

He indicates clearly the importance of the seven precious substances for Buddhist worship, the widespread practice of stupa veneration, and his acquaintance with several of the Jataka tales about the previous lives of Buddha Sakyamuni.",NA
Many Chinese Buddhist pilgrims visited the Indian subcontinent to visit places associated with Buddha's life. Who among the following is NOT one of them?,NA,Alan Chen,Faxian,Xuanzang,I-Qing,Alan Chen,NA,NA,NA,NA,"Three such Chinese Buddhist pilgrims are best-known.

Faxian, who came to the subcontinent about 1600 years ago, Xuanzang (who came around 1400 years ago) and I-Qing, who came about 50 years after Xuanzang, are the famous ones.

They have documented previous socioeconomic, political and religious details of Indian life then.",NA
"Consider the following statements.

1. Kanishka sent missionaries to Central Asia and China for the propagation of Mahayana Buddhism.

2. Kanishka patronized Buddhist scholars like Vasumitra and patronized the famous physician of ancient India, Charaka.

Which of the above is/are correct?",NA,Both 1 and 2,1 only,2 only,Both 1 and 2,None,NA,NA,NA,NA,"This is because Mahayana Buddhism came in vogue during Kanishka's rule. It was established in the Fourth Buddhist council convened by him where matters relating to Buddhist theology and doctrine were discussed.

In Mahayana Buddhism, Buddha was worshipped with flowers, perfumes, garments and lamps.

Asvagosha and Nagarjuna were other important scholars patronized by him.",NA
He was a staunch follower of Brahmanism. Buddhist sources often refer to him as a persecutor of Buddhism. He is?,NA,Pushyamitra,Pushyamitra,Menander,Somapura,Dharmaraksita,NA,NA,NA,NA,"He belonged to the Sunga dynasty. The Sungas defended the Gangetic valley from foreign invasions.

In the cultural sphere, the Sungas revived Brahmanism and horse sacrifice. They also encouraged the growth of Vaishnavism and the Sanskrit language.

Therefore we can say that ""The Sunga rule was a brilliant anticipation of the golden age of the Guptas"".",NA
Who among the following is a pivotal figure in establishing Tibetan Buddhism and is often called the second Buddha?,NA,Padmasambhava,Padmasambhava,Lawapa,Shantarakshita,Nagarjuna,NA,NA,NA,NA,"The practice of tantric Buddhism was introduced to the people of Tibet by Padmasambhava, a founder of the Nyingma tradition, one of the oldest schools of the four major Tibetan Buddhism schools.

The tradition covers several distinct lineages that trace all their origins to Padmasambhava. He is regarded as the founder of Samye Gompa, the country's first monastery.

Nyingma tradition was practised among a loose network of lay practitioners orally. Monasteries with celibate monks and nuns and the practice of the reincarnated spiritual leaders are later adoptions. Its lineage has been centred in Kham in eastern Tibet in modern times.",NA
"In Tibetan Buddhism, the word 'Terma' means",NA,Various forms of hidden teachings,Bodhisattvas,Religious texts were written by monks and nuns,Various forms of hidden teachings,Life stories of Buddha,NA,NA,NA,NA,"These hidden teachings are key to Vajrayana or Tibetan Buddhist and Bon religious traditions. Termas are a part of tantric literature.

The belief is that these teachings were originally esoterically hidden by various adepts such as Padmasambhava during the eighth century, for future discovery at auspicious times by other adepts.

As such, Terma represents a tradition of continuous revelation in Vajrayana or Tibetan Buddhism.

Termas are not always made public right away. The conditions may not. Be right; people may not yet be ready for them, and further instructions may need to be revealed to clarify their meaning.",NA
