question_text,question_image,correct_answer,option_1_text,option_2_text,option_3_text,option_4_text,option_1_image,option_2_image,option_3_image,option_4_image,answer_explanation_text,answer_explanation_image
What term is used to describe the point inside the Earth where the energy of an earthquake is first released?,NA,D,Fault line,Seismic zone,Epicenter,Hypocenter,NA,NA,NA,NA,"The point inside the Earth where the energy of an earthquake is first released is called the hypocenter, alternatively known as the focus of the earthquake. This is the initial point where the rocks along a fault break and the energy is released, leading to the generation of seismic waves. The hypocenter is located beneath the Earth&#39;s surface, and its corresponding point on the surface directly above is known as the epicenter.",NA
What property of waves causes them to change direction as they reflect or refract when encountering materials with different densities?,NA,D,Wavelength,Amplitude,Frequency,Velocity,NA,NA,NA,NA,"The property of velocity causes earthquake waves to change direction as they reflect or refract when coming across materials with different densities. The velocity of waves changes as they travel through materials with different densities, with denser materials increasing the wave velocity.",NA
What is the primary feature that distinguishes the shadow zone of S-waves from the shadow zone of P-waves?,NA,A,The size of the shadow zone,The distance from the epicenter,The duration of wave absence,The frequency of wave occurrence,NA,NA,NA,NA,"The primary feature that sets apart the shadow zone of S-waves from the shadow zone of P-waves is the size of the shadow zone. The shadow zone of S-waves is notably larger than that of P-waves, extending beyond 105&deg; from the epicenter.",NA
How are earthquake events typically classified based on their impact and characteristics?,NA,C,By their geographic location,By the time of occurrence,By the intensity and magnitude of the shock,By the depth of the epicenter,NA,NA,NA,NA,"Earthquake events are commonly categorized based on the intensity and magnitude of the shock they produce. The Richter scale measures the magnitude, which relates to the energy released, while the Mercalli scale gauges the intensity by considering visible damage.",NA
What do gravity anomalies help us understand about the Earth&#39;s crust?,NA,B,Composition of the inner core,Distribution of mass in the Earth&#39;s crust,Magnetic properties of the outer core,Seismic activity patterns,NA,NA,NA,NA,"Gravity anomalies provide valuable information about the distribution of mass in the Earth&#39;s crust. By studying gravity anomalies, scientists can gain insights into the variations in density and composition of materials within the Earth&#39;s crust. This data is crucial for understanding the geological structure and composition of the Earth&#39;s outermost layer.",NA
"What type of lava characterizes shield volcanoes, making them notably less steep compared to other volcano types?",NA,B,Viscous lava,Basaltic lava,Andesitic lava,Rhyolitic lava,NA,NA,NA,NA,"Shield volcanoes are predominantly made up of basaltic lava, which is very fluid when erupted. This fluidity contributes to the gentle slopes of shield volcanoes. The fluid nature of basaltic lava allows it to flow more easily and cover larger areas compared to more viscous lavas like andesitic or rhyolitic lava. This lava type is responsible for the expansive, low-angle profiles characteristic of shield volcanoes.",NA
How do seismic activities contribute to our understanding of the Earth&#39;s interior?,NA,D,By measuring the Earth&#39;s magnetic field,By studying the distribution of mass in the Earth&#39;s core,By analyzing the movements of tectonic plates,By providing information about the Earth&#39;s interior structure,NA,NA,NA,NA,"Seismic activities play a crucial role in helping us understand the Earth&#39;s interior structure. By studying seismic waves generated by earthquakes and other sources, scientists can infer valuable information about the composition, density, and layering of materials beneath the Earth&#39;s surface. This data provides insights into the properties and behavior of the Earth&#39;s interior layers.",NA
What information do magnetic surveys primarily provide about the Earth&#39;s crust?,NA,C,Distribution of volcanic activity,Composition of the mantle,Distribution of magnetic materials,Seismic wave propagation patterns,NA,NA,NA,NA,"Magnetic surveys primarily offer information about the distribution of magnetic materials in the Earth&#39;s crust. By conducting magnetic surveys, scientists can map out the locations of magnetic minerals and materials within the Earth&#39;s crust. This data helps in understanding the geological composition and structure of the Earth&#39;s outermost layer in greater detail.",NA
"Which type of volcano is associated with the outpouring of highly fluid lava that can flow for extensive distances, covering vast areas with thick basaltic lava flows?",NA,D,Shield volcanoes,Composite volcanoes,Calderas,Flood basalt provinces,NA,NA,NA,NA,"Flood basalt provinces are linked to the eruption of highly fluid lava that can flow for long distances, covering extensive areas with thick basaltic lava flows. These volcanic regions can be characterized by the outpouring of massive amounts of lava, leading to the formation of vast basalt plateaus and landscapes covered with layers of basaltic rock. The Deccan Traps in India are an example of a flood basalt province that has produced extensive lava flows, shaping the geological features of the region.",NA
Where are sills and sheets typically found in relation to the surrounding rock formations?,NA,B,"Underground, beneath the magma chambers",At the top of anticlines in folded igneous country,At the base of synclines,"At the surface, forming prominent volcanic peaks",NA,NA,NA,NA,"Sills and sheets are near-horizontal bodies of intrusive igneous rocks that are typically found at the top of anticlines in folded igneous country. These formations vary in thickness, with thinner deposits referred to as sheets and thicker ones as sills. Understanding the location and formation of sills and sheets is crucial in interpreting the geological history of a region.",NA
Thinnest layer of the earth is,NA,A,Crust,Nife,Core,Mantle,NA,NA,NA,NA,The thinnest layer of the earth is Crust. It is about 35 km on continental masses & 5 km on ocean floors.,http://abhigyanacademy.com/upload/gallery/1718953004.png
______ minerals are found in the continental masses.,NA,A,Silica and alumina,Silica and magnesium,Nickel and iron,Silica and iron,NA,NA,NA,NA,<u>The main mineral constituents:</u><br/>(i) Continental mass are silica and alumina. It is thus called sial (si-silica and al-alumina).<br/>(ii) The oceanic crust mainly consists of silica and magnesium; it is therefore called sima (si-silica and ma-magnesium).,NA
What is the name of the rock which contains fossils?,NA,A,Sedimentary rocks,Metamorphic rocks,Igneous rocks,Core,NA,NA,NA,NA,"There are three main types of rock:<br/>(i) Igneous rocks form from molten rock, and rarely have fossils in them.<br/>(ii) Metamorphic rocks have been put under great pressure, heated, squashed or stretched, and fossils do not usually survive these extreme conditions.<br/>(iii) It is only sedimentary rocks that contain fossils.<br/><br/>Thus, option A is correct.",NA
Sandstone is made from,NA,D,Grains of soil,Grains of plants,Grains of water,Grains of sand,NA,NA,NA,NA,"Sandstone is made of sand grains (0.05 mm to 2 mm) that may have been deposited in the sea, by rivers, or in deserts, and later cemented together by minerals precipitated from groundwater.",NA
"The inner and outer cores are together about 3500 km thick, and the core has a very high temperature and pressure. Why is the core also known as NiFe?",NA,B,Because it is made of nitrogen and ferrous,Because it is made of nickel and iron,As it is made of nickel and feroxide,Because it consists of nitrogen and feline,NA,NA,NA,NA,"The core is the innermost layer, divided into the outer core and the inner core.<br/>It is mainly made up of Nickel and Iron, therefore, it is also called nife.<br/>Its radius is about 3500 km and the temperature and pressure of the central core are very high.",NA
Which layer is having a radius of about 3500 km?,NA,C,Sial,Crust,Core,Mantle,NA,NA,NA,NA,"The Earth&#39;s outer core has a radius of about 3,500 km. The inner core is more than 5,000 &deg;C hot but in solid-state due to the high pressure. The outer core is liquid and somewhat cooler.",NA
Fossils are the remains of dead _______,NA,C,Plants,Animals,Both A and B,None of the above,NA,NA,NA,NA,"A Fossil is any preserved remains, impression, or trace of any dead organism which was living in the past from a different geological age.<br/>Example: Bones or stone imprints of animals or microbes, exoskeletons, shells, objects preserved in petrified wood, oil, coal, and DNA remnants.<br/><br/>The study of fossils is known as <q>Palaeontology</q>. This includes the study about their age, the method of formation, and evolutionary significance. If the age or time of some specimens is over 10,000 old years, they are considered to be fossils.<br/>Thus, option C is correct.",NA
Ferrous is,NA,A,Iron,Fire,Silver,Gold,NA,NA,NA,NA,"Ferrous means generally <q>containing iron</q>. It is derived from the Latin word Ferrum (iron).<br/>Example: Steel, Pig iron, and alloys of iron with other metals (such as stainless steel).",NA
There are three major types of rocks except,NA,D,Metamorphic rocks,Sedimentary rocks,Igneous rocks,Mantle rocks,NA,NA,NA,NA,"There are three main types of rock: Igneous Rocks, Metamorphic Rocks, and Sedimentary Rocks.<br/>The mantle is the most solid bulk of Earth&#39;s interior that lies between core and crust.",NA
In the interior of the Earth,NA,C,the temperature falls with increasing depth,the pressure falls with increasing depth,the temperature rises with increasing depth,both temperature and pressure fall with increasing depth,NA,NA,NA,NA,"Option 1 states that the temperature falls with increasing depth in the interior of the Earth. This is incorrect. In reality, as you go deeper into the Earth, the temperature actually rises. This is due to the high heat generated by radioactive decay and the residual heat from the planet&#39;s formation.<br/>Option 2 suggests that the pressure falls with increasing depth. This is also incorrect. In the Earth&#39;s interior, the pressure actually increases with depth. This is because the weight of the rock and other materials above creates greater pressure on the layers below.<br/>Option 3, which is the correct answer, states that the temperature rises with increasing depth in the Earth&#39;s interior. We already discussed that the heat generated by radioactive decay and the planet&#39;s formation causes the temperature to increase as you go deeper.<br/>Option 4 suggests that both temperature and pressure fall with increasing depth. This is incorrect, as we have established that the temperature actually rises and the pressure increases with depth.",NA
Approximately what is the normal rate of temperature rise with depth from the surface of the Earth to the interior of the Earth?,NA,C,1&deg;C per 185 meter,1&deg;C per 185 feet,1&deg;C per 32 meter,1&deg;C per 32 feet,NA,NA,NA,NA,"The correct answer is option 3, which states that the normal rate of temperature rise with depth from the surface of the Earth to the interior is approximately 1&deg;C per 32 meters. This means that for every 32 meters we descend into the Earth, the temperature increases by 1 degree Celsius.<br/>Option 1, which suggests a temperature rise of 1&deg;C per 185 meters, is incorrect.<br/>Option 2, stating a temperature rise of 1&deg;C per 185 feet is also incorrect.<br/>Option 4, suggesting a temperature rise of 1&deg;C per 32 feet, is not correct either.<br/><br/>Note: It is important to note that these figures are approximate and can vary depending on factors such as location and geological conditions.",NA
The waves that help scientists to understand the internal structure of the Earth are,NA,D,Primary waves,Secondary waves,Surface waves,Longitudinal waves,NA,NA,NA,NA,"Longitudinal waves are waves in which the displacement of the medium is in the same direction as, or the opposite direction to, the direction of propagation of the waves.",NA
