question_text,question_image,correct_answer,option_1_text,option_2_text,option_3_text,option_4_text,option_1_image,option_2_image,option_3_image,option_4_image,answer_explanation_text,answer_explanation_image
Which of these is not a raw material for photosynthesis?,NA,C,Carbon dioxide,Water,Oxygen,None of these,NA,NA,NA,NA,"Organism prepare their own food with the help of simple inorganic materials like CO2,H2O in sunlight with the help of chlorophyll. Thus, it doesn&#39;t involve oxygen in the process.",NA
Which of the following is the source of respiration -,NA,A,Glucose from stored food,Fats,Minerals,Proteins,NA,NA,NA,NA,Cellular respiration allows organisms to use energy stored in the chemical bonds of glucose. The energy in glucose is used to produce  ATP. Cells use ATP to supply their energy needs. Cellular respiration is therefore a process in which the energy in glucose is transferred to ATP.,NA
The form of energy used in respiration is,NA,A,Chemical energy,Electrical energy,Mechanical energy,Radiant energy,NA,NA,NA,NA,"Cellular respiration is the process of breaking sugar into a form that the cell can use as energy. This happens in all forms of life. Cellular respiration takes in food and uses it to create ATP, a chemical which the cell uses for energy. Usually, this process uses oxygen, and is called aerobic respiration.",NA
Respiratory structures in the insects are,NA,D,Gills,Skin,Lungs,Trachea,NA,NA,NA,NA,"Insects and some other invertebrates exchange oxygen and carbon dioxide between their tissues and the air by a system of air-filled tubes called tracheae. Tracheae open to the outside through small holes called spiracles. Spiracles open into large tracheal tubes. These, in turn, lead to ever-finer branches. The branches penetrate to every part of the body. At their extreme ends, called tracheoles, they may be less than 1 m in diameter and are probably filled with liquid. Every cell in the insect&#39;s body is adjacent to, or very close to, the end of a tracheole.",NA
The narrowest and most numberous tubes of lungs are termed as,NA,B,Bronchus,Bronchioles,Alveoli,None of these,NA,NA,NA,NA,"Bronchiole is a fine respiratory tube in the lungs of reptiles, birds and mammals. It is formed by the subdivision of a bronchus.",NA
A normal man respires in a minute,NA,B,10-15 times,14-18 times,20-25 times,25-30 times,NA,NA,NA,NA,"A child respires around 26 times per minute. Norman man respires 14-18 times per minute. If the CO<sub>2</sub> concentration in blood increases, the rate of breathing also increases. When CO<sub>2</sub> is dissolved in the blood, then blood becomes slightly acidic. The brain picks up the change and adjusts the breathing to get rid of CO<sub>2</sub> from the blood. Thus, option B is correct.",NA
In anaerobic respiration,NA,B,O<sub>2</sub> is given out,CO<sub>2</sub> is given out,CO<sub>2</sub> is taken in,O<sub>2</sub> is taken in,NA,NA,NA,NA,"This is because anaerobic respiration occurs in the absence of molecular oxygen to break down glucose into ethanol or lactic acid, carbon dioxide and energy (2 ATP).",NA
The exchange of gases [O<sub>2</sub> and CO<sub>2</sub>] in a mammal takes place in,NA,D,Trachea,Bronchi,Bronchioles,Alveoli,NA,NA,NA,NA,"Answer is D- Alveoli.<br/>Exchange of gases in a mammal: The exchange of gases, specifically oxygen (O<sub>2</sub>) and carbon dioxide (CO<sub>2</sub>), in a mammal takes place in the alveoli.<br/><br/>Trachea: The trachea is responsible for conducting air to and from the lungs, but it does not participate in the exchange of gases.<br/>Bronchi: The bronchi are the main air passages in the lungs, but they do not directly participate in the exchange of gases.<br/>Bronchioles: Bronchioles are smaller branches of the bronchi that lead to the alveoli. While they play a role in directing air to the alveoli, they do not directly participate in gas exchange.<br/>Alveoli: The alveoli are tiny air sacs located at the end of the bronchioles. They are the primary site of gas exchange in the respiratory system. Oxygen from the inhaled air diffuses across the thin walls of the alveoli into the bloodstream, while carbon dioxide diffuses from the bloodstream into the alveoli to be exhaled.",NA
Blood consist of what fluid medium?,NA,C,Lymph,Platelets,Plasma,All of these,NA,NA,NA,NA,"Plasma, which constitutes 55% of blood fluid, is mostly water (92% by volume), and contains proteins, glucose, mineral ions, hormones, carbon dioxide (plasma being the main medium for excretory product transportation), and blood cells themselves.",NA
Expiration involves,NA,A,Relaxation of diaphragm and intercostal muscles,Contraction of diaphragm and intercostal muscles,Contraction of diaphragm muscles,Contraction of intercostal muscles,NA,NA,NA,NA,"Exhalation is a passive process because of the elastic properties of the lungs. During forced exhalation, internal intercostal muscles which lower the rib cage and decrease thoracic volume while the abdominal muscles push up on the diaphragm which causes the thoracic cavity to contract.",NA
The structure which prevent the entry of food into respiratory tract is,NA,D,Pharynx,Larynx,Glottis,Epiglottis,NA,NA,NA,NA,"The structure that prevents the entry of food into the respiratory tract is the epiglottis.<br/><br/>Explanation:<br/>The respiratory and digestive systems share a common pathway in the throat or pharynx. However, to prevent food from entering the respiratory tract, several structures work together to ensure proper passage of air and food. The epiglottis is one such structure that plays a crucial role in preventing the entry of food into the respiratory tract.<br/>Here&#39;s how it functions:<br/>- The epiglottis is a flap-like structure located at the base of the tongue.<br/>- During swallowing, the epiglottis moves down and covers the opening of the larynx, which leads to the respiratory tract.<br/>- This movement of the epiglottis ensures that food or liquid is directed towards the esophagus, the passage that leads to the stomach, rather than entering the larynx and trachea.<br/>- Once the food has safely passed through the pharynx, the epiglottis returns to its upright position, allowing normal respiration to resume.",NA
In fever breathing rate ,NA,A,Increase,Decrease,Stop,None,NA,NA,NA,NA,"Respiration rates may increase with fever, illness, and other medical conditions. When checking respiration, it is important to also note whether a person has any difficulty breathing. Normal respiration rates for an adult person at rest range from 12 to 16 breaths per minute.",NA
Mammalian lungs are,NA,B,Hollow,Soft and spongy,Spongy,None,NA,NA,NA,NA,"The lungs of mammals have a spongy and soft texture and are honeycombed with epithelium, having a much larger surface area in total than the outer surface area of the lung itself. The lungs of humans are a typical example of this type of lung.",NA
"In respiration, air passes through ",NA,B,Pharynx --> Nasal cavity --> Larynx --> Trachea --> Bronchi --> Bronchiole --> Lungs,Nasal cavity --> Pharynx --> Larynx --> Trachea --> Bronchi --> Bronchiole --> Lungs,Larynx --> Nasal cavity --> Pharynx --> Trachea --> Lungs,Larynx --> Pharynx --> Trachea --> Lungs,NA,NA,NA,NA,"The correct answer is B: Nasal cavity --> Pharynx --> Larynx --> Trachea --> Bronchi --> Bronchiole --> Lungs. This respiratory pathway ensures that the inhaled air is properly filtered, warmed, and reaches the lungs for efficient gas exchange. <br/>Explanation:<br/>The respiratory pathway involves the movement of air from the external environment into the lungs. It can be summarized as follows: <br/>1. Nasal Cavity: The process begins in the nasal cavity, where air enters the respiratory system through the nostrils. The nasal cavity is lined with cilia and mucus that help filter and warm the inhaled air.<br/>2. Pharynx: From the nasal cavity, the air moves to the pharynx, also known as the throat. The pharynx serves as a common passage for both air and food.<br/>3. Larynx: Next, the air enters the larynx, commonly known as the voice box. The larynx contains the vocal cords and plays a crucial role in producing sound.<br/>4. Trachea: The air then passes through the trachea, a tube-like structure commonly known as the windpipe. The trachea is reinforced with C-shaped cartilage rings to keep it open and prevent collapse.<br/>5. Bronchi: The trachea divides into two branches called bronchi, one leading to each lung. The bronchi further divide into smaller branches called bronchioles.<br/>6. Bronchioles: The bronchioles are tiny tubes that continue to divide within the lungs, eventually leading to the alveoli.<br/>7. Lungs: Finally, the air reaches the lungs, where gas exchange takes place. The alveoli, small sacs within the lungs, are responsible for the exchange of oxygen and carbon dioxide between the air and bloodstream.",NA
Rate of respiration is directly affected by -,NA,C,Concentration of O<sub>2</sub>,O<sub>2</sub> in trachea,Concentration of CO<sub>2</sub>,Diaphragm expansion,NA,NA,NA,NA,"The rate of respiration is highly dependent on concentration of carbon dioxide. The higher the concentration of carbon dioxide, less is the rate of respiration. Less the concentration of oxygen and more is the concentration of carbon dioxide, respiration rate increases.",NA
Oxygen in lungs ultimately reaches,NA,D,Bronchioles,Trachea,Bronchus,Alveoli,NA,NA,NA,NA,The alveoli are the final branchings of the respiratory tree and act as the primary gas exchange units of the lung. Inhaled oxygen enters the lungs and reaches the alveoli.,NA
Most of the carbondixide is carried in the blood as,NA,A,Bicarbonates,Carbon monoxide,Carbonic acid,Carbonates,NA,NA,NA,NA,"The majority of carbon dioxide is transported as part of the bicarbonate system. Carbon dioxide diffuses into red blood cells. Inside, carbonic Anhydrase converts carbon dioxide into carbonic acid, which is subsequently hydrolyzed into bicarbonate.",NA
