question_text,question_image,correct_answer,option_1_text,option_2_text,option_3_text,option_4_text,option_1_image,option_2_image,option_3_image,option_4_image,answer_explanation_text,answer_explanation_image
Which of the following are the factors for the impoverishment of the Indian peasantry? <br/>1. Colonial economic policies <br/>2. The new land revenue system <br/>3. Overcrowding of land <br/>Choose from the following options.,NA,D,1 and 3 Only,2 and 3 Only,1 and 2 Only,All of them,NA,NA,NA,NA,"The impoverishment of the Indian peasantry was a direct result of the transformation of the agrarian structure due to- <br/>- colonial economic policies, <br/>- ruin of the handicrafts leading to overcrowding of land,<br/>- the new land revenue system, <br/>- colonial administrative and judicial system.",NA
Which of the following statements are correct about Indigo revolt? <br/>1. Peasants tried to use violent methods and initiated an armed revolution supported by fund collection.<br/>2. Gradually they learnt to go on a rent strike by refusing to pay the enhanced rents <br/><br/>Choose from the following options.,NA,B,1 Only,2 Only,Both of them,Neither of them,NA,NA,NA,NA,"<br/>- The anger of the peasants exploded in 1859 when Digambar Biswas and Bishnu Biswas of Nadia district decided not to grow indigo under duress and resisted the physical pressure of the planters and their lathiyals (retainers)backed by police and the courts.<br/>-They also organized a counterforce against the planters' attacks. The planters also tried methods like evictions and enhanced rents. The ryots replied by going on a rent strike by refusing to pay the enhanced rents and by physically resisting the attempts to evict them. <br/>- Gradually, they learned to use the legal machinery and initiated legal action supported by fund collection.",NA
Large parts of East Bengal were engulfed by agrarian unrest during the 1870s and early 1880s. Which one of the following is NOT true with regards to the unrest?,NA,A,"In May 1873, an agrarian league or combination was formed in Yusufshahi Praganah in Pabna district to accept the demands of the zamindars.",The unrest was caused by the efforts of the zamindars to inflate rent beyond legal limits.,The unrest was caused by the efforts of the zamindars to prevent the tenants from acquiring occupancy rights under act X of 1859.,The zamindars tried to achieve this through illegal coercive methods such as forced eviction and seizure of crops and cattle as well as by dragging the tenants into costly litigation in the courts.,NA,NA,NA,NA,"Solution:<br/>1. The agrarian league was formed in Yusufshahi Parganah in the Pabna district of Bengal in May 1873.<br/>2. It was formed to resist the demands of the zamindars of enhanced rents. Hence, the 1st statement is completely FALSE.<br/>3. The league organized mass meetings of peasants and large crowds gathered and then they marched towards the villages frightening the zamindars.<br/>4. The league organized a rent-strike- the ryots refused to pay the enhanced rents and challenged the zamindars in the courts.<br/>5. The struggle gradually spread throughout Pabna and then to the other districts of East Bengal.<br/>6. Everywhere agrarian leagues were organized, rents were withheld and zamindars fought in the courts.<br/>7. The main form of struggle was that of legal resistance.<br/>8. There was very little violence - it only occurred when the zamindars tried to compel the ryots to submit to their terms by force.<br/>9. In the course of the movement, the ryots developed a strong awareness of the law and their legal rights and the ability to combine and form associations for peaceful agitation.",NA
Which of these statements are correct about Deccan Riots? <br/>1. Here moneylenders were mostly outsiders - Marwaris or Gujaratis <br/>2. Modern Nationalist Intelligentsia of Maharashtra opposed the peasants&#39; cause due to the violence,NA,A,1 Only,2 Only,Both of them,Neither of them,NA,NA,NA,NA,"<br/>- In 1874, the growing tension between the moneylenders and the peasants resulted in a social boycott movement organized by the ryots against the <q>outsider</q> moneylenders. The ryots refused to buy from their shops. No peasant would cultivate their fields. The barbers, washermen, shoemakers would not serve them.<br/>- This social boycott spread rapidly to the villages of Poona, Ahmednagar, Solapur and Satara. Soon the social boycott was transformed into agrarian riots with systematic attacks on the moneylenders&#39; houses and shops. <br/>- The debt bonds and deeds were seized and publicly burnt. The Government succeeded in repressing the movement. As a conciliatory measure, the Deccan Agriculturists Relief Act was passed in 1879. This time also, the modern nationalist intelligentsia of Maharashtra supported the peasants&#39; cause.",NA
Consider the following statements about the nature of Peasant movements after 1857 and choose the correct one? <br/>1. Colonialism was the target of these movements <br/>2. Territorial reach was limited <br/>3. There was no continuity of struggle or long term organization,NA,B,1 and 2 Only,2 and 3 Only,1 and 3 Only,All of them,NA,NA,NA,NA,"Changed Nature of Peasant Movements after 1857 <br/>- Peasants emerged as the main force in agrarian movements, fighting directly for their own demands. <br/>- The demands were centred almost wholly on economic issues. <br/>- The movements were directed against the immediate enemies of the peasant-foreign planters and indigenous zamindars and moneylenders. <br/>- The struggles were directed towards specific and limited objectives and redressal of particular grievances. <br/>-Colonialism was not the target of these movements. <br/>- It was not the objective of these movements to end the subordination or exploitation of the peasants. <br/>- Territorial reach was limited. <br/>- There was no continuity of struggle or long-term organization <br/>- The peasants developed a strong awareness of their legal rights and asserted them in and outside the courts",NA
What were the issues of Peasants in Eka Movement?<br/>1. High rents <br/>2. Oppression of thikadars in charge of revenue collection <br/>3. Practice of share rents <br/><br/>Choose from the following options,NA,D,1 and 2 Only,2 and 3 Only,1 and 3 Only,All of them,NA,NA,NA,NA,The issues involved were: (i) high rents-50 per cent higher than the recorded rates; (ii) oppression of Thikadars in charge of revenue collection; and (iii) practice of share-rents.,NA
"Consider the following statements. <br/>1. In 1920, the Awadh Kisan Sabha came into existence because of differences in nationalist ranks<br/>2. The Awadh Kisan Sabha asked the kisans to refuse to till bedakhali land, not to offer hari and begar and to boycott panchayats <br/>Which of these statements are correct?",NA,A,Both of them,1 Only,2 Only,Neither of them,NA,NA,NA,NA,"Both statements are correct.<br/><br/>Statement 1 is correct. The Awadh Kisan Sabha was formed in 1920 in the Awadh region of Uttar Pradesh, India, to address the grievances of the peasants who were facing oppression and exploitation by the landlords. The organization was formed due to the differences among the nationalist leaders who were unable to address the issues faced by the peasants.<br/><br/>Statement 2 is also correct. The Awadh Kisan Sabha urged the farmers to refuse to till bedakhali land, which was the land that belonged to the landlords but was left uncultivated for years. The organization also asked the farmers to boycott the panchayats, which were the traditional village councils, and not to offer any kind of free labor such as hari and begar to the landlords. These actions were taken as part of the non-cooperation movement against the landlords who were exploiting the farmers.",NA
"Which of these statements are correct about Mappila Revolt? <br/>1. The Mappila tenants were particularly encouraged the demand of the local Congress body for government legislation regulating tenant-landlord relations <br/>2. Soon, the Mappila movement merged with the ongoing Khilafat agitation <br/>Choose from the following options.",NA,C,1 Only,2 Only,Both of them,Neither of them,NA,NA,NA,NA,"The Mappilas were the Muslim tenants inhabiting the Malabar region where most landlords were Hindus Mappilas had expressed their resentment against the landlords&#39; oppression during the nineteenth century. <br/><br/>Their grievances centred around lack of security of tenure, high rents, renewal fees and other oppressive exactions. <br/><br/>The Mappila tenants were particularly encouraged by the local Congress body&#39;s demand for government legislation regulating tenant-landlord relations. <br/><br/>Soon, the Mappila movement merged with the ongoing Khilafat agitation. The leaders of the Khilafat-Non-Cooperation Movement like Gandhi, Shaukat Ali and Maulana Azad, addressed Mappila meetings. After the arrest of national leaders, the leadership passed into the hands of local Mappila leaders.",NA
"Consider the following statements about Bardoli Satyagraha. <br/>1. An intelligence wing was set up to make sure all the tenants, followed the movement&#39;s resolutions <br/>2. Those who opposed the movement faced a social boycott <br/>3. There was less emphasis placed on the mobilization of women <br/>Choose from the following options.",NA,A,1 and 2 Only,2 and 3 Only,1 and 3 Only,All of them,NA,NA,NA,NA,"Under Patel, the Bardoli peasants resolved to refuse the revised assessment payments until the Government appointed an independent tribunal or accepted the current amount as full payment. <br/><br/>To organize the movement, Patel set up 13 chhavanis or workers&#39; camps in the taluka. Bardoli Satyagraha Patrika was brought out to mobilize public opinion. An intelligence wing was set up to make sure all the tenants followed the movement&#39;s resolutions. <br/><br/>Those who opposed the movement faced a social boycott. Special emphasis was placed on the mobilization of women. K.M. Munshi and Lalji Naranji resigned from the Bombay Legislative Council in support of the movement.",NA
Consider the following statements. <br/>1. The All India Kisan Sabha was founded by Gauri Shankar Mishra and Indra Narayan Dwivedi <br/>2. The Congress Manifesto for the 1937 provincial elections was strongly influenced by the Awadh Kisan Sabha <br/>Which of these statements are correct?,NA,D,1 Only,2 Only,Both of them,Neither of them,NA,NA,NA,NA,"The All India Kisan Congress/Sabha: <br/>- This sabha was founded in Lucknow in April 1936 with Swami Sahjanand Saraswati as the president and N.G. Ranga as the general secretary.<br/>- A Kisan manifesto was issued, and a periodical under Indulal Yagnik started. The AIKS and the Congress held their sessions in Faizpur in 1936. <br/>- The AIKS agenda strongly influenced the Congress manifesto (especially the agrarian policy) for the 1937 provincial elections.",NA
