question_text,question_image,correct_answer,option_1_text,option_2_text,option_3_text,option_4_text,option_1_image,option_2_image,option_3_image,option_4_image,answer_explanation_text,answer_explanation_image
The minimum temperature of the day occurs generally ______.,NA,D,in the evening,at night,in the afternoon,in the early morning,NA,NA,NA,NA,"The correct answer is in the early morning. <br/><br/>Key Points:<br/>- The difference between high and low temperatures on the same day is called Diurnal temperature variation.<br/>- During the day, the air temperature increases as energy gains exceed the energy lost from Earth&#39;s surface and during the night, the air temperature decreases as Earth&#39;s surface loses more energy than it receives.<br/>- The minimum temperature of the day usually occurs in the morning. Hence option 4 is correct.<br/>- The maximum temperature occurs in the afternoon.<br/>- The average temperature on the Earth will be around 14&deg;C.",NA
Which part of the electromagnetic spectrum (EMS) causes human skin cancer?,NA,B,Gamma rays,Ultraviolet radiation,Micro waves,None of the above,NA,NA,NA,NA,"The electromagnetic spectrum is a continuum of all electromagnetic waves arranged according to frequency and wavelength. The electromagnetic spectrum includes, from longest wavelength to shortest: radio waves, microwaves, infrared, optical, ultraviolet, X-rays, and gamma-rays. Among these waves, Ultraviolet radiation causes human skin cancer. <br/><br/>KEY POINT: <br/>Ultraviolet radiation:<br/>-UV radiation is part of the natural energy produced by the sun.<br/>- On the electromagnetic spectrum, UV light has shorter wavelengths than visible light, so your eyes can&#39;t see UV, but your skin can feel it.<br/>Tanning beds also emit UV radiation.<br/>Two types of UV light are proven to contribute to the risk for skin cancer:<br/>-Ultraviolet A (UVA) has a longer wavelength and is associated with skin aging.<br/>- Ultraviolet B (UVB) has a shorter wavelength and is associated with skin burning.<br/>- While UVA and UVB rays differ in how they affect the skin, they both do harm.<br/>- Unprotected exposure to UVA and UVB damages the DNA in skin cells, producing genetic defects, or mutations, that can lead to skin cancer (as well as premature aging.)<br/>- These rays can also cause eye damage, including cataracts and eyelid cancers.<br/><br/>Hence, Ultraviolet radiation is the correct answer.",NA
What causes the variation in temperature across different latitudes on Earth?,NA,C,The rotation of the Earth on its axis.,The distance of a location from the Moon.,The tilt of the Earth&#39;s axis relative to its orbit around the Sun.,None of the above,NA,NA,NA,NA,"The correct answer is The tilt of the Earth&#39;s axis relative to its orbit around the Sun.<br/><br/><b>Key Points:</b><br/>The primary factor influencing temperature variations across latitudes is the amount of solar radiation received.<br/>Near the equator, where the Sun&#39;s rays strike the Earth most directly, temperatures are generally warmer. <br/>The angle at which sunlight strikes the Earth&#39;s surface varies with latitude.<br/>Near the equator, sunlight strikes the surface at a more direct angle, leading to greater heating.<br/>Another factor influencing temperature variations is the length of daylight hours.<br/>- Near the poles, especially during the polar summer, daylight can last for extended periods, leading to more heating.<br/>- In contrast, during the polar winter, there may be extended periods of darkness, resulting in cooling.<br/>- The reflectivity of the Earth&#39;s surface, known as albedo, also affects temperature variations.<br/>Surfaces with high albedo, such as ice and snow, reflect more sunlight and absorb less heat, leading to cooler temperatures.",NA
"When humidity is expressed as a percentage, it is called",NA,B,percentage humidity,relative humidity,specific humidity,None of the above,NA,NA,NA,NA,"The correct answer is relative humidity.<br/><br/><b>Key Points:</b><br/>- When humidity is expressed in terms of percentage, it is called relative humidity.<br/>- It means the present state of absolute humidity relative to maximum humidity when taken at the same temperature.<br/>- When relative humidity is 100% that means that air is saturated with water vapour and zero per cent of water vapour is present in the air.<br/>- Humidity means the concentration of water vapour that is present in the air.<br/>- Water vapour is the gaseous state of water and is invisible to the naked human eye.<br/>- The level of humidity depends on dew, precipitation or fog.<br/>- It's level depends on the temperature and pressure of the atmosphere.",NA
Which one of the following statements is true?,NA,B,Arctic snow covered areas have intermediate ecological productivity,Temperature is the limiting factor for desert areas in relation to ecological productivity.,The primary productivity of a natural ecosystem largely depends on the amount of solar radiation,None of the above,NA,NA,NA,NA,"KEY POINTS: <br/>- In a desert ecosystem, the limiting factors that are dependent on population density are competition, predation, food shortage, and disease outbreak.<br/>- Ecological productivity refers to the primary fixation of solar energy by plants and the subsequent use of that fixed energy by plant-eating herbivores, animal-eating carnivores, and the detritivores that feed upon dead biomass.<br/>- This complex of energy fixation and utilization is called a food web.<br/>- It is important in any ecosystem because these organisms bring energy to other living organisms by photoautotrophy or chemoautotrophy.<br/>- In desert ecosystems, it is limited by precipitation, nutrient availability (especially nitrogen), and the species&#39; production potential.<br/>- Deserts are areas of low available water.<br/>- In the extreme desert, be it hot or cold, the absence of water will prevent most plants from surviving, and, hence, productivity is negligible.<br/>- Plants may show similar adaptations to conserve water in both environments (xerophytism).",NA
"Since the clinical thermometer is designed to measure the temperature of the human body only, it displays the range of 35&deg;C to ______ .",NA,A,42&deg;C,44&deg;C,48&deg;C,46&deg;C,NA,NA,NA,NA,"The correct answer is 42&deg;C.<br/><br/>KEY POINTS:<br/>- A clinical thermometer is a thermometer used to measure human body temperature.<br/>- Most made in the 20th century are mercury-in-glass thermometers.<br/>- They are accurate and sensitive, having a narrow place where the mercury level rises very fast.<br/>- The temperature of the human body normally does not go below 35&deg;C or above 42&deg;C. That is the reason why this thermometer has the range 35&deg;C to 42&deg;C.",NA
Which one of the following is the most important factor that influences the distribution of temperature on the earth?,NA,A,Insolation,Solar radiation,Terrestrial radiation,Distance from sea,NA,NA,NA,NA,The concept of Insolation:<br/><br/>- Insolation is the most important factor that influences the distribution of temperature on the earth.<br/>- Insolation is the solar radiation that reaches the earth&#39;s surface.<br/>- It is measured by the amount of solar energy received per square centimeter per minute.<br/>- The factor that determines the amount of insolation received is the angle of inclination of the rays.<br/>- This depends on the latitude of a place.<br/>- The higher the latitude the less is the angle they make with the surface of the earth resulting in slant sun rays.<br/>- The area covered by vertical rays is always less than the slant rays.,NA
In which of the following places is the difference between the day and night temperatures likely to be the highest?,NA,C,Chilika Lake,Andaman and Nicobar Islands,Thar Desert,Mount Everest,NA,NA,NA,NA,"Important Points: <br/>-The difference between the day and night temperature is likely to be the highest in the Thar desert.<br/>- In the Thar Desert, the day temperature may rise to 50&deg;C, and drop down to near 15&deg;C the same night.<br/>- On the other hand, there is hardly any difference in day and night temperatures in the Andaman and Nicobar islands or in Kerala.<br/>- The Great Indian Desert, well-known as the Thar Desert, is a large and arid region in the northwestern part of the Indian subcontinent.<br/>- It is the world&#39;s 17th-largest desert and the world&#39;s 9th-largest hot subtropical desert.<br/>- The Great Indian Desert lies between the Aravalli Hills in the northeast and stretches to Punjab and Haryana to the north, to the Rann of Kutch along the western coast, and the alluvial plains of the Indus River in the northwest.<br/><br/>Additional Information:<br/>- The main reason for the stark temperature change is that desert air is extremely dry. In arid deserts like the Sahara and the Atacama Desert in Chile, the humidity - the amount of water vapor in the air - is practically zero, and unlike sand, water has a huge capacity to store heat.<br/>- Water vapor in the air traps heat close to the ground like a giant invisible blanket  and stops it from dissipating into the atmosphere, according to World Atlas.<br/>- Air with high humidity also requires more energy to heat up, meaning it also takes more time for that energy to dissipate and for the surroundings to cool down.<br/>- Therefore, the lack of humidity in deserts allows these arid places to quickly heat up but also rapidly cool.",NA
Consider the following statements:<br/>1. High clouds primarily reflect solar radiation and cool the surface of the Earth.<br/>2. Low clouds have a high absorption of infrared radiation emanating from the Earth&#39;s surface and thus cause warming effect.<br/>Which of the statements given above is/are correct?,NA,D,1 only,2 only,Both 1 and 2,Neither 1 nor 2,NA,NA,NA,NA,"The correct answer is Neither 1 nor 2.<br/><br/>Key Points:<br/>Difference between High Clouds and Low Clouds<br/><br/>-High clouds are often thin and do not reflect very much. They let lots of the Sun&#39;s warmth in. Low clouds are often quite thick and reflect lots of sunlight back into space.<br/>-The main difference between high and low clouds is that the high clouds are colder. This means that they radiate less energy into space than the lower, warmer clouds. Therefore, high clouds work to <q>trap</q> more energy than low clouds.<br/>- High clouds are not good at reflecting short waves. But, they are very good at blocking long waves. This also traps heat. Thus, high clouds will cause a warming of the Earth&#39;s surface. Hence, Statement 2 is not correct.<br/>- Low clouds are excellent reflectors. But, they don&#39;t stop the longwave energy from escaping to space. Therefore, low clouds help to cool the Earth. Hence, Statement 1 is not correct.",NA
The transfer of heat energy through the movement of a mass of substance from one place to another place is called ______.,NA,B,Conduction,Convection,Condensation,Radiation,NA,NA,NA,NA,"Heat may be transferred via any substance made up of atoms and molecules.<br/><br/>Important Points:<br/>-The process of heat transmission through the bulk movement of molecules inside fluids such as gases and liquids is known as convection.<br/>-Thermal epansion occurs when a fluid is heated from below. The fluid&#39;s density decreases.<br/>- Colder fluid is denser, as we all know. The less-dense, hotter section of the fluid rises due to buoyancy.<br/>- It is replaced with a cooler, denser fluid. When this component heats up and rises to be replaced by the cooler top layer, the process is repeated.<br/>- Convection is used to transmit heat in this way.<br/><br/>Additional Information:<br/>Conduction: When there is a difference in temperature potential between contiguous locations, heat is directly conveyed through the material of a substance without the material moving.<br/>Radiation: Ionization is caused by the release of energy as electromagnetic waves or moving subatomic particles, particularly high-energy particles. <br/>Condensation: The process by which the physical state of matter transitions from gaseous to liquid is known as condensation.<br/>Therefore, the transfer of heat energy through the movement of a mass of a substance from one place to another place is called Convection.",NA
