question_text,question_image,correct_answer,option_1_text,option_2_text,option_3_text,option_4_text,option_1_image,option_2_image,option_3_image,option_4_image,answer_explanation_text,answer_explanation_image
The latest discovered state of matter is,NA,B,Solid,Bose-Einstein Condensate,Plasma,Liquid,NA,NA,NA,NA,"The correct answer is option 2 - Bose-Einstein condensate.<br/><br/>Solid, liquid, gas, and plasma are the four states of matter that are commonly known. However, in 1995, a new state of matter called Bose-Einstein condensate (BEC) was discovered by physicists Eric Cornell, Carl Wieman, and Wolfgang Ketterle.<br/>Bose-Einstein condensate is a unique state of matter that occurs at extremely low temperatures, close to absolute zero (-273.15 degrees Celsius or -459.67 degrees Fahrenheit). In this state, a group of atoms or particles, known as bosons, come together and lose their individual identities, behaving as a single entity with wave-like properties.<br/>Bose-Einstein condensate exhibits fascinating phenomena, such as superfluidity and quantum coherence, which are not observed in other states of matter. It has provided valuable insights into quantum mechanics and has opened up new avenues of research in fields like atomic physics and condensed matter physics.<br/>In summary, Bose-Einstein condensate is a unique state of matter that was discovered in 1995 and exists at extremely low temperatures, demonstrating remarkable quantum properties.",NA
"Matter around us can exist in three different states, namely, solid, liquid and gas. The correct order of their compressibility is",NA,B,Liquid < Gas < Solid,Solid < Liquid < Gas,Gas < Liquid < Solid,Solid < Gas < Liquid,NA,NA,NA,NA,"The correct answer is option 2: Solid < Liquid < Gas. <br/><br/>Compressibility is a measure of how easily a substance can be compressed or squeezed into a smaller volume. In solids, the particles are tightly packed together and have very little space to move, making them less compressible. Therefore, solids have the lowest compressibility among the three states of matter.<br/>In liquids, the particles are not as tightly packed as in solids, allowing them to move past each other more freely. Although liquids are more compressible than solids, they still have a relatively low compressibility compared to gases.<br/>Gases have particles that are more spread out and have a lot of space between them. This allows gas particles to move freely and easily compress when subjected to pressure. Therefore, gases have the highest compressibility among the three states of matter.<br/>To summarize, the correct order of compressibility is: Solid < Liquid < Gas.",NA
Under what conditions does diffusion occur faster?,NA,C,Low temperature,Low pressure,High temperature,High pressure,NA,NA,NA,NA,"Diffusion becomes faster at high temperatures. This is because, at higher temperatures, the particles of matter gain more kinetic energy, allowing them to move more rapidly and intermix more quickly. As temperature increases, the kinetic energy overcomes the forces of attraction between particles, facilitating faster diffusion.",NA
Which term describes the random movement of microscopic particles in a fluid due to continuous bombardment from surrounding molecules?,NA,D,Zig-zag dance,Brownian dance,Particle waltz,Brownian motion,NA,NA,NA,NA,The random movement of microscopic particles in a fluid is known as Brownian motion. This phenomenon was first observed by Robert Brown and is a result of continuous collisions between the particles and molecules in the surrounding medium.,NA
What is the basis for the classification of matter into three categories?,NA,C,Particle color,Particle size,Particle arrangement,Particle density,NA,NA,NA,NA,"Matter is classified based on particle arrangement. The three main categories are solid, liquid, and gas, each characterized by different arrangements and behaviors of particles.",NA
At what temperature does water boil and change rapidly into a gas at atmospheric pressure?,NA,B,0&deg;C,100&deg;C,273K,173K,NA,NA,NA,NA,Water boils at 100&deg;C at atmospheric pressure. This is the temperature at which the liquid rapidly changes into a gas.,NA
What is the term for the process in which a gas turns into a liquid on cooling at a specific temperature?,NA,D,Evaporation,Sublimation,Vaporization,Condensation,NA,NA,NA,NA,The process in which a gas turns into a liquid on cooling at a specific temperature is called condensation.,NA
What is the latent heat of fusion?,NA,C,Heat required to change a liquid to a gas,Heat required to change a gas to a liquid,Heat required to change a solid to a liquid,Heat required to change a liquid to a solid,NA,NA,NA,NA,The latent heat of fusion is the amount of heat energy required to change a solid into a liquid at atmospheric pressure and at its melting point.,NA
How can gases be liquefied?,NA,B,By increasing temperature,Both C and D,By decreasing temperature,By increasing pressure,NA,NA,NA,NA,Liquefaction of gases is the process in which a gas is liquified to change its state from gas to liquid. A gases can be liquified by increasing pressure and reducing the temperature.,NA
What factor does not affect the rate of evaporation?,NA,C,Surface area,Temperature,insoluble heavy impurities,Wind speed,NA,NA,NA,NA,"The evaporation rate is dependent on certain variables such as temperature, surface area, wind speed, etc. However, it is not affected in the case of insoluble heavy impurities. Insoluble heavy impurities will still stay in the solution and not affect the process of evaporation.",NA
What is the process of converting a substance from the liquid state to the gaseous state at any temperature below its boiling point?,NA,D,Boiling,Condensation,Sublimation,Evaporation,NA,NA,NA,NA,The process of converting a substance from the liquid state to the gaseous state at any temperature below its boiling point is called evaporation.,NA
How does evaporation cause cooling?,NA,D,By releasing energy,By decreasing pressure,By increasing temperature,By absorbing energy,NA,NA,NA,NA,"During evaporation, the particles of liquid absorb energy or latent heat of vaporization from the surroundings. This absorption of energy makes the surroundings cold, causing evaporation to have a cooling effect.",NA
Which of the following statements is incorrect?,NA,C,Matter is made up of particles,Particles of matter are always in state of motion,Matter is continuous in nature,Particles of matter attract each other,NA,NA,NA,NA,"Option A ,B and D all shows the property possessed by matter hence C is incorrect.<br/>Physical Properties of MatterColour, density, volume, mass, boiling temperature, and melting point are the six main physical properties. Shape, size, hardness, flexibility, texture, odour, temperature, volume, length, freezing point, electrical conductivity, and so on are some further examples.",NA
Which of the following is not a characteristic of matter?,NA,B,Matter is made up of extremely small particles,There is no space between particles of matter ,The particles of matter are continuously moving,The particles of matter attract each other,NA,NA,NA,NA,There is space between particles of matter in liquid and gases. Hence it is called intermolecular spaces.<br/>Option B is incorrect.,NA
"On converting 25&deg;C, 38&deg;C and 66&deg;C to Kelvin scale, the correct sequence of temperature will be",NA,A,"298 K, 311 K and 339 K","298 K, 300 K and 338 K","273 K, 278 K and 543 K","298 K, 310 K and 338 K",NA,NA,NA,NA,"Kelvin is the SI Unit of measurement of temperatures. It is represented with the Unit Kelvin (K).<br/>Temperatures can be converted from Celsius to Kelvin by adding 273 to the Celsius Scale.<br/>We have been given 3 temperatures here which are in the Celsius Scale.<br/>25&deg;C, 38&deg;C and 66&deg;C<br/><br/>To convert all of them to the Kelvin Scale, add 273 to all of them.<br/>25 + 273 = 298 K<br/>38 + 273 = 311 K<br/>66 + 273 = 339 K",NA
