question_text,question_image,correct_answer,option_1_text,option_2_text,option_3_text,option_4_text,option_1_image,option_2_image,option_3_image,option_4_image,answer_explanation_text,answer_explanation_image
When does the moment of inertia of a body come into the picture?,NA,A,When the motion is rotational,When the motion is linear,When the motion is along a curved path,None of the above,NA,NA,NA,NA,"The answer is A, The moment of inertia of a body come into picture when the motion is rotational. <br/>Moment of inertia, denoted by I, measures the extent to which an object resists rotational acceleration about a particular axis, it is the rotational analogue to mass (which determines an object&#39;s resistance to linear acceleration). The moments of inertia of a mass have units of dimension ML<sup>2</sup> ([mass] × [length]<sup>2</sup>).",NA
The motion of planets in the solar system is an example of conservation of,NA,C,Energy,Linear momentum,Angular momentum,Mass,NA,NA,NA,NA,"Linear momentum is the vector quantity and defined as the product of the mass of an object, m, and its velocity, v. <br/>In the motion of planets around the sun the angular momentum is conserved. That is the total angular momentum of the system is constant. This is because there is no external torque acting on the system. Angular momentum is the rotational analogue of linear momentum. <br/>Therefore, C is the correct answer.",NA
What does L<sup>2</sup>/2I represent?,NA,D,Power,The torque of a particle,The potential energy of a particle,The rotational kinetic energy of a particle,NA,NA,NA,NA,"The rotational kinetic energy is the kinetic energy of rotation of a rotating rigid body or system of particles, where I is the moment of inertia, or <q>rotational mass</q> of the rigid body or system of particles.",NA
"Consider two objects a disk and a sphere that has the same radius but different masses which roll down the two inclined planes with the same altitude and length. Out of the two objects, which one gets to the bottom of the plane first?",NA,C,It is dependent on the masses of the objects,Disk,Sphere,Both reach at the same time,NA,NA,NA,NA,NA,http://abhigyanacademy.com/upload/gallery/1717845549.png 
"When the torque acting on the system is zero, which of the following is constant?",NA,D,Linear impulse,Linear momentum,Force,Angular momentum,NA,NA,NA,NA,"When the torque acting upon a system is zero, the angular momentum is constant and hence is conserved. This is analogous to the linear counterpart i.e. when the force on the system is zero, the momentum is conserved.",NA
What is the frictional force of a round object with mass M and radius R which rolls down the inclined plane without slipping along the way?,NA,C,There is a decrease in the rotational motion,There is a decrease in the rotational and translational motion,There is a conversion of translational motion into rotational motion,Kinetic energy is converted into heat,NA,NA,NA,NA,"Given = round object <br/>mass =M <br/>radius = R <br/>to find= frictional force <br/>solution =  when a body rolls down without slipping along  a way, it rotates along horizontal axis, therefore rolling motion may regarded as arotational motion may be regarded as a rotational motion about an axisrequired frictional force  converts translational energy into rotational energy.<br/><br/>we can find the frictional force by, F = &mu;N.",NA
On which of the following factor does the moment of inertia of an object NOT depend upon?,NA,B,Axis of rotation,Angular velocity, Distribution of mass,Mass of an object,NA,NA,NA,NA,"Option B- Angular Velocity. <br/>Moment of Inertia depends on distribution of body (shape and size of the body), axis of rotation and mass of the body. It is not dependent on angular velocity of the body.",NA
"What is the acceleration of the rolling sphere at the centre of the plane with inclination, &theta; to the horizontal?",NA,B,Zero,Less than g sin &theta;,Greater than g sin &theta;,g sin &theta;,NA,NA,NA,NA,NA,http://abhigyanacademy.com/upload/gallery/1717848849.png 
What is the angular momentum vector in an orbital motion?,NA,D,The vector is in the orbital plane,The vector is along the radius vector,The vector is parallel to the linear momentum,The vector is perpendicular to the orbital plane,NA,NA,NA,NA,NA,http://abhigyanacademy.com/upload/gallery/1717849238.png 
The mass centre of a system of particles is independent of,NA,D,position of particles,relative distance between particles,masses of particles,force acting on particle,NA,NA,NA,NA,Internal forces can not change the position of center of mass as they are always produced as action reaction pair within the system hence net force becomes zero.,NA
"A particle moves down a line parallel to the positive X-axis at a constant speed. With respect to the origin, the magnitude of its angular momentum is,",NA,D,zero,remaining constant,decreasing with x,increasing with x,NA,NA,NA,NA,NA,http://abhigyanacademy.com/upload/gallery/1717849769.png
"A rope is looped around a hollow cylinder with a radius of 40 cm and a mass of 3 kg. If the rope is pulled with a force of 30 N, what is the angular acceleration of the cylinder?",NA,B,0.25 rad s <sup>-2</sup>, 25 rad s <sup>-2</sup,5 m s <sup>-2</sup>,25 m s <sup>-2</sup>,NA,NA,NA,NA,NA,http://abhigyanacademy.com/upload/gallery/1717850053.png 
