question_text,question_image,correct_answer,option_1_text,option_2_text,option_3_text,option_4_text,option_1_image,option_2_image,option_3_image,option_4_image,answer_explanation_text,answer_explanation_image
"Which of the following act, passed under British India, has led to the establishment of Supreme Court of Calcutta ?",NA,"Regulating Act, 1773","Pitt’s India Act, 1784","Regulating Act, 1773","Charter Act, 1833","Charter Act, 1833",NA,NA,NA,NA,"The Regulating Act, 1773, passed by the British Parliament, was the first step towards the centralization of the administration of India. The Act introduced several changes in the administration of British India, and one of its key provisions was the establishment of the Supreme Court of Calcutta in 1774. The Supreme Court of Calcutta was the first high court in India and had jurisdiction over the presidency of Fort William, which included Bengal, Bihar, and Orissa.

Therefore, the correct answer is option B, Regulating Act, 1773.",NA
"Consider the following:?
1. Dyarchy at Provinces
2. Dyarchy at the center
3. Establishment of RBI
4. Bicameralism in Bengal, Bombay and Madras Provinces
5. Establishment of a Federal Court of India

Which of the above is a feature of Government of India Act, 1935?",NA,"2, 3, 4 and 5 only","1, 2, 3 and 4 only","1, 3, 4 and 5 only","2, 3, 4 and 5 only","1, 2, 3, 4 and 5",NA,NA,NA,NA,"Important provisions of the Government of India Act, 1935:

Established All India Federation consisting of provinces and princely states as units.

Divided powers into three lists: Federal list (for Centre, with 59 items), Provincial list (for Provinces, with 54 items) and the Concurrent list (for both, with 36 items). The Viceroy was empowered with all the residuary powers.

Abolished dyarchy in the provinces and introduced provincial autonomy. It introduced responsible Governments in provinces where the Governor needed to work on advice of ministers responsible to the provincial legislature.

Provided for adoption of dyarchy at the Centre. Federal subjects were divided into transferred subjects and reserved subjects.

Introduced bicameralism in 6 out of 11 provinces (Bengal, Bombay, Madras, Bihar, Assam and the United Provinces).

Provisioned for separate electorates for Scheduled Castes, women and labour.

Abolished the Council of India.

Established Reserve Bank of India to control currency and credit of the country.

Established Federal Public Service Commission, Provincial Public Service Commission and Joint Public Service Commission.

Provided for setting up a Federal Court.",NA
"Which of the following are the features of Regulating Act of 1773?
1. Governor of Bengal was designated as the Governor General.
2. A Supreme Court was established in Calcutta.
3. East India Company got constitutional status.
Which of the above statement(s) is/are correct?",NA,All of the above,Only 1 and 2,Only 1 and 3,Only 2 and 3,All of the above,NA,NA,NA,NA,"The British Parliament passed the Regulating Act in 1773 by which changes were introduced in the administrative structure of the company both in England and in India. The number of the Directors of the Company was taken to 24. In India the Governor of Bengal came to be designated as the Governor General.
As per the provisions of the Act, a Supreme Court was established at Calcutta comprising of a Chief Justice and three other Judges. The special feature of the Act was that apart from granting the status of a trading company, it also conferred the East India Company constitutional status and provided it with political powers.",NA
"“This Act introduced, local representation in the Indian (Central) Legislative Council. It provided for the separation of the executive and legislative functions of the Governor General’s Council.” The above passage best describes which of the following Act?",NA,"Charter Act, 1853","Charter Act, 1813","Charter Act, 1833","Charter Act, 1853","Charter Act, 1793",NA,NA,NA,NA,"The Charter Act of 1853 introduced local representation in the Indian (Central) Legislative Council, which meant that a certain number of members were to be elected by the local boards and universities. It also provided for the separation of the executive and legislative functions of the Governor General's Council. This Act increased the number of members in the Legislative Council and established a new Legislative Council for Bengal Presidency.

Therefore, the correct answer is C: Charter Act, 1853.",NA
"Which of the following institutions was/were introduced by The Government of India Act, 1858?
1. Imperial Legislative Council
2. Board of Control
3. Council of India

Select the correct answer using the code given below.",NA,3 only,1 and 3 only,3 only,2 and 3 only,"1, 2 and 3",NA,NA,NA,NA,"Imperial Legislative Council was formed by the Indian Councils Act, 1861.
Board of Control was established by the Pitt’s India Act, 1784.
Council of India was formed by the Government of India Act, 1858.",NA
The Constitution of India was adopted by the,NA,Constituent Assembly,Parliament of India ,Constituent Assembly,Governor General ,British Parliament,NA,NA,NA,NA,"The Constitution of India was adopted by the Constituent Assembly on November 26, 1949. The Constituent Assembly was formed in 1946 under the Cabinet Mission Plan to draft a constitution for India. The Constitution was adopted after a two-year-long process of drafting, discussion, and amendments. It came into effect on January 26, 1950, marking the beginning of India as a Republic.",NA
"Consider the following statements about Morley Minto reforms
1. It provided separate electorates for Muslims, Sikhs, Indian Christians, and Anglo-Indians.
2. It introduced direct elections in the country for the first time.
3. One Indian was to be appointed to the viceroy’s executive council
Which of the above statement(s) is/are correct?",NA,3 only,"1, 2 and 3 only",3 only,2 and 3 only,1 and 3 only,NA,NA,NA,NA,"The correct answer is 3 only.

The elective principle was recognized for the nonofficial membership of the councils in India.
Indians were allowed to participate in the election of various legislative councils, though on the basis of class and community.
For the first time, separate electorates for Muslims for election to the central council was established—a most detrimental step for India.
The number of elected members in the Imperial Legislative Council and the Provincial Legislative Councils was increased.
According to Sumit Sarkar, in the Imperial Legislative Council, of the total 69 members, 37 were to be the officials and of the 32 non-officials, 5 were to be nominated.
Of the 27 elected non-officials, 8 seats were reserved for the Muslims under separate electorates (only Muslims could vote here for the Muslim candidates), while 4 seats were reserved for the British capitalists, 2 for the landlords and 13 seats came under general electorate.
The separate electorates for Sikhs, Indian Christians were provided in the 1919 Government of India Act. Hence, statement 1 is NOT correct.
The elected members were to be indirectly elected. Hence, statement 2 is NOT correct.
The local bodies were to elect an electoral college, which in turn would elect members of provincial legislatures, who in turn would elect members of the central legislature.
Besides separate electorates for the Muslims, representation in excess of the strength of their population was accorded to the Muslims.
Also, the income qualification for Muslim voters was kept lower than that for Hindus.
One Indian was to be appointed to the viceroy’s executive council (Satyendra Sinha was the first Indian to be appointed in 1909). Hence, Statement 3 is correct.",NA
Which of the following statement is not true?,NA,Simon commission was appointed in 1927 to enquire into atrocities committed by police during non-cooperation movement,Morley - Minto reforms of 1909 started separate electorates for Muslims,Dyarchy was introduced in provinces by Act of 1919,Provincial autonomy was ensured in Act of 1935,Simon commission was appointed in 1927 to enquire into atrocities committed by police during non-cooperation movement,NA,NA,NA,NA,"In 1927, the British Government appointed a 7-member statutory commission under the chairmanship of Sir John Simon to report on the condition of India under its new constitution. The commission submitted its report in 1930 and recommended the abolition of diarchy, extension of responsible Government in the provinces, establishment of a federation of British India and princely states, continuation of communal electorates and so on. The recommendations of the commission were incorporated in the Government of India Act, 1935.",NA
"Which of the following is a provision of the Government of India Act, 1858?
1. Company rule was replaced by Crown rule.
2. Establishment of Board of Control over the Court of Directors.
3. Indians were allowed to take part in Indian Civil Services.
4. Separating the executive and legislative functions of the Governor-General.
5. Creation of a new office of Secretary of State for India.

Select the correct answer using the codes given below:",NA,1 and 5 only,"1, 3 and 4 only","1, 2 and 4 only","1,2, 3, 4, 5 only ",1 and 5 only,NA,NA,NA,NA,"The Correct Option is D: 1 and 5 only
Explanation:
The Government of India Act, 1858, was enacted after the Indian Rebellion of 1857, which led to significant changes in the governance of India. The main provisions of the Act were:
1. Company rule was replaced by Crown rule: The rule of the British East India Company was abolished, and the administration of India was transferred to the British Crown. This meant that the British government would directly govern India.
5. Creation of a new office of Secretary of State for India: The Act established the office of the Secretary of State for India, who was a member of the British Cabinet. This person was responsible for overseeing the administration of India and communicating between the British government and the Indian administration.
The other options mentioned are not provisions of the Government of India Act, 1858:
2. Establishment of Board of Control over the Court of Directors: This provision was part of the earlier Pitt's India Act of 1784, which established the Board of Control to oversee the activities of the British East India Company.
3. Indians were allowed to take part in Indian Civil Services: This provision was introduced later, in the Indian Councils Act of 1861.
4. Separating the executive and legislative functions of the Governor-General: Charter act of 1853 separated the Legislative and executive functions of the Governor-general's council.",NA
"Which of the following is/are true regarding the Morley Minto Reforms? 
1) Satyendra Prasad Sinha became the first Indian to join the Viceroy’s Executive Council. 
2) The reforms introduced separate electorates.",NA,Both 1 and 2 ,Both 1 and 2 ,Only 1,Only 2,Neither 1 nor 2,NA,NA,NA,NA,"1909 Act is also known as Morley-Minto Reforms (Lord Morley was the then Secretary of State for India and Lord Minto was the then Viceroy of India). It was to appease the moderates. 
1. It increased the size of Central and provincial legislative councils. 
2. The number of members in the Central Legislative Council was raised from 16 to 60. 
3. The number of members in the provincial legislative councils was not uniform.
4. It retained official majority in the Central Legislative Council (majority of British officials) 
5. However, it allowed the provincial legislative councils to have non-official majority. 
6. It enlarged the deliberative functions (right to discuss and ask questions) of the legislative councils at both the levels. 
7. For example, members could move resolutions on the budget, ask supplementary questions, etc. 
8. For the first time, it provided for the association of Indians with the executive Councils of the Viceroy and Governors. 
9. Satyendra Prasad Sinha became the first Indian to join the Viceroy’s Executive Council. He was appointed as the law member. 
10. It introduced ‘separate electorate’, a system of communal representation for Muslims. 
11. Under this, the Muslim members were to be elected only by Muslim voters. 
12. Thus, the Act ‘legalized communalism’ and Lord Minto came to be known as the Father of Communal Electorate.
13. It also provided for the separate representation of presidency corporations, chambers of commerce, universities and zamindars.",NA
"Which of the following act passed during British India, empowered the Viceroy to issue ordinances in the times of emergency?",NA,"The Indian Councils Act, 1861","The Indian Councils Act, 1861","The Indian Councils Act, 1892","The Indian Councils Act, 1909",None,NA,NA,NA,NA,The Indian Councils Act of 1861 was a significant act passed during British India that introduced significant changes to the Governor-General's Council. One of the key provisions of this act was the empowerment of the Viceroy to issue ordinances in times of emergency without the need for the approval of the Legislative Council. This allowed the British government to maintain control and take immediate action during crises or emergencies.,NA
"Which Act was accepted as the Provisional constitution of India, After Independence?",NA,Government of India Act 1935,Indian Councils Act 1909  ,Government of India act 1919,Government of India Act 1935,Indian Independence Act 1947,NA,NA,NA,NA,"The Government of India Act 1935 was an Act of the Parliament of the United Kingdom. It originally received Royal assent in August 1935. It was the longest Act of (British) Parliament ever enacted until Greater London Authority Act 1999 surpassed it. Because of its length, the Act was retroactively split by the Government of India Act, 1935 into two separate Acts:
 

The Government of India Act, 1935 , having 321 sections and 10 schedules.

The Government of Burma Act, 1935 having 159 sections and 6 schedules.

The Act led to:

Establishment of RBI.

FPSC, PPSC, JPSC.

Federal Court in 1937.

Bicameralism in 6 provinces (Bombay, Madras, Bengal, Bihar, Assam and United Provinces) out of 11 provinces.",NA
Who was the first Indian governor General of Independent India?,NA,C Rajagopalachari,Sardar Vallabhai Patel,C Rajagopalachari,Lord Mountbatten,Dr. Rajendra Prasad,NA,NA,NA,NA,"Chakravarti Rajagopalachari, popularly known as Rajaji, was independent India’s first Indian Governor General. He was also the last one.",NA
Who among the following introduced local self government in India?,NA,Lord Ripon,Lord Mountbatten,Lord Ripon,Lord Cunning,Lord Macaulay,NA,NA,NA,NA,"The correct answer is B: Lord Ripon.

Explanation: Lord Ripon, who served as the Viceroy of India from 1880 to 1884, is credited with introducing local self-government in India. In 1882, he introduced the Local Self-Government Resolution, which provided for the establishment of local self-government bodies in rural and urban areas of British India. This resolution marked a significant shift in the governance of India, as it provided for greater participation of Indians in the administration of their own affairs.

Under the Local Self-Government Resolution, local bodies such as municipalities, district boards, and taluk boards were established, which were responsible for the provision of local services such as sanitation, water supply, and roads. The members of these bodies were to be elected by local citizens, thereby providing an opportunity for Indians to participate in the decision-making process.

Lord Mountbatten was the last British Governor-General of India, who oversaw the transfer of power from British rule to Indian independence in 1947. Lord Canning was the first Viceroy of India, who served from 1858 to 1862, after the Indian Rebellion of 1857. Lord Macaulay was a British statesman and historian who served in India as the Law Member of the Governor-General's Council from 1834 to 1838, during which time he made important contributions to the Indian legal system and education policy.",NA
The Poona pact (1932) upheld,NA,Joint electorate with reserved seats for the scheduled castes,Joint electorate ,Separate electorate,Joint electorate with reserved seats for the scheduled castes,Joint electorate with reserved seats for the caste Hindus,NA,NA,NA,NA,"The correct answer is C: Joint electorate with reserved seats for the scheduled castes.

Explanation:
The Poona Pact was an agreement signed between Mahatma Gandhi, representing the Indian National Congress, and B. R. Ambedkar, representing the Depressed Classes (now known as Scheduled Castes), on 24 September 1932. The agreement was reached after a prolonged and bitter debate between the two leaders over the issue of separate electorates for the Dalits.

The British government had earlier proposed separate electorates for the Dalits, which would have given them their own separate electorate to elect their own representatives. Gandhi was opposed to this idea, as he believed that it would further divide the Hindu community along caste lines. He proposed a system of joint electorates, where members of all castes would vote together, and the Dalits would be given reserved seats in the legislature.

The Poona Pact upheld the principle of joint electorates with reserved seats for the Scheduled Castes. This ensured that the Dalits would have representation in the legislature and a voice in the political process, while also ensuring that the Hindu community remained united. The Poona Pact was a significant moment in the history of Indian politics, as it marked a major victory for the Dalits and helped to bring about greater unity among the Indian people.",NA
Which one of the following liberty is not embodied in the Preamble to the Constitution of India?,NA,Economic Liberty,Liberty of Thought ,Liberty of Expression,Economic Liberty,Liberty of Belief ,NA,NA,NA,NA,"The correct answer is C: Economic Liberty.

Explanation:

The Preamble to the Constitution of India is a brief introductory statement that sets out the fundamental principles, values, and objectives of the Constitution. It declares India to be a sovereign, socialist, secular, democratic republic, and enshrines certain fundamental rights and freedoms that are essential for the well-being and dignity of the individual.

The Preamble guarantees the following liberties:

A. Liberty of Thought: The Preamble guarantees the right to freedom of thought, conscience, and belief. This means that every individual has the right to think, believe, and worship as they choose, without interference from the state.

B. Liberty of Expression: The Preamble guarantees the right to freedom of expression, which includes the freedom of speech and expression, the freedom of the press, and the freedom to assemble peacefully and without arms.

C. Economic Liberty: Economic liberty, which includes the freedom to own, acquire, and dispose of property, is not explicitly mentioned in the Preamble to the Constitution of India.

D. Liberty of Belief: The Preamble guarantees the right to freedom of belief, which includes the freedom to practice, profess, and propagate any religion.

Thus, the correct answer is option C, Economic Liberty.",NA
Which of the following was the basis on which the government of India Act 1919 was made?,NA,Montague’s Declaration 1917,The council Act of 1909,Montague’s Declaration 1917,The victory of England in World War-I     ,None of the above,NA,NA,NA,NA,"The correct answer is B: Montague’s Declaration 1917.

Explanation:

The Government of India Act, 1919, also known as the Montagu-Chelmsford Reforms, was enacted to introduce self-government to India. The act was based on the recommendations of the report submitted by the Secretary of State for India, Edwin Montagu, and the Governor-General, Lord Chelmsford, in 1918.

The act was introduced in response to the Montagu Declaration of 1917, which promised ""responsible government"" in India. The Declaration stated that the British government's policy was to ""increase association of Indians in every branch of the administration and the gradual development of self-governing institutions"" in India.

The Government of India Act, 1919, introduced several important provisions, including the expansion of legislative councils, the creation of a system of dyarchy, and the establishment of a Public Service Commission. The act also provided for the establishment of a new central government in Delhi and provincial governments in the provinces.

Thus, the correct answer is option B, Montague’s Declaration 1917.",NA
Members of the constituent Assembly were,NA,Elected by the legislature of the various provinces,Directly elected by the people,Nominated by the governor general,Elected by the legislature of the various provinces,Nominated by congress and the Muslim league,NA,NA,NA,NA,"The correct answer is C: Elected by the legislature of the various provinces.

Explanation:

The Constituent Assembly of India was formed in 1946 to draft the Constitution of India. The members of the Constituent Assembly were not directly elected by the people but were indirectly elected by the provincial assemblies.

Under the Cabinet Mission Plan of 1946, a Constituent Assembly was to be elected by the members of the provincial assemblies. The members of the provincial assemblies were themselves indirectly elected, and the electorate consisted of a limited number of people, including elected members of local bodies and other special interest groups.

The Constituent Assembly consisted of a total of 389 members, including 292 from British India and 93 from the princely states. The members were chosen on the basis of proportional representation, with seats allocated to each province and princely state based on their population.

Thus, the correct answer is option C: Elected by the legislature of the various provinces.",NA
The Constitution has the following number of Articles,NA,395,315,333,365,395,NA,NA,NA,NA,"The correct answer is D: 395.

The Constitution of India has a total of 395 articles, which are divided into 22 parts. It is the supreme law of India and provides the framework for the governance of the country. The Constitution was adopted by the Constituent Assembly on November 26, 1949, and came into effect on January 26, 1950.",NA
Setting a supreme court as Calcutta is a part of,NA,Regulating Act of 1773,Regulating Act of 1773,Pitts India Act of 1784,Charter Act of 1793,Charter Act of 1893,NA,NA,NA,NA,"The correct option for the act which established the Supreme Court of Kolkata is A:

Regulating Act of 1773. The Regulating Act of 1773 was an important legislative measure passed by the British Parliament to regulate the affairs of the East India Company in India. One of the provisions of this act was the establishment of a Supreme Court in Kolkata, which was the first such court in India. The Supreme Court was established in Kolkata in 1774 and started functioning from 1775.",NA
Which Act is associated with “courts can interpret the rules and regulations”?,NA,Charter Act 1973,Regulating Act of 1773,Pitts India Act of 1784,Charter Act of 1793,Charter Act of 1893,NA,NA,NA,NA,"The correct answer is C: Charter Act of 1793.

The Charter Act of 1793 was an important legislative measure passed by the British Parliament to regulate the affairs of the East India Company in India. One of the key provisions of this act was the establishment of a new Supreme Court in Calcutta (now Kolkata), which replaced the Supreme Court established by the Regulating Act of 1773.

Another significant provision of the Charter Act of 1793 was the recognition of the power of the Supreme Court to interpret the laws and regulations. This provision gave the Supreme Court the power to strike down laws that were deemed to be unconstitutional or in violation of the principles of natural justice. The recognition of this power was a significant step towards the establishment of the principle of judicial review in India, which is a cornerstone of the Indian Constitution today.",NA
"Which of the following are the features of Regulating Act of 1773?
1. Governor of Bengal was designated as the Governor General.
2. A Supreme Court was established in Calcutta.
3. East India Company got constitutional status.
Which of the above statement(s) is/are correct?",NA,All of the above,Only 1 and 2,Only 1 and 3,All of the above,Only 2 and 3 ,NA,NA,NA,NA,"The correct option is C All of the above

The British Parliament passed the Regulating Act in 1773 by which changes were introduced in the administrative structure of the company both in England and in India. The number of the Directors of the Company was taken to 24. In India the Governor of Bengal came to be designated as the Governor General.
As per the provisions of the Act, a Supreme Court was established at Calcutta comprising of a Chief Justice and three other Judges. The special feature of the Act was that apart from granting the status of a trading company, it also conferred the East India Company constitutional status and provided it with political powers.",NA
"What were the salient features of Government of India Act 1935?

(1) Federation and provincial autonomy
(2) Dyarchy at the centre
(3) Abolition of dyarchy in the state",NA,"1, 2 and 3","2, 3","1,3","1, 2 and 3","1,2",NA,NA,NA,NA,"The Act was 2nd milestone towards a completely responsible government in India. It was a lengthy and detailed. It has 321 Sections and 10 Schedules. 

The features of the Act were

It provided for the establishment of an All-India Federation consisting of provinces and princely states as units.

The Act divided the powers between the Centre and Units by three lists—Federal List (for Centre, with 59 items), Provincial List (for provinces, with 54 items) and the Concurrent List (for both, with 36 items).

Residuary powers were given to the Viceroy.

But the federation never came into being as the princely states didn’t join it.

It introduced ‘provincial autonomy’ instead of dyarchy in the provinces.

The provinces were now autonomous units of administration in their own fixed spheres.

It introduced responsible governments in provinces, i.e. the governor was required to act with the advice of ministers responsible to the provincial legislature.

This came into effect in 1937 and was discontinued in 1939.

It provided for dyarchy at the Centre.

Thus, the federal subjects were divided into reserved subjects and transferred subjects. But, this provision did not come into operation at all.

It introduced bicameralism in six out of eleven provinces - Bengal,Bombay, Madras, Bihar, Assam and the United Provinces.

There was a legislative council (upper house) and a legislative assembly (lower house). However, many restrictions were placed on them.

It also provided separate electorates for depressed classes (scheduled castes), women and labor (workers).

It abolished the Council of India, established by the Government of India Act of 1858. The secretary of state for India was provided with a team of advisors.

It extended franchise. About 10 per cent of the total population got the voting right.

It provided for the establishment of a Reserve Bank of India to control the currency and credit of the country.

It provided for the establishment of a Federal Public Service Commission, Provincial Public Service Commission and Joint Public Service Commission for two or more provinces.

It provided for the establishment of a Federal Court, which was set up in 1937.",NA
"Which of the following is/are true?

(1) Simon Commission which was appointed in 1927, submitted its report in 1930, which suggested abolition of dyarchy.
(2) The Poona Pact was a reaction to the Simon Commission and its Report.",NA,Only 1,Only 1,Only 2,Both 1 and 2,None of the above,NA,NA,NA,NA,"The correct answer is A: Only 1.

(1) Simon Commission which was appointed in 1927, submitted its report in 1930, which suggested abolition of dyarchy. The Simon Commission was appointed by the British Government in 1927 to review the working of the Government of India Act of 1919 and to recommend changes, if necessary. The commission was composed entirely of British members and had no Indian representation. The report of the Simon Commission, submitted in 1930, recommended the abolition of the dyarchy system and the introduction of representative government in the provinces.

(2) The Poona Pact was not a reaction to the Simon Commission and its Report. The Poona Pact was an agreement signed between Mahatma Gandhi and Dr. B.R. Ambedkar in 1932 to resolve the issue of separate electorates for the Dalits. The British government had introduced separate electorates for the Dalits in the Communal Award of 1932, which was opposed by Mahatma Gandhi. The Poona Pact provided for reserved seats for the Dalits in the provincial assemblies but did not allow for separate electorates.

Therefore, only statement 1 is true and option A is the correct answer",NA
