question_text,question_image,correct_answer,option_1_text,option_2_text,option_3_text,option_4_text,option_1_image,option_2_image,option_3_image,option_4_image,answer_explanation_text,answer_explanation_image
The cashless economy in India has been amplified with the Indian Government's initiative of _______.,NA,A,Digital India,Banking sector crisis,Demonetization ,Swachh Bharat,NA,NA,NA,NA,"<b>Digital India</b> is a campaign launched by the Government of India to ensure the Government's services are made available to citizens electronically by improving online infrastructure and by increasing Internet connectivity.<br/>The initiative includes plans to connect rural areas with high-speed internet networks.<br/>It aims to empower citizens by providing digital access to government services, information, and opportunities.<br/>This initiative has been a significant driver in promoting a cashless economy in India.",NA
What percentage of 500 and 1000 rupees notes was received by RBI after the 2016 demonetization ?,NA,C,93.27%,97.45%,98.96%,95.65%,NA,NA,NA,NA,"<b>98.96%</b>? is the percentage of 500 and 1000 rupees notes received by RBI after the 2016 demonetization.<br/>The demonetization was announced on <b>8th November 2016</b> by the Government of India.<br/>The main objective of demonetization was to curb <b>black money, counterfeit currency, and corruption.</b><br/>During this period, the old 500 and 1000 rupees notes were <b>invalidated</b> and new currency notes were introduced.<br/>The received percentage reflects the amount of old currency notes that were returned to the banking system.",NA
The association of the rupee with pound sterling as the intervention currency was broken in,NA,C,1990,1991,1992,1993,NA,NA,NA,NA,"The association of the rupee with pound sterling as the intervention currency was broken in <b>1992.</b><br/>This change was part of a broader set of <b>economic reforms</b> that were initiated in India in the early 1990s.<br/>The reforms aimed at <b>liberalizing the Indian economy,</b> making it more <b>market-oriented,</b> and expanding the role of <b>private and foreign investment.</b><br/>By breaking the association with the pound sterling, India moved towards a more flexible exchange rate regime.<br/>This step was significant in the process of integrating the Indian economy with the global economy.",NA
When was the first five year plan introduced in India?,NA,A,1951,1956,1958,1952,NA,NA,NA,NA,"<b>The first Five-Year Plan</b> in India was launched in 1951, focusing primarily on the agricultural sector.<br/>It aimed at improving the standard of living in India by increasing food production and addressing the country&#39;s food shortages.<br/>The plan laid the foundation for economic development and was based on the Harrod-Domar model.<br/>The primary objective was to achieve a significant increase in the growth rate of the economy.<br/>It also focused on the development of infrastructure like irrigation, power, and transportation to support agricultural and industrial growth.",NA
Which of the following programmes is NOT a part of the Tenth Five-Year Plan?,NA,B,Jute Technology Mission,Drought Prone Area Programme,National Horticulture Mission,More than one of the above,NA,NA,NA,NA,"<b>Drought Prone Area Programme</b> is not a part of the Tenth Five-Year Plan.<br/>The Tenth Five-Year Plan (2002-2007) of India primarily focused on various developmental and socio-economic goals, but the Drought Prone Area Programme was not included in this plan.<br/>The Tenth Plan included initiatives such as the <b>Jute Technology Mission, National Horticulture Mission,</b> and <b>Micro Irrigation Programme.</b><br/>The Drought Prone Area Programme is a longstanding initiative that predates the Tenth Five-Year Plan and continues to be part of broader rural development strategies.",NA
The concept of five-year plans in the Constitution of India is borrowed from _______.,NA,A,Russia,England,The United States,Germany,NA,NA,NA,NA,"The constitution of India has borrowed most of its provisions from the constitution of different countries in the world.<br/>According to Dr B R Ambedkar, the constitution of India has been framed after ransacking all the known constitutions of the world.<br/>The important provisions borrowed from <b>Russia</b> are:<ul><b>Five-year plan.</b></ul><ul>Fundamental duties.</ul>",NA
During which five year plan did India opt for a mixed economy?,NA,B,Fourth Five Year Plan,Second Five Year Plan,Third Five Year Plan,First Five Year Plan,NA,NA,NA,NA,"<b>Second Five-year plan (1956 to 1961)</b><br/><br/>
The second plan was conceived in an atmosphere of economic stability.<br/><b>It was felt agriculture could be accorded lower priority.<br/>Industries got more importance in the 2nd five-year plan. The focus was mainly on heavy industries.</b><br/>The Indian government boosted the manufacturing of industrial goods in the country.<br/>This was done primarily to develop the public sector.<br/>The Plan Focussed on rapid industrialization- heavy & basic industries.<br/>Advocated huge imports through foreign loans.<br/><b>Therefore, the Indian Government adopted a mixed economy during the second five-year plan. Hence, Option 2 is correct.</b><br/>The Industrial Policy 1956 was based on the establishment of a socialistic pattern of society as the goal of economic policy.<br/>Acute shortage of forex led to pruning of development targets, the price rise was also seen ( about 30%) vis a vis decline in the earlier Plan & the 2nd FYP was only moderately successful.",NA
What was the duration of the Second Five-Year Plan?,NA,D,1957-62,1958-63,1955-60,1956-61,NA,NA,NA,NA,<b>1956-61</b> was the duration of the <b>Second Five Year Plan.</b><br/>The Second Five Year Plan was based on <b>Mahalanobis Model.</b><br/>?Its main focus was on the <b>industrial development of the country.<br/>P. C. Mahalanobis was a famous Indian statistician who founded the Indian Statistical Institute.</b><br/>The plan lagged behind the target <b>growth rate of 4.5% and achieved a growth rate of 4.27%.</b>,NA
Which Five Year Plan had the primary goal to establish India as a self-reliant and self-generating economy?,NA,C,First five year plan,Second five year plan,Third five year plan,Fourth five year plan,NA,NA,NA,NA,"<b>The third Five Year</b> Plan was launched from <b>1961-1966</b> under the <b>leadership of Pandit Jawaharlal Nehru.</b><br/><ul>The <b>Deputy Chairman</b> of the <b>Planning commission</b> at the time of the third five-year plan was <b>D. R. Gadgil.</b><br/>The plan was also known as the <b>Gadgil Yojana.</b><br/>The <b>independent economy (establishment of a self-reliant and self-generating economy), agriculture, and improvement in the production of wheat</b> were the <b>major objectives</b> of the plan.<br/>The third Five Year Plan was <b>affected due to drought and two wars</b> (Sino-India war of 1962 and Indo-Pakistani war of 1965).</ul>",NA
When was the Planning Commission set up?,NA,D,2019,2000,1947,1950,NA,NA,NA,NA,"The Planning Commission was an institution which formulated Five-Year Plans in India.<ul>Planning Commission set up in <b>1950.</b><br/>Planning commission was established based on the recommendation of an advisory planning board under the chairmanship of <b>KC Neogy.</b><br/>Headquarters: <b>Yojana Bhavan,</b> New Delhi.<br/>Planning commission is only an <b>advisory body.</b><br/>The concept of planning was based on the Russian model introduced by Joseph Stalin.<br/>The Prime Minister is the chairman of the planning commission.<br/><b>Jawaharlal Nehru</b> was the first chairman of the planning commission.<br/>Deputy chairman of the planning commission was appointed by the Union Cabinet.<br/><b>Gulzarilal Nanda</b> was the first deputy Chairman of the Planning Commission.</ul><br/>Narendra Modi government dissolved the Planning Commission in 2014.<br/>The planning commission was replaced by the newly formed <b>NITI Aayog</b> in 2015.",NA
