question_text,question_image,correct_answer,option_1_text,option_2_text,option_3_text,option_4_text,option_1_image,option_2_image,option_3_image,option_4_image,answer_explanation_text,answer_explanation_image
The government budget is an,NA,D,Five yearly statement,Half yearly statement,Weekly statement,Annual statement,NA,NA,NA,NA,"A government budget is a document prepared by the government and/or other political entity presenting its anticipated tax revenues (Inheritance tax, income tax, corporation tax, import taxes) and proposed spending / expenditure (Health care, Education, Defence, Roads, State Benefit) for the coming financial year.",NA
The government budget shows the government&#39;s,NA,D,Estimated expenditure only,Actual receipts and expenditure,Estimated receipts only,Estimated receipts and expenditure,NA,NA,NA,NA,"Government budget shows estimated receipt and expenditure. With this budget government do all that work that have been declared for the year. Actually all the budget for any firm or even a home, money limit is decided for the expected works during the year. Budget is common concept for all.",NA
One of the objectives of the government budget is,NA,B,Regeneration of income and wealth,Redistribution of income and wealth,Reallocation of income and wealth,Redistribution of income only,NA,NA,NA,NA,Government redistributes income and wealth with the help of government budget. it imposes high tax on rich to absorb extra purchasing power from the economy and give it to the poor in the form of subsidies. This reduces the gap between the rich and the poor and inequality is decreased and redistribution of income and wealth is achieved with the help of government budget.,NA
One of the two components of government budget are,NA,D,Investment budget,Expenditure budget,Income budget,Revenue budget,NA,NA,NA,NA,The budget is divided into two parts:<br/>(i) Revenue Budget and<br/>(ii) Capital Budget.,NA
One more of the two components of government budget are,NA,B,Investment budget,Capital budget,Expenditure budget,Income budget,NA,NA,NA,NA,The budget is divided into two parts:<br/>(i) Revenue Budget and<br/>(ii) Capital Budget.,NA
One of the two components of Revenue budget are,NA,B,Investment receipts,Revenue receipts,Expenditure receipts,Income receipts,NA,NA,NA,NA,"Revenue budget consists of the revenue receipts of the government (tax revenues and other revenues) and the expenditure met from these revenues.<br/>Revenue receipts are divided into tax and non-tax revenue.<br/>- Tax revenue is the income that is gained by governments through taxation. Taxes such as income tax, corporate tax, custom duties, excise and other duties levied by the government.<br/>Other revenues are receipts of the government mainly consisting of interest and dividend on investments made by the government, and fees and receipts for other services rendered by the government.",NA
One of the other two components of Revenue budget are,NA,C,Income budget,Budget Expenditure,Revenue expenditure,Investment Expenditure,NA,NA,NA,NA,"Revenue budget consists of the revenue receipts of the government (tax revenues and other revenues) and the expenditure met from these revenues.<br/>Revenue receipts are divided into tax and non-tax revenue.<br/>- Tax revenue is the income that is gained by governments through taxation. Taxes such as income tax, corporate tax, custom duties, excise and other duties levied by the government.<br/>Other revenues are receipts of the government mainly consisting of interest and dividend on investments made by the government, and fees and receipts for other services rendered by the government.",NA
One of the two components of Capital budget are,NA,C,Expenditure receipts,Investment receipts,Capital receipts,Revenue receipts,NA,NA,NA,NA,"Capital Budget: consists of capital receipts (like disinvestment, borrowing, loans from public or foreign governments, Reserve Bank of India, etc).<br/>Capital expenditure (like expenditure on development of machinery, health facilities, etc). <br/>Capital budgeting comprises two words - <q>capital</q> and <q>budget</q>.",NA
One of the two components of Capital budget are,NA,A,Capital expenditure,Budget Expenditure,Investment Expenditure,Income budget,NA,NA,NA,NA,"Capital Budget: consists of capital receipts (like disinvestment, borrowing, loans from public or foreign governments, Reserve Bank of India, etc).<br/>Capital expenditure (like expenditure on development of machinery, health facilities, etc). <br/>Capital budgeting comprises two words - <q>capital</q> and <q>budget</q>.",NA
One of the two components of government Revenue in the budget are,NA,D,Expenditure receipts,Budget receipts,Investment Expenditure,Revenue receipts,NA,NA,NA,NA,"The Revenue Budget comprises revenue receipts and expenditure met from these revenues. The revenue receipts include both tax revenue (like income tax, excise duty) and non-tax revenue (like interest receipts, profits).",NA
Fiscal policy is connected with,NA,D,exports and imports,issue of currency,economic growth,public revenue and expenditure,NA,NA,NA,NA,"Fiscal policy refers to the government&#39;s use of taxation and expenditure to influence the economy. It is connected with various economic factors, but the primary focus is on public revenue and expenditure.<br/>Option 1, exports and imports, is not directly related to fiscal policy. Fiscal policy mainly deals with government finances and does not directly control or regulate international trade.<br/><br/>Option 2, the issue of currency, is more closely related to monetary policy. Monetary policy deals with the control of the money supply and interest rates, which is the responsibility of the central bank. Fiscal policy focuses on government spending and taxation.<br/><br/>Option 3, economic growth, is indirectly connected to fiscal policy. By shaping government spending and taxation, fiscal policy can have an impact on economic growth. However, economic growth is influenced by multiple factors, including monetary policy, structural reforms, and external factors.<br/><br/>Option 4, public revenue and expenditure, is the correct answer. Fiscal policy is primarily concerned with managing government revenue (taxes) and expenditure (government spending). Through fiscal policy, the government can stimulate or dampen economic activity, influence income distribution, and address economic challenges such as inflation or recession.",NA
