question_text,question_image,correct_answer,option_1_text,option_2_text,option_3_text,option_4_text,option_1_image,option_2_image,option_3_image,option_4_image,answer_explanation_text,answer_explanation_image
"Consider the following statements relating to Jawaharlal Nehru&#39;s attitude towards science and technology <br/>I. Nehru was convinced that science and technology were crucial to the solution of India&#39;s problems relating to under-development and poverty. <br/>II. To emphasize the importance of science and scientific research, Nehru himself became the Chairman of the Council of Scientific and Industrial Research. <br/>Which of the statements given above is/are correct?",NA,C,I only,II only,Both I and II,Neither I nor II,NA,NA,NA,NA,"Both statements I and II are correct.<br/><br/>Statement I states that Nehru believed that science and technology were crucial in addressing India&#39;s problems of under-development and poverty. This aligns with Nehru&#39;s vision for a modern and progressive India, where advancements in science and technology would lead to improvement in various sectors such as agriculture, industry, healthcare, and education.<br/><br/>Statement II states that Nehru himself became the Chairman of the Council of Scientific and Industrial Research (CSIR). This demonstrates Nehru&#39;s personal commitment and dedication towards promoting and emphasizing the importance of science and scientific research in India. As the Chairman, Nehru played a significant role in shaping the policies and direction of scientific research and development in the country.<br/><br/>Therefore, both statements I and II correctly reflect Nehru&#39;s attitude towards science and technology.",NA
"Who among the following stated in the Constituent Assembly that on 26th January 1950, India was going to enter a life of contradictions?",NA,A,B.R. Ambedkar,Jawaharlal Nehru,Mahatma Gandhi,S.P. Mukherjee,NA,NA,NA,NA,"<b>Dr. B.R. Ambedkar is the correct answer</b>. He was the chief architect of the Indian Constitution and expressed this view during the Constituent Assembly debates. His statement reflected his concern about ensuring equality in the face of deep-rooted social and economic disparities.<br/>Option 2, Jawaharlal Nehru, although an influential leader in the Constituent Assembly, is not associated with this particular statement.<br/>Option 3, Mahatma Gandhi, was the leader of the Indian independence movement, but he was not a member of the Constituent Assembly and so, would not have made such a statement there.<br/>Option 4, S.P. Mukherjee was a member of the Constituent Assembly and later the Minister for Industry and Supply in Nehru&#39;s cabinet. However, this statement was not made by him.<br/>So, the statement about India entering a life of contradictions was declared by Dr. B.R. Ambedkar, highlighting the societal contradictions that India was to face on becoming a republic.",NA
"Who among the following introduced the <q>Objective Resolution</q> in the Constituent Assembly on 13th December, 1946?",NA,A,Jawaharlal Nehru,Rajendra Prasad,B.R. Ambedkar,Alladi Krishnaswami Aiyar,NA,NA,NA,NA,"Jawaharlal Nehru introduced the <q>Objective Resolution</q> in the Constituent Assembly on 13th December, 1946. The Objective Resolution was a significant document that laid down the guiding principles and objectives for the newly independent India. It aimed to establish India as a sovereign, democratic, and socialist state that upholds justice, liberty, equality, and fraternity for its citizens.<br/><br/>Option 1 - Jawaharlal Nehru: This is the correct answer as mentioned above. Nehru played a crucial role in shaping the vision and direction of India as its first Prime Minister. He was a prominent leader during the freedom struggle and had a major influence on the drafting of the Indian Constitution.<br/>Option 2 - Rajendra Prasad: Rajendra Prasad was the first President of India and an important figure in the Constituent Assembly. However, he did not introduce the Objective Resolution.<br/>Option 3 - B.R. Ambedkar: B.R. Ambedkar was the chairman of the drafting committee of the Indian Constitution and made significant contributions. However, he did not introduce the Objective Resolution.<br/>Option 4 - Alladi Krishnaswami Aiyar: Alladi Krishnaswami Aiyar was a lawyer and a member of the Constituent Assembly.",NA
Consider the following statements about Jawaharlal Nehru : <br/>I. He was the President of the Congress Party in 1947. <br/>II. He presided over the Constituent Assembly. <br/>III. He formed the first Congress Ministry in United Province before India&#39;s independence.,NA,D,"I, II and III are correct",I and III are correct,I and II are correct,None is correct,NA,NA,NA,NA,"The given statements about Jawaharlal Nehru are <br/>I. He was the President of the Congress Party in 1947: This statement is incorrect. Nehru was the President of the Indian National Congress during 1929-30, 1936, 1937, 1946, 1951 and 1952. In 1947, when India gained independence, the Congress President was J.B. Kripalani. <br/>II. He presided over the Constituent Assembly: This statement is also incorrect. Dr. Rajendra Prasad was the President of the Constituent Assembly. <br/>III. He formed the first Congress Ministry in the United Province before India&#39;s independence: This statement is incorrect too. The first Congress Ministry in United Province (now Uttar Pradesh) was formed in 1937, and it was led by Govind Ballabh Pant. Thus, Jawaharlal Nehru did not form the first Congress ministry in this province.<br/><br/>Considering each statement separately, it is evident that option 4 <q>None is correct</q> is indeed the correct answer as none of the statements about Nehru is true.",NA
On which one of the following dates did Jawaharlal Nehru unfurl the tri-colour national flag on the banks of the Ravi as the clock struck midnight ?,NA,A,31st December 1929,26th January 1930,31st December 1931,26th January 1933,NA,NA,NA,NA,"Jawaharlal Nehru unfurled the tri-colour national flag on the banks of the Ravi as the clock struck midnight on 31st December 1929.<br/><br/>Option 1: 31st December 1929 - This is the correct answer as stated in the question. Nehru celebrated the New Year&#39;s Eve of 1929 by unfurling the national flag on the banks of the Ravi.<br/>Option 2: 26th January 1930 - This date is significant as it marks the declaration of India&#39;s independence by the Indian National Congress, through the adoption of the Purna Swaraj (complete independence) resolution. However, this date is not the specific occasion mentioned in the question.<br/>Option 3: 31st December 1931 - This date does not correspond to the specific event mentioned in the question. It is important to pay attention to the year mentioned in the question as it has a specific historical context.<br/>Option 4: 26th January 1933 - This date does not correspond to the specific event mentioned in the question. January 26th became significant in the later years as it is the date when the Indian Constitution was adopted in 1950.",NA
"In the context of India&#39;s Five Year Plans, a shift in the pattern of industrialization, with lower emphasis on heavy industries and more on infrastructure begins in",NA,C,Fourth Plan,Sixth Plan,Eighth Plan,Tenth Plan,NA,NA,NA,NA,"The shift in the pattern of industrialization, with lower emphasis on heavy industries and more on infrastructure, began in the Eighth Plan (1992-1997).<br/><br/>During the Fourth Plan (1969-1974), there was a focus on heavy industries, particularly the public sector steel, power, and machine building industries. The Sixth Plan (1980-1985) continued with this emphasis on heavy industries, with the objective of achieving self-sufficiency in basic and heavy industries. The Tenth Plan (2002-2007) aimed at accelerating the growth of the manufacturing sector, but did not specifically focus on a shift in the pattern of industrialization.<br/>It was in the Eighth Plan (1992-1997) that the government recognized the need to shift the pattern of industrialization towards more balanced and sustainable growth, with a greater emphasis on infrastructure and service sectors. The plan aimed to promote industrial growth in the small and medium scale sectors and to increase private sector participation in infrastructure development. The plan also emphasized the need for environmental protection and sustainable development.",NA
Which of the following statements correctly explain the impact of Industrial Revolution on India during the first half of the nineteenth century?,NA,A,Indian handicraft were ruined,Machines were introduced in the Indian textile industry in large number,Railway lines were laid in many parts of the country,Heavy duties were imposed on the imports of British manufacturers,NA,NA,NA,NA,"Option 1: The industrial revolution, which began in Britain, led to the <u>ruin of Indian handicrafts.</u> The mechanization and mass production of goods in England outpriced traditional handmade products from India, leading to the decline of Indian handicraft industry.<br/><br/>Option 2, the introduction of machines in the Indian textile industry, didn&#39;t occur until later in the 19th century, often following colonial impositions. The industrial revolution&#39;s initial impact was the flood of cheaper British textiles into India, rather than the introduction of machines in India.<br/><br/>Option 3 isn&#39;t directly related to the industrial revolution&#39;s impact on India during the first half of the 19th century. Railway lines indeed were introduced, but their impact on India&#39;s industry at this point was minimal and they were primarily for British benefit.<br/><br/>Option 4 is incorrect as the British kept duties on Indian goods while removing the same on their goods in India during the first half of 19th century. This allowed British manufactures to flood the Indian market, leading to the ruin of Indian handicrafts.",NA
Consider the following statements regarding Indian Planning :<br/>1. The Second Five-Year Plan emphasized on the establishment of heavy industries.<br/>2. The Third Five-Year Plan introduced the concept of import substitution as a strategy for industrialization.<br/>Which of the statements given above is/are correct ?,NA,C,1 only,2 only,Both 1 and 2,Neither 1 nor 2,NA,NA,NA,NA,"Option 1 claims that the Second Five-Year Plan emphasized on the establishment of heavy industries. This is correct. The Second Five-Year Plan, often called the Nehru-Mahalanobis Plan, laid significant emphasis on the industrialization with a focus on heavy industries and capital goods. It expected that stable base of heavy industries would accelerate overall industrial and economic growth of the country.<br/><br/>Option 2 says that the Third Five-Year Plan introduced the concept of import substitution as a strategy for industrialization. This statement is also correct. The Third Five-Year Plan aimed at making the country self-reliant and self-generating through import substitution  -  the strategy which aimed to substitute costly imports with domestic goods production and thus save foreign exchange.<br/><br/>Hence, both statements 1 and 2 are correct, making Option 3 the right answer. There is no need for alert as the provided answer is correct.",NA
"Consider the following statements concerning the initial phase of the Industrial Revolution in England :<br/>1. England was fortunate in that coal and iron ore were plentifully available to be used in industry. <br/>2. Until the eighteenth century, there was a scarcity of usable iron.<br/>Which of the statements given above is/are correct?",NA,C,1 only,2 only,Both 1 and 2,Neither 1 nor 2,NA,NA,NA,NA,"The correct answer is option 3: Both 1 and 2.<br/><br/>Statement 1 is correct - England was fortunate in that coal and iron ore were plentifully available to be used in industry. The abundance of these resources played a significant role in fueling the growth of the Industrial Revolution in England. Coal was used as a source of energy, particularly for steam engines, while iron ore was essential for the production of machinery and infrastructure.<br/><br/>Statement 2 is also correct - Until the eighteenth century, there was a scarcity of usable iron. Prior to the Industrial Revolution, iron production was limited and costly. However, advancements in technology, such as the development of coke smelting, increased the efficiency and affordability of iron production during the eighteenth century. This breakthrough in iron production was crucial for the expansion of industries that required large quantities of iron, such as the construction of machinery and railways.<br/><br/>Therefore, both statements are accurate and describe important factors that contributed to the initial phase of the Industrial Revolution in England.",NA
Nehruvian Planning emphasised,NA,C,Agriculture through modern technology,Science and technology,Heavy and core industries,Small-scale industries,NA,NA,NA,NA,"Nehruvian Planning, the economic approach adopted by Jawaharlal Nehru, emphasized the growth and development of Heavy and Core Industries. This means that the focus was on establishing and expanding industries that were essential for the overall industrial development of the country.<br/><br/>Option 1, Agriculture through modern technology, does not align with the emphasis of Nehruvian Planning. While agriculture and modern technology were indeed important, they were not the central focus of this economic approach.<br/>Option 2, Science and Technology, also does not accurately represent the main emphasis of Nehruvian Planning. Although Nehru did recognize the significance of science and technology in the country&#39;s development, it was not the primary area of focus.<br/>Option 4, Small-Scale Industries, is another incorrect option. While small-scale industries did play a role in Nehruvian Planning, they were not prioritized as heavily as heavy and core industries.<br/><br/>Therefore, the correct answer is option 3, Heavy and Core Industries. This answer aligns with the primary objective of Nehruvian Planning, which was to promote industrialization and build a strong industrial base in India.",NA
