question_text,question_image,correct_answer,option_1_text,option_2_text,option_3_text,option_4_text,option_1_image,option_2_image,option_3_image,option_4_image,answer_explanation_text,answer_explanation_image
Which of the following is (are) the anticipated effect(s) of Global warming? ,NA,D,Rising sea levels,Changing precipitation,Expansion of deserts,All of the above,NA,NA,NA,NA,<b>The effects of global warming:</b><br/><br/>Rising sea level and severe weather<br/>Changing precipitation patterns<br/>Expansion of deserts<br/>Decreased rate of photosynthesis in vegetation,NA
Global warming has seen a century-scale increase in the __________ of the Earth&#39;s climate system.,NA,C,maximum temperature,minimum temperature,average temperature,More than one of the above,NA,NA,NA,NA,"Global warming refers to the <b>observed and long-term increase in the average temperature of the Earth&#39;s climate system.</b><br/> This phenomenon is <b>primarily attributed to the enhanced greenhouse effect,</b> which is caused by the <b>accumulation of greenhouse gases</b> in the atmosphere.<br/><b>Human activities,</b> such as the burning of fossil fuels (coal, oil, and natural gas), deforestation, and industrial processes, <b>have significantly increased the concentrations of these greenhouse gases, such as carbon dioxide (CO2), methane (CH4), and nitrous oxide (N2O).</b><br/>The <b>greenhouse gases trap heat in the Earth&#39;s atmosphere,</b> preventing some of the outgoing energy from escaping into space.<br/>This trapped heat <b>warms the planet,</b> leading to an overall rise in global temperatures.",NA
Which of the following is not a greenhouse gas? ,NA,C,Carbon dioxide,Methane,Carbon Monoxide,More than one of the above,NA,NA,NA,NA,"<b><u>Explanation:</u></b><br/><br/>From the above explanation we can see that <b>Carbon Dioxide (CO2), Methane (CH4)</b> and <b>Nitrous Oxide (N2O)</b> are all greenhouse gases.<br/>Whereas carbon monoxide is not considered as greenhouse gases.",https://abhigyanacademy.com/upload/gallery/1726298776.png
"Over the past few decades, the climate of earth is changing due to ",NA,C,Al Nino&#39;s effect,Acid Rain,Global Warming,More than one of the above,NA,NA,NA,NA,"<b><u>Explanation:</u><br/><br/>Global warming:</b><br/><br/>The greenhouse effect is a <b>naturally occurring phenomenon</b> that is responsible for <b>heating of Earth&#39;s</b> surface and atmosphere leading to global warming.<br/>This rise in temperature is leading to <b>deleterious changes</b> in the <b>environment</b> and <b>resulting in odd climatic changes.</b><br/>Examples of greenhouse gases - are <b>carbon dioxide, CFCs, nitrous oxide, hydrochlorofluorocarbons </b>(HCFCs), hydrofluorocarbons <b>(HFCs)</b> and <b>ozone.<br/><b><u>Thus, over the past few decades, the climate of the earth is changing due to global warming.</u></b>",NA
Which of the following is/are greenhouse gas/gases?,NA,D,Carbon dioxide,Methane,Water vapour.,All of the above,NA,NA,NA,NA,"<b><u>Explanation:</u><br/><br/>Carbon Dioxide:</b></b><br/><br/>Carbon dioxide enters the atmosphere through burning fossil fuels, solid waste, trees and wood products.<br/>It is added as a result of certain chemical reactions.<br/>Carbon dioxide is removed from the atmosphere when it is absorbed by plants as part of the biological carbon cycle.
<br/><br/><b>Methane:</b><br/><br/> Methane is emitted during the production and transport of coal, natural gas, and oil.<br/>Methane emissions also result from livestock and other agricultural practices and by the decay of organic waste in municipal solid waste landfills.<br/><br/>?<b>Water vapour:</b><br/><br/>Water vapour is the largest contributor to the Earth&#39;s greenhouse effect.<br/>On average, it probably accounts for about 60% of the warming effect.",NA
Which one of the following is NOT a greenhouse gas?,NA,D,Methane,Carbon dioxide,Sulphur dioxide,Carbon monoxide,NA,NA,NA,NA,"<b>Global warming: </b><br/><br/>If the <b>number of greenhouse gases crosses by delicate proportion,</b> the natural greenhouse balance may get disturbed and there is a <b>continuous rise in the temperature</b> of the earth by trapping the solar heat continuously.<br/>This creates the overall effect of Global warming.",NA
Which gas is responsible for <q>Global Warming</q>?,NA,C,Nitrogen (N2),Methane (CH4),Carbon dioxide (CO2),Sulphur dioxide (SO2),NA,NA,NA,NA,"<b><u>Explanation:</u><br/><br/>Carbon Dioxide:</b><br/><br/>Carbon dioxide enters the atmosphere through burning fossil fuels, solid waste, trees and wood products.<br/>It is added as a result of certain chemical reactions.<br/>Carbon dioxide is removed from the atmosphere when it is absorbed by plants as part of the biological carbon cycle.<br/>Carbon dioxide is the biggest concern because of the quantity in which it is present in our atmosphere.<br/><br/><b>Methane:</b><br/><br/>Methane is emitted during the production and transport of coal, natural gas, and oil.<br/>Methane emissions also result from livestock and other agricultural practices and by the decay of organic waste in municipal solid waste landfills.",NA
Arrange the following United Nations Framework Convention on Climate Change (UNFCCC) conferences in chronological order<br/><br/>A. Copenhagen Conference<br/>B. Doha Conference<br/>C. Paris Conference<br/>D. Katowice Conference<br/><br/>Choose the correct answer from the options given below,NA,C,"B, C, D, A","D, C, B, A","A, B, C, D","C, D, B, A",NA,NA,NA,NA,"<b>United Nations Framework Convention on Climate Change:</b><br/><br/>The UNFCCC came into effect on March 21, 1994.<br/>Nowadays, almost everyone can join.<br/>Parties to the Convention are any of the 197 nations that have ratified it.<br/>The UNFCCC&#39;s ultimate goal is to prevent <q>dangerous</q> human involvement with the climate system.",NA
Which of the following gasses are called Greenhouse gasses? ,NA,D,Methane ,Nitrogen ,Carbon dioxide,Both a and c,NA,NA,NA,NA,"<b>The greenhouse effect</b> is a <b>natural phenomenon</b> that causes heat to be trapped in the Earth&#39;s atmosphere.<br/><b>Around 75 percent</b> of the <b>solar energy</b> that reaches the <b>Earth&#39;s surface is absorbed,</b> increasing temperature.<br/>The remaining heat is radiated back into space.<br/><b>Carbon dioxide, methane, ozone, chlorofluorocarbon compounds (CFCs), and water vapor</b> all act as greenhouse gases, trapping some of the heat in the atmosphere.<br/>This process contributes to <b>global warming.</b>
? ",NA
A city likely to record the lowest minimum annual temperature in July is ,NA,D,London,New Delhi ,Jakarta,Canberra,NA,NA,NA,NA,"<b>Canberra:</b> Canberra, located in the southeastern part of Australia, experiences winter in July. The average minimum temperature in July is around 3&deg;C (37&deg;F), with occasional dips below freezing.<br/><b>London:</b> July in London is usually the warmest month of the year, with average minimum temperatures hovering around 14&deg;C (57&deg;F).<br/><b>New Delhi:</b> July in New Delhi is the monsoon season, with hot and humid weather. Average minimum temperatures are around 24&deg;C (75&deg;F).<br/><b>Jakarta:</b> Jakarta has a tropical climate with little variation in temperature throughout the year. July averages around 25&deg;C (77&deg;F) for minimum temperatures, similar to New Delhi.",NA
