question_text,question_image,correct_answer,option_1_text,option_2_text,option_3_text,option_4_text,option_1_image,option_2_image,option_3_image,option_4_image,answer_explanation_text,answer_explanation_image
Who was the Sultan of Delhi when Mongols attacked during 1299-1301?,NA,A,Allaudin Khilji,Muhammad Tughlaq,Jalal-ud-din Khalji,Firoz Shah Tughlaq,NA,NA,NA,NA,The correct answer is Allaudin Khilji.<br/><br/>Key Points:<br/>The Mongols attacked Delhi twice during the reign of Allaudin Khilji.<br/>The first was in the year 1299 and then in 1302-03.<br/>Allaudin Khilji constructed a new garrison town called Siri for his soldiers.<br/>Muhammad Tughlaq&#39;s administrative measures were a failure.<br/>His campaign into Kashmir was a disaster.<br/>Alauddin Khilji was a powerful ruler of the Delhi Sultanate who ruled from 1296 to 1316.<br/>He was the second ruler of the Khilji dynasty and is known for his military conquests and administrative reforms.,NA
The first sultan of Delhi who strove to make monarchy hereditary was:,NA,B,Iltutmish,Balban,Ala-ud-din Khalji,Firuz Tughlaq,NA,NA,NA,NA,Balban adopted a policy of consolidation rather than expansion. He was the 1st sultan who strive to make monarchy hereditary. Balban provided the Sultanate with an iron-willed ruler who aimed at consolidating the hinterlands.,NA
Which of the following is correct?,NA,D,The result of Muhammad-bin-Tughlaq&#39;s policy of increasing tax in the Doab was that the cultivators abandoned their lands and took to highway robbery.,The result of Muhammad-bin-Tughlaq&#39;s policy of increasing tax in the Doab was that the agriculture in Doab suffered a serious setback.,The result of Muhammad-bin-Tughlaq&#39;s policy of increasing tax in the Doab was that the sultan became very unpopular with the people.,All of the above.,NA,NA,NA,NA,The correct option is D. All the following are correct.,NA
Which of the following causes was responsible for the failure of the department of agriculture (Diwan-i-Kohi) created by Muhammad-binTughlaq?,NA,D,The piece of land chosen for the experiment was not fertile.,The money embarked for the scheme was badly spent,The sultan could not give to the scheme the attention it required.,All of the above,NA,NA,NA,NA,"The correct option is D.<br/>Muhammad bin Tughlaq pursued a harsh taxation policy at the start as a result of which agricultural production suffered. To increase production and bring more land under cultivation, he appointed an official called Diwan-i-amir-i-Koh and tasked him to bring under cultivation a 100*100 sq km area. The scheme failed due to low fertility of soil, corruption, embezzlement of funds, bad management and lack of attention from the Sultan.",NA
"Who among the following sultans of Delhi first recruited foreigners as his officers but later threw open all highest offices to all classes of Indians, the only qualification being the merit of the persons?",NA,A,Muhammad-bin-Tughlaq,Balban,Ala-ud-din Khalji,Firuz Tughlaq,NA,NA,NA,NA,"The correct option is A.<br/>In 1327, Tughluq ordered to move his capital from Delhi to Daulatabad (in present-day Maharashtra) in the Deccan region of India. Muhammad bin Tughlaq himself had spent a number of years as a prince on campaign in the southern states during the reign of his father. Daulatabad was also situated at a central place so the administration of both the north and the south could be possible.",NA
"Who issued the ordinance, <q>There should be left only so much to the Hindus that neither on the one hand should they become intoxicated on account of their wealth, nor on the other should they become so destitute as to leave their lands and cultivation in despair</q>?",NA,C,Balban,Muhammad-bin-Tughlaq,Ghiasuddin Tughlaq,Firuz Tughlaq,NA,NA,NA,NA,"Ghiasuddin Tughlaq issued the ordinance, <q>There should be left only so much to the Hindus that neither on the one hand should they become intoxicated on account of their wealth, nor on the other should they become so destitute as to leave their lands and cultivation in despair</q>.",NA
"Which one of the following kings inscribed on his coins that, <q>Sovereignty is not conferred upon every man but is placed on the elect</q>?",NA,C,Iltutmish,Ala-ud-din Khalji,Muhammad-bin-Tughlaq,Balban,NA,NA,NA,NA,"Muhammad Tughluq believed that he was the shadow of God. Some of the inscriptions on his coins read as <q>Sovereignty is not conferred upon every man, but is placed on the elect</q>. <q>He who obeys the Sultan truly obeys God.</q> <q>The Sultan is the shadow of God</q> and <q>God is the supporter of the Sultan.</q> He dropped all references to the Khalifa.",NA
"What was the name of the sultan of Delhi, who established an employment bureau, a charity bureau (Diwan-i-Khairat) and a charitable hospital (Diwan-i-insha)?",NA,A,Firuz Tughlaq,Muhammad-bin-Tughlaq,Ala-ud-din Khalji,Balban,NA,NA,NA,NA,"Firoz Shah Tughlaq took a number of significant steps during his reign. He set up employment bureau, marriage bureau, built public hospitals. He also set up a department of public works which repaired old monuments and build new ones. Many new cities like Firozpur, Hissar-i-Firoza among others were built during his reign. He also established a charity department called Diwan-i-Khairat. A water clock and a sun clock were also constructed during his reigon.",NA
Which of the following is correct?,NA,D,Firuz Tughlaq prosecuted the Shias and their religious books were publicly burnt,Firuz Tughlaq prosecuted the Mahdis,Firuz Tughlaq prosecuted the Karmathians and Islamic Shias,All of the above.,NA,NA,NA,NA,D is the correct option.Firuz Tughlaq prosecuted the Shias and their religious books were publicly burnt- A repressive policy was initiated towards Shia Muslims during the reign of Firoz Tughlaq. 27 Their religious texts were burnt publicly and their recruitment in government jobs was debarred. A number of Shia leaders were put to death. He prosecuted the Mahdis. He also prosecuted the Karmathians and Islamic Shias.,NA
Who ordered the judicial functionaries to complete census registers for the various quarters of Delhi?,NA,A,Muhammad-bin-Tughlaq,Firuz Shah,Balban,Ala-ud-din Khalji,NA,NA,NA,NA,"A is the correct option: Muhammad Tughlaq <br/>Only one instance is reported regarding the record of population. When Muhammad Tughlaq decided to give relief to the people of Delhi, he ordered the judicial functionaries to compile census registers of the various quarters of the capital city.",NA
Which of the south Indian states Ala-ud-din Khalji annexed to his north Indian empire?,NA,B,Warangal,Devagiri,Dwarasamundra,Pandyan,NA,NA,NA,NA,The correct answer is B as the DEVAGIRI is one of the  south Indian states Ala-ud-din Khalji annexed to his north Indian empire.,NA
"During whose reign Chingiz Khan, the Mongol invader, appeared on the North-West border of India?",NA,B,Qutb-ud-din-Aibak,Iltutmish,Balban,Ala-ud-din Khalji,NA,NA,NA,NA,The correct answer is B as Mongol leader Genghis Khan rose from humble beginnings to establish the largest land empire in history. He was the founder and first Great Khan of the Mongol Empire. The Mongol Empire launched several invasions into the Indian subcontinent from 1221 to 1327.,NA
Muhammad-bin-Tughlaq issued token currency. Which one of the following metals was used by him for issuing the token currency?,NA,B,Nickel,Copper,Bronze,Tin,NA,NA,NA,NA,"The correct option is B.<br/>Muhammad bin Tughluq was the Sultan of Delhi from 1325 to 1351. In 1330, after his failed expedition to Deogiri, he issued token currency, that is coins of brass and copper were minted whose value was equal to that of gold and silver coins.",NA
"Three types of coins of the Sultanate-Tanka, Shashgani and Jital - were made respectively of",NA,A,"Silver, silver, copper","Gold, silver, copper","Silver, bronze, copper","Gold, bronze, copper",NA,NA,NA,NA,Tanka was a silver coin. Tanka<br/>Shashgani was a silver coin <br/> Jital was a copper coin.<br/>Hence the correct answer is option (A),NA
