question_text,question_image,correct_answer,option_1_text,option_2_text,option_3_text,option_4_text,option_1_image,option_2_image,option_3_image,option_4_image,answer_explanation_text,answer_explanation_image
"Consider the following statements about the Harappan Civilization:<br/><br/>1. The Harappan Civilization was discovered first in the modern site of Mohenjo-Daro in Sindh, Pakistan.<br/>2. The civilization extended from Jammu in the north to the Narmada estuary in the south.<br/>3. Harappa and Mohenjo-Daro were connected by the Ganges River.<br/><br/>How many of the statements given above are correct?",NA,A,Only two,Only one,All three,None,NA,NA,NA,NA,"Statement 1 is incorrect because the Harappan Civilization was first discovered at the site of Harappa, not Mohenjo-Daro. Statement 2 is correct, as the civilization indeed spanned from Jammu to the Narmada estuary. <br/>Statement 3 is incorrect because Harappa and Mohenjo-Daro were connected by the Indus River, not the Ganges.",NA
"Consider the following statements about the end of the Harappan Civilization:<br/><br/>The decline of the Harappan Civilization can be attributed solely to the invasion by the Aryans.<br/>Environmental factors, such as changes in climate and river courses, played a significant role in the decline of the Harappan Civilization.<br/>Which one of the following is correct in respect of the above statements?",NA,D,Both Statement-I and Statement-II are correct and Statement-II is the correct explanation for Statement-I.,Both Statement-I and Statement-II are correct but Statement-II is not the correct explanation for Statement-I.,Statement-I is correct but Statement-II is incorrect.,Statement-I is incorrect but Statement-II is correct.,NA,NA,NA,NA,"Statement-I is incorrect as the decline of the Harappan Civilization is now understood to be multifaceted, with no conclusive evidence to suggest a singular cause like an Aryan invasion. Indeed, the theory of an Aryan invasion playing a significant role in the civilization&#39;s decline has been largely contested and is not supported by archaeological evidence. <br/>Statement-II is correct, as there is considerable evidence to suggest that environmental factors, such as changes in climate, shifts in the courses of rivers, and possibly earthquakes, significantly impacted the Harappan Civilization, contributing to its decline. These environmental changes likely affected agriculture, trade, and the overall sustainability of urban centers, leading to gradual abandonment or transformation of these cities.",NA
"Consider the following statements:<br/><br/>The Harappan Civilization is older than the chalcolithic cultures found in the region.<br/>The area covered by the Harappan Civilization was approximately 1,299,600 square kilometers. <br/>The Harappan Civilization used metal money for trade.<br/>How many of the statements given above are correct?",NA,B,Only one,Only two,All three,None,NA,NA,NA,NA,Statements 1 and 2 are correct. The Harappan Civilization predates the chalcolithic cultures and covered an area as mentioned. Statement 3 is incorrect as the Harappans likely used barter for trade and did not use metal money.,NA
Consider the following statements regarding the Harappan Civilization:<br/><br/>The civilization had a sophisticated system of weights and measures based on the multiples of 16.<br/>The script of the Harappan Civilization has been fully deciphered and understood.<br/>More than 1500 Harappan sites have been discovered across the Indian subcontinent.<br/><br/>How many of the statements given above are correct?,NA,B,Only one,Only two,All three,None,NA,NA,NA,NA,"Statements 1 and 3 are correct. The Harappan Civilization did have a sophisticated system of weights and measures, and more than 1500 sites have been discovered. Statement 2 is incorrect because the Harappan script has not been fully deciphered.",NA
"Consider the following statements regarding the religious practices of the Harappan Civilization:<br/><br/>The Harappans worshipped a male deity who is often identified with modern Hindu god Shiva.<br/>Evidence of temple structures has been found in Harappan cities, indicating a space dedicated to religious rituals.<br/>Which one of the following is correct in respect of the above statements?",NA,C,Both Statement-I and Statement-II are correct and Statement-II is the correct explanation for Statement-I.,Both Statement-I and Statement-II are correct but Statement-II is not the correct explanation for Statement-I.,Statement-I is correct but Statement-II is incorrect.,Statement-I is incorrect but Statement-II is correct.,NA,NA,NA,NA,"Statement-I is correct as the male deity depicted on the Pashupati seal is often compared to Shiva, known as Pashupati (Lord of Animals) in later Hindu traditions, due to his yogic posture and association with animals.<br/>However, this interpretation is subject to scholarly debate.<br/>Statement-II is incorrect because, unlike ancient Egypt and Mesopotamia, there is no definitive evidence of temple structures in Harappan cities. Religious activities might have been conducted in homes or at altars rather than in dedicated temple complexes, indicating a different form of religious practice.",NA
"Consider the following statements:<br/><br/>The Harappans were the earliest people to produce cotton, known to Greeks as sindon.<br/>The Harappan Civilization was horse-centered, with evidence of horses found in all major Harappan sites. <br/>Seals are considered the greatest artistic creations of the Harappan culture.<br/>How many of the statements given above are correct?",NA,A,Only two,Only one,All three,None,NA,NA,NA,NA,"Statement 1 is correct, as the Harappans were indeed the earliest to produce cotton, which Greeks called sindon. Statement 2 is incorrect because the Harappan culture was not centered around horses, and evidence of horses is scant and often debatable.<br/><br/>Statement 3 is correct, making the answer (b) Only two, not (a) Only one. Seals are among the greatest artistic achievements of the Harappan culture, showcasing sophisticated craftsmanship and artistic skill.",NA
The book <q>Mohenjodaro: A 5000-years old legacy</q> says  that the descendants of the Mohenjodaro people still exist as a minority tribe of fishermen. Who are they?,NA,D,Moens,Mehers,Melluhas,Mohanas,NA,NA,NA,NA,"Mohenjo-daro, the modern name for the site, has been variously interpreted as <q>Mound of the Dead Men</q> in Sindhi, and as <q>Mound of Mohan</q> (where Mohan is Krishna).",NA
Which of the following sites has furnished the proof of the sea faring activity of the Harappan people?,NA,A,Lothal,Sotka Koh,Kot Diji,Balakot,NA,NA,NA,NA,"Lothal was one of the southernmost cities of the ancient Indus Valley Civilization, located in the Bhal region of the modern state of Gujarat. Construction of the city began around 2200 BCE.<br/><br/>Discovered in 1954, Lothal was excavated from 13 February 1955 to 19 May 1960 by the Archaeological Survey of India (ASI), the official Indian government agency for the preservation of ancient monuments.<br/>According to the ASI, Lothal had the world's earliest known dock, which connected the city to an ancient course of the Sabarmati river on the trade route between Harappan cities in Sindh and the peninsula of Saurashtra when the surrounding Kutch desert of today was a part of the Arabian Sea.",NA
"Which one of the following was the most suitable reasons, which made the Harappans move away from their urban settlement?",NA,A,Hydrological changes,Ecological changes,Foreign invasion,Demographic changes,NA,NA,NA,NA,"The Indus Valley Civilization declined around 1800 BCE, and scholars debate which factors resulted in the civilization&#39;s demise. One theory suggested that a nomadic, Indo-European tribe called the Aryans invaded and conquered the Indus Valley Civilization, though more recent evidence tends to contradict this claim. Many scholars believe that the collapse of the Indus Valley Civilization was caused by climate change. Some experts believe the drying of the Saraswati River, which began around 1900 BCE, was the main cause for climate change, while others conclude that a great flood struck the area. <br/><br/>Various elements of the Indus Civilization are found in later cultures, suggesting the civilization did not disappear suddenly due to an invasion. Many scholars argue that changes in river patterns caused the large civilization to break up into smaller communities called late Harappan cultures.",NA
Pre-Harappan settlement was discovered in 1981 at the foot of the Bolan Pass on the Bolan River at one of the following places. Identify it.,NA,D,Mansa,Alamgirpur,Manda,Mehergarh,NA,NA,NA,NA,"Mehergarh is a large Neolithic and Chalcolithic site located at the foot of the Bolan pass on the kachi plan of Buchistan in modern day Pakistan. Continuously occupied between about 7000 to 2600 BC, Mehergarh is the earliest known Neolithic site in the Northwest Indian subcontinent, with early evidence of farming, herding and metallurgy.",NA
Consider the following statements regarding Old Stone Age sites.<br/><br/>1. The Old Stone age sites were generally located away from water sources to avoid flooding. <br/>2. Most of these Old stone age sites are concentrated in Southern India with the exception of Adamgarh hill and Bhimbetka.<br/><br/>Which of the above statements is/are correct?,NA,D,1 Only,2 Only,Both 1 and 2,Neither 1 nor 2,NA,NA,NA,NA,"The Old Stone age sites are generally located near water sources because water sources were the lifeline of the Old stone age people and thus the communities lived and hunted close to water sources.<br/>Several rock shelters and caves used by the Paleolithic people are scattered across the subcontinent.<br/><br/>Some of the famous sites of Old Stone Age in India are:<br/>The Soan valley and Potwar Plateau on the northwest India.<br/>The Siwalik hills on the north India.<br/>Bhimpetka in Madhya Pradesh.<br/>Adamgarh hill in Narmada valley.<br/>Kurnool in Andhra Pradesh and<br/>Attirampakkam near Chennai. Hence, (D).",NA
"As at Kalibangan, both the citadel and the lower town were fortified at one of the following places. What is that place called?",NA,B,Harappa,Surkotada,Lothal,Mohenjo-daro,NA,NA,NA,NA,"About 270 kilometres north-west of Ahmadabad in Gujarat is Surkotada. The settlement pattern of Harappa, Mohenjo-daro, and Kalibangan is repeated here, but with a difference. The citadel and the lower town were joined, although their relative directional position remained the same, the former to the west and the latter to the east.<br/>As at Kalibangan, both the citadel and the lower town were fortified. Each had its independent entrance, located on the southern side; there was also an intercommunicating gate between the two.",NA
Which one of the following Harappan sites does suggest ploughing (evidence of furrow). Identify it.,NA,A,Kalibangan & Banwali,Rangapur & Ropar,Harappa & Mehrgarh,Alamgirpur & Banwali,NA,NA,NA,NA,"Kalibangan is distinguished by its unique fire altars and world&#39;s earliest attested ploughed field. It is a town located on the left or southern banks of the Ghaggar (Ghaggar-Hakra River) in Tehsil Pilibangan, between Suratgarh and Hanumangarh in Hanumangarh District, Rajasthan, India 205 km. from Bikaner. It is also identified as being established in the triangle of land at the confluence of Drishadvati and Saraswati Rivers. The prehistoric and pre-Mauryan character of Indus Valley Civilization was first identified by Luigi Tessitori at this site. Kalibangan&#39;s excavation report was published in its entirety in 2003 by the Archaeological Survey of India, 34 years after the completion of excavations. The report concluded that Kalibangan was a major provincial capital of the Indus Valley Civilization.",NA
Which one of the following weapons were not known to the People of Indus Valley Civilization?,NA,B,Spears,Swords,Axes,Arrow-heads,NA,NA,NA,NA,It is true that Harappan art does not portrait warfare. It is also true that no good weapons like  swords have been found. There is also no evidence of sacking or burning of Indus cities. The inescapable conclusion is that the Harappan were a peace loving people not given to war or aggression.,NA
"The discovery, in the upper levels of a Harappan site, of human skeletons lying pell-mell, with a skull having injury mark, shows the invasion and massacre. What is that site?",NA,A,Mohenjodaro,Harappa,Banwali,Kalibangan,NA,NA,NA,NA,"The discovery, in the upper levels of a Harappan site, of human skeletons lying pell-mell, with a skull having injury mark, shows the invasion and massacre of Mohenjo-Daro",NA
Which cults did the Harappan practise?<br/>A. Fire<br/>B. Female deity<br/>C. Fertility<br/>D. Fetish,NA,D,Only B and C,Only A and B,"A, B and C",All of these,NA,NA,NA,NA,"The Harappan practised Fire, Female deity, Fertility and Fetish.",NA
Name the animal which was engraved on most of the Harappan seals:,NA,B,Tiger,Humpless bull or Unicorn,Lion,Elephant,NA,NA,NA,NA,The unicorn is the most common motif on Indus seals and appears to represent a mythical animal that Greek and Roman sources trace back to the Indian subcontinent.,NA
