question_text,question_image,correct_answer,option_1_text,option_2_text,option_3_text,option_4_text,option_1_image,option_2_image,option_3_image,option_4_image,answer_explanation_text,answer_explanation_image
One of the other two components of government Revenue in the budget are,NA,C,Expenditure receipts,Revenue Expenditure,Capital receipts,Budget receipts,NA,NA,NA,NA,"Capital receipts accrue on realisation of assets which is nothing but source of funds. Further, when we sell any asset it is grouped under non-operating income. But, profit or loss on it would be released to the revenue account which in turn would be transferred to reserves. So, we are unlocking the value of asset i.e. economic benefit on such asset is actually realized. Economic benefit means <q>Increase in revenue or decrease in operating cost</q> which is nothing but revenue in nature. So, it is also the component of government revenue. <br/><br/>The budget is divided into two parts - (i) Revenue Budget, and (ii) Capital Budget.",NA
One of the two components of government expenditure in the budget are,NA,B,Budget receipts,Revenue Expenditure,Expenditure receipts,Revenue receipts,NA,NA,NA,NA,A revenue expenditure is an amount that is expensed immediately - thereby being matched with revenues of the current accounting period. Routine repairs are revenue expenditures because they are charged directly to an account such as Repairs and Maintenance Expense.,NA
One of the two components of government expenditure in the budget is,NA,B,Budget receipts,Revenue Expenditure,Plan Expenditure,Expenditure receipts,NA,NA,NA,NA,The budget has two broad components: Revenue budget and Capital budget. The revenue budget includes revenue expenditure and revenue receipts. The capital budget includes capital expenditure and capital receipts.,NA
The major source of Revenue receipts for the government is,NA,B,Profits,Tax Revenue,Non Tax Revenue,Interest,NA,NA,NA,NA,"The major source of Revenue receipts for the government is Tax Revenue.<br/>Here is a detailed explanation:<br/><br/>Tax Revenue:<br/>-Tax revenue refers to the money collected by the government through various taxes imposed on individuals, businesses, and other entities.<br/>-It is the primary source of revenue for the government.<br/>-Tax revenue is collected through direct taxes (such as income tax, corporate tax) and indirect taxes (such as goods and services tax, customs duty).<br/>-Direct taxes are levied on the income and wealth of individuals and businesses, while indirect taxes are imposed on the sale and consumption of goods and services.<br/>-The government uses tax revenue to fund its expenditure on infrastructure development, public services, defense, education, healthcare, and other essential sectors.<br/><br/>Other sources of revenue:<br/>-<b>Profits:</b> While profits generated by government-owned enterprises contribute to the revenue receipts, they are not the major source.<br/>-<b>Non-Tax Revenue:</b> Non-tax revenue includes income from sources other than taxes, such as fees, fines, dividends, and interest on loans. While it contributes to the government&#39;s revenue, it is not the primary source like tax revenue.<br/>-<b>Interest:</b> Interest earned by the government on loans and investments also contributes to revenue receipts, but it is not the major source compared to tax revenue.<br/><br/>In conclusion, tax revenue is the major source of revenue receipts for the government. It plays a crucial role in financing the government&#39;s expenditure and ensuring the smooth functioning of various sectors in the economy.",NA
Direct tax is a tax whose,NA,A,The liability to pay and incidence do lie on the same person,The liability to pay and incidence do lie on the government,The liability to pay and incidence do not lie on the same person,The liability to pay lies on one and incidence lies on the other person,NA,NA,NA,NA,"<u>Explanation:</u><br/>Direct tax is a tax that is imposed and paid directly by an individual or organization to the government. It is a tax where the liability to pay and the incidence of the tax fall on the same person. <br/><u>Liability to Pay:</u> The liability to pay the direct tax lies on the individual or organization that is earning the income or holding the wealth or property. It is their responsibility to calculate and pay the tax to the government.<br/><u>Incidence of the Tax:</u> The incidence of the tax also falls on the same person or organization that has the liability to pay. The burden of the tax is borne by the individual or organization directly.<br/><br/>In conclusion, direct tax is a tax where the liability to pay and the incidence of the tax fall on the same person or organization. It is directly imposed on individuals or organizations by the government, and examples include income tax and wealth tax.",NA
Direct tax is a tax which is imposed on,NA,B,Individuals only,Individuals and corporations,Corporations only,None of these,NA,NA,NA,NA,"A direct tax is a tax that is imposed directly on individuals or entities. It is levied on the income, profits, or wealth of the taxpayer. The burden of the tax cannot be shifted to someone else. <br/><br/>Options:<br/>Let&#39;s evaluate which one correctly describes direct tax:<br/>A. Individuals only: This option suggests that direct tax is imposed solely on individuals. However, this is not entirely accurate as direct taxes can also be imposed on entities other than individuals.<br/>B. Individuals and corporations: This option correctly states that direct tax can be imposed on both individuals and corporations. This is the most accurate description of direct tax.<br/>C. Corporations only: This option suggests that direct tax is imposed exclusively on corporations. While corporations are subject to direct taxes, individuals can also be liable for direct taxes.<br/>D. None of these: This option implies that none of the given options accurately describe direct tax. However, option B is the correct answer.<br/><br/>Conclusion: Direct tax is a tax that can be imposed on both individuals and corporations. Therefore, option B, <q>Individuals and corporations</q> is the correct answer.",NA
An example of a direct tax is,NA,C,Sales tax,VAT,Income Tax,Entertainment tax,NA,NA,NA,NA,"Answer C: <b>Income Tax</b> is an example of a direct tax because it is imposed directly on individuals or entities based on their income or profits.<br/>Direct Tax: A direct tax is a type of tax that is levied directly on individuals or entities and cannot be passed on to someone else. It is imposed on the income, wealth, or property of the taxpayer. Direct taxes are typically progressive in nature, meaning that the tax rate increases as the taxpayer&#39;s income or wealth increases.<br/><br/>Examples of Direct Taxes are Income Tax, Corporate Tax, Capital Gains Tax, Property Tax, Wealth Tax.",NA
The major source of Revenue receipts for the government is not,NA,D,Profits,Tax Revenue,Income tax,Wealth tax,NA,NA,NA,NA,"Wealth tax is not the major source of revenue receipts for the government because it is not typically a significant contributor to the government&#39;s total revenue. Wealth tax is a tax levied on the net wealth or assets of individuals, such as real estate, cash, bank deposits, investments, and businesses. However, the revenue generated from wealth tax is often relatively low compared to other forms of taxation such as income tax, corporate tax, and indirect taxes like GST (Goods and Services Tax). Therefore, while wealth tax is one of the sources of revenue for the government, it is not considered a major contributor to government revenue when compared to other taxes.",NA
Indirect tax is a tax whose,NA,D,The liability to pay and incidence do lie on the same person,The liability to pay and incidence do not lie on the same person,The liability to pay and incidence do lie on the government,The liability to pay lies on one and incidence lies on the other person,NA,NA,NA,NA,Indirect taxes are taxes where the person who bears the ultimate economic burden of the tax (the incidence) is different from the person who initially pays the tax to the government (the liability to pay).,NA
The policies useful to reduce inequalities of income are the,NA,B,Public distribution policies,Budgetary policies,Foreign policies,Monetary policies,NA,NA,NA,NA,"Budgetary policies refer to the use of government spending, taxation, and borrowing to influence the level of economic activity and achieve specific economic objectives. In the context of reducing income inequalities, the following reasons explain why budgetary policies are useful:<br/>1. Progressive taxation:- Progressive taxation is a key component of budgetary policies aimed at reducing income inequalities.- It involves imposing higher tax rates on individuals with higher incomes and lower tax rates on individuals with lower incomes.<br/>2. Social welfare programs:- Budgetary policies can be used to allocate funds for social welfare programs such as education, healthcare, and social security.- These programs provide essential services and support to individuals with lower incomes, helping to reduce income inequalities.<br/> 3. Income support programs:- Budgetary policies can also include income support programs such as unemployment benefits, food stamps, and housing assistance.- These programs provide financial assistance to individuals and families with low incomes, helping to alleviate poverty and reduce income inequalities.<br/>4. Investment in infrastructure: -Budgetary policies can prioritize investment in infrastructure such as transportation, housing, and utilities.- This can create job opportunities and stimulate economic growth, benefiting individuals from all income levels.<br/><br/>Budgetary policies are essential tools for reducing income inequalities. Through progressive taxation, social welfare programs, income support programs, and investment in infrastructure, the government can promote a more equitable distribution of income and ensure that all individuals have access to essential services and opportunities.",NA
