question_text,question_image,correct_answer,option_1_text,option_2_text,option_3_text,option_4_text,option_1_image,option_2_image,option_3_image,option_4_image,answer_explanation_text,answer_explanation_image
Which one of the following is considered as <q>good cholesterol</q> with reference to individuals facing the risk of cardio-vascular diseases and hypertension ?,NA,A,High Density Lipoprotein (HDL),Low Density Lipoprotein (LDL),Triglyceride,Fatty acids,NA,NA,NA,NA,"The correct answer is option 1 - High Density Lipoprotein (HDL). HDL is commonly referred to as <q>good cholesterol</q> because it helps to remove excess cholesterol from the blood vessels and carries it back to the liver for processing. This process reduces the risk of plaque buildup in the arteries and lowers the risk of cardiovascular diseases and hypertension.<br/><br/>Option 2 - Low Density Lipoprotein (LDL) is often referred to as ""bad cholesterol"" because it can contribute to the buildup of plaque in the arteries, increasing the risk of cardiovascular diseases and hypertension.<br/>Option 3 - Triglyceride is a type of fat found in the blood. High levels of triglycerides can be a risk factor for cardiovascular diseases and hypertension, but it is not specifically considered <q>good cholesterol</q> like HDL.<br/>Option 4 - Fatty acids are the building blocks of fats. While some fatty acids, such as omega-3 fatty acids, have been associated with cardiovascular health benefits, they are not considered <q>good cholesterol</q> like HDL.<br/><br/>Therefore, the correct answer is option 1 - High Density Lipoprotein (HDL).",NA
<b>Which of the following pairs of vitamin and disease is / are correctly matched ?</b><br/>1. Vitamin A : Rickets<br/>2. Vitamin B : Beriberi<br/>3. Vitamin C : Scurvy<br/><br/>Select the correct answer using the code given below :,NA,B,2 only,2 and 3 only,1 and 3 only,"1, 2 and 3",NA,NA,NA,NA,"The correct option is 2, which states that Vitamin B is correctly paired with Beriberi and Vitamin C is correctly paired with Scurvy.<br/><b>Let&#39;s evaluate each option to understand why it is correct or incorrect:</b><br/><br/>1. Vitamin A: Rickets - This pairing is incorrect. Vitamin A deficiency can lead to night blindness and other eye-related problems, but rickets is caused by Vitamin D deficiency.<br/>2. Vitamin B: Beriberi - This pairing is correct. Beriberi is a disease caused by a deficiency of Vitamin B1 (thiamine).<br/>3. Vitamin C: Scurvy - This pairing is correct. Scurvy is a disease caused by a deficiency of Vitamin C (ascorbic acid).<br/>4. When we analyze all the pairs individually, it becomes clear that options 1 and 3 are incorrect. Therefore, the correct answer is option 2, which states that only Vitamin B is correctly paired with Beriberi and Vitamin C is correctly paired with Scurvy.<br/><br/>It is important to note that Rickets is caused by Vitamin D deficiency, and Vitamin A plays a role in maintaining healthy vision.",NA
The rate of change of momentum of a body is equal to the resultant:,NA,C,energy,power,force,impulse,NA,NA,NA,NA,"<b>The correct answer is option 3 - force.</b><br/><br/>The rate of change of momentum of a body is directly proportional to the force applied to it. This is described by Newton&#39;s second law of motion, which states that the force acting on an object is equal to the rate of change of its momentum.<br/>Momentum is the product of an object&#39;s mass and velocity, and it represents the quantity of motion possessed by the object.<br/>When a force is applied to a body, it causes a change in its velocity, resulting in a change in momentum. The rate of this change is equal to the force applied.<br/>Option 1 - Energy: Energy is not directly related to the rate of change of momentum. Energy can be transferred or transformed in the process of changing momentum, but it is not equivalent to it.<br/>Option 2 - Power: Power is defined as the rate at which work is done or energy is transferred. While it is related to force and velocity, it is not directly equivalent to the rate of change of momentum.<br/>Option 4 - Impulse: Impulse is equal to the change in momentum of an object. It is related to force and duration of time over which the force is applied, but it is not equal to the rate of change of momentum.",NA
"After a hot sunny day, people sprinkle water on the roof-top because :",NA,D,water helps air around the roof-top to absorb the heat instantly,water has lower specific heat capacity,,water is easily available,NA,NA,NA,NA,"<b>Option 1: Water helps air around the roof-top to absorb the heat instantly.</b><br/><br/>This option is not correct. While water can help cool down the air by absorbing heat, it is not instantaneous. The process of evaporation takes time and requires energy.<br/>Option 2: Water has lower specific heat capacity.<br/>This option is not correct. Water actually has a high specific heat capacity, which means it takes a relatively large amount of heat energy to raise its temperature. It is because of this property that water is commonly used in cooling systems to absorb and transfer heat.<br/>Option 3: Water is easily available.<br/>This option is not the main reason for sprinkling water on the roof-top after a hot sunny day. While water may be easily available, it is not the sole reason for this practice.<br/>Option 4: Water has a large latent heat of vaporization.<br/>This option is the correct answer. Water has a high latent heat of vaporization, which means it requires a significant amount of energy to change from a liquid to a gas. When water evaporates from the roof-top, it absorbs heat from the surroundings, cooling down the surface of the roof-top and the air around it.<br/>In conclusion, sprinkling water on the roof-top after a hot sunny day is done",NA
<b>Consider the following map of India :</b><br/>The areas marked in the map given above account for the production of which one of the following cash crops ?,NA,A,Cotton,Groundnut,Sugarcane,Tobacco,NA,NA,NA,NA,"<b>The given map of India shows certain areas that are responsible for the production of a specific cash crop. To determine which cash crop it is, we need to analyze each option.</b><br/><br/>Option 1 is <q>Cotton</q>. Based on the map, it is evident that the marked areas are suitable for cotton production. Cotton requires warm temperatures, a tropical climate, and well-drained soil, which are characteristics of the regions depicted in the map. Therefore, option 1 is a plausible answer.<br/>Option 2 is <q>Groundnut</q>. There is no visible indication on the map that suggests groundnut production in the marked areas. Therefore, option 2 is not a suitable answer.<br/>Option 3 is <q>Sugarcane</q>. Similarly, there is no clear representation of sugarcane cultivation on the map. Hence, option 3 is not the correct answer.<br/>Option 4 is <q>Tobacco</q>. Again, there is no distinct evidence of tobacco farming in the highlighted regions. Thus, option 4 is not a valid choice.<br/><br/><b>Therefore, after analyzing the options and referring to the given map, we can conclude that the correct answer is option 1, i.e., <q>Cotton</q>.</b>",NA
Pir Panjal Range in the Himalayas is a part of:,NA,D,Shiwalik,Trans Himalaya,Central Himalaya,Lesser Himalaya,NA,NA,NA,NA,"The Pir Panjal Range is a part of the Lesser Himalayas. The Lesser Himalayas, also known as the <q>Himachal</q> or <q>Lower Himalayas,</q> are located in northern India, spanning the states of Jammu and Kashmir, Himachal Pradesh, and Uttarakhand.<br/>The Lesser Himalayas are one of the three major divisions of the Himalayan Mountain Range, along with the Great Himalayas and the Outer Himalayas (also known as the Shiwalik Range). The Pir Panjal Range is a significant subrange within the Lesser Himalayas. It runs parallel to the main Himalayan range and separates the Kashmir Valley from the outer plains.<br/>Option 1: Shiwalik Range, also known as the Outer Himalayas, is the southernmost range of the Himalayas and is not synonymous with the Pir Panjal Range.<br/>Option 2: Trans Himalaya refers to the ranges that lie beyond the Greater Himalayas and include the Karakoram, Ladakh, and Zanskar ranges. It is not applicable to the Pir Panjal Range.<br/>Option 3: Central Himalayas refers to the main Himalayan range, including the peaks such as Everest and Kanchenjunga. This is not the correct choice for the Pir Panjal Range",NA
<b>Consider the following statements regarding laterite soils of India :</b><br/>1. Laterite soils are generally red in colour<br/>2. Laterite soils are rich in nitrogen and potash<br/>3. Laterite soils are well developed in Rajasthan and UP<br/>4. Tapioca and cashew nuts grow well in this soil<br/><b>Which of the statements given above is / are correct?</b>,NA,C,1 only,"2, 3 and 4",1 and 4 only,"1,2 and 4",NA,NA,NA,NA,"Option 1 states that laterite soils are generally red in color. This is a correct statement. Laterite soils are typically reddish in color due to the presence of iron oxide.<br/>Option 2 states that laterite soils are rich in nitrogen and potash. This is an incorrect statement. Laterite soils are generally deficient in both nitrogen and potash, making them less suitable for certain types of crops.<br/>Option 3 states that laterite soils are well developed in Rajasthan and Uttar Pradesh (UP). This is an incorrect statement. Laterite soils are not well developed in Rajasthan and UP. They are more commonly found in the southern and western parts of India, especially in regions with high rainfall.<br/>Option 4 states that tapioca and cashew nuts grow well in laterite soils. This is a correct statement. Tapioca and cashew nuts are two crops that are suited to the acidic and nutrient-poor conditions of laterite soils.<br/><br/><b>Therefore, only option 1 and option 4 are correct. The correct answer is option 3.</b>",NA
<b>Which of the following statements regarding Mediterranean and Monsoon climate is / are correct ?</b><br/> 1. Precipitation in Mediterranean climate is in winter while in Monsoon climate it is mostly in summer<br/> 2. The annual range of temperature in Mediterranean climate,NA,C,1 only,2 and 3 only,1 and 3 only,"1,2 and 3",NA,NA,NA,NA,"<b>The correct answer is option-3: 1 and 3 only.</b><br/><br/>Let&#39;s examine each statement to understand why this is the correct answer:<br/>1. The statement that precipitation in Mediterranean climate is in winter while in Monsoon climate it is mostly in summer is correct. In Mediterranean climate, the majority of rainfall occurs during the winter months, while in Monsoon climate, the rainy season typically occurs during the summer months when warm, moist air from the ocean is drawn inland.<br/>2. The statement that the annual range of temperature in Mediterranean climate is higher than the Monsoon climate is incorrect. The annual temperature range is generally greater in the Monsoon climate due to the influence of seasonal wind patterns. These wind patterns cause larger fluctuations in temperature compared to the relatively milder climate of the Mediterranean region.<br/>3. The statement that both Mediterranean and Monsoon climates have rainy and dry seasons is correct. Both climates experience distinct wet and dry seasons throughout the year. In the Mediterranean climate, the rainy season is typically in winter, while in the Monsoon climate, the rainy season is usually in summer, as mentioned before.<br/><br/><b>Therefore, only statements 1 and 3 are correct, making option-3 the correct answer.</b>",NA
"The handle of pressure cookers is made of plastic because it should be made nonconductor of heat. <br/>The plastic used there is the first man-made plastic, which is :",NA,D,Polythene,Terylene,Nylon,Bakelite,NA,NA,NA,NA,"The handle of pressure cookers is made of plastic to ensure that it does not conduct heat. The plastic used for this purpose is the first man-made plastic, which is Bakelite.<br/><br/>Let&#39;s understand why Bakelite is suitable for the handle of pressure cookers. Bakelite is a thermosetting plastic that was invented by Leo Baekeland in 1907. It was the first synthetic plastic made from a combination of phenol and formaldehyde. One of the key properties of Bakelite is its excellent heat resistance. It is a poor conductor of heat, which means it does not easily transfer heat energy.<br/>By using Bakelite for the handle of pressure cookers, manufacturers ensure that the handle remains cool to the touch even when the cooker is subjected to high temperatures. This is important for the safety and comfort of the user. Unlike other plastic options such as Polythene, Terylene, and Nylon, Bakelite&#39;s heat-resistant properties make it an ideal material for this purpose.<br/><br/><b>Therefore, the correct answer is option 4 - Bakelite.</b>",NA
"Methyl Isocyanate gas, which was involved in the disaster in Bhopal in December 1984, was used in the Union Carbide factory for production of:",NA,D,Dyes,Detergents,Explosives,Pesticides,NA,NA,NA,NA,"<b>The correct answer is option 4: Pesticides.</b><br/><br/>Methyl Isocyanate (MIC) gas was indeed used in the Union Carbide factory in Bhopal for the production of pesticides.<br/>Option 1: Dyes - Dyes are chemicals that are used to color various materials such as fabrics and paints. While chemicals may be involved in the production of dyes, MIC gas was not used specifically for dye production in the Union Carbide factory in Bhopal.<br/>Option 2: Detergents - Detergents are cleaning agents that are used for removing dirt and stains from various surfaces. MIC gas is not typically used in the production of detergents.<br/>Option 3: Explosives - Explosives are substances that are capable of rapidly releasing large amounts of energy. While chemicals are used in the production of explosives, MIC gas is not commonly used for this purpose.<br/><br/><b>Therefore, the correct option is 4: Pesticides. Pesticides are substances that are used for controlling or eliminating pests such as insects, weeds, and fungi. MIC gas was used in the Union Carbide factory in Bhopal for the production of pesticides.</b>",NA
